"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298289","1930-03","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","6.6",",,6,26,","","","","","","","","","11.6",",,,6","","","","","","","","","",""
"USC00298289","1930-04","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0",",6","2",",6","2",",6","0",",6","0",",6","0",",6","12",",6","0",",6","25",",6","0",",6","-4.4",",6,17,+","0",",,6,30,+","7.6",",,6,25,","28.9",",6,07,","2336.7","1,,,6","","","172.9",",6","10.6",",,,6","0",",,,6","12.57",",6","23.82",",,,6","1.32",",,,6","5357",",,,6"
"USC00298289","1930-05","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","2.8",",6","3",",6","2",",6","1",",6","0",",6","0",",6","6",",6","0",",6","21",",6","1",",6","-5.6",",6,11,","0",",,6,31,+","32.3",",,6,17,","33.3",",6,26,","2583.0",",,,6","","","166.5",",6","56.5",",,,6","0",",,,6","13.05",",6","22.54",",,,6","3.56",",,,6","6999",",,,6"
"USC00298289","1930-06","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","65.0",",6","5",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","30",",6","9",",6","2.8",",6,02,","0",",,6,30,+","11.7",",,6,08,","36.7",",6,17,","2592.6",",,,6","","","25.5",",6","30.2",",,,6","0",",,,6","19.65",",6","29.44",",,,6","9.85",",,,6","3944",",,,6"
"USC00298289","1930-07","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","9",",6","7",",6","2",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","29.5",",,6,14,","","","2064.3",",,,6","","","","","102.1",",,,6","0",",,,6","","","","","","","2948",",,,6"
"USC00298289","1930-08","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","10",",6","8",",6","1",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","35.6",",,6,04,","","","2002.4",",,,6","","","","","65.9",",,,6","0",",,,6","","","","","","","2216",",,,6"
"USC00298289","1930-09","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","4",",6","2",",6","1",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","38.4",",,6,30,","","","2027.9",",,,6","","","","","44.2",",,,6","0",",,,6","","","","","","","3580",",,,6"
"USC00298289","1930-10","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","6",",6","5",",6","1",",6","0",",6","","","","","","","","","","","","","0",",T,6,28,","26.7",",,6,01,","","","1413.6",",,,6","","","","","73.6",",,,6","0",",T,,6","","","","","","","4509",",,,6"
"USC00298289","1930-11","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0","1,6","1",",6","1",",6","0",",6","1",",6","0",",6","27",",6","0","1,6","3","1,6","0","1,6","-14.4",",6,23,+","102",",,6,19,","11.4",",,6,19,","22.8","1,6,03,","","","","","437.7","1,6","11.4",",,,6","102",",,,6","3.26","1,6","12.13","1,,,6","-5.61",",,,6","4540",",,,6"
"USC00298289","1930-12","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0","4,6","0",",6","0",",6","0",",6","0",",6","2",",6","31",",6","1","4,6","0","4,6","0","4,6","-18.3",",6,22,","0",",,6,31,+","0.0",",,6,31,+","15.6","4,6,13,+","","","","","523.4","4,6","0.0",",,,6","0",",,,6","-0.94","4,6","9.25","4,,,6","-11.13",",,,6","3109",",,,6"
