"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001094785","1971-10","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0","1,C","","","0","1,C","25","1,C","6","1,C","0","1,C","0","1,C","-13.9","1,C,28,+","","","15.6","1,C,09,","","","524.6","1,C","","","0.85","1,C","4.95","1,,,C","-3.26","1,,,C"
"CA001094785","1971-11","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","29",",C","16",",C","0",",C","0",",C","-16.7",",C,05,","","","5.0",",C,09,","","","615.4",",C","","","-2.18",",C","0.18",",,,C","-4.54",",,,C"
"CA001094785","1971-12","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","9",",C","31",",C","31",",C","0",",C","0",",C","-35.0",",C,26,","","","-0.6",",C,02,+","","","965.1",",C","","","-12.80",",C","-9.41",",,,C","-16.18",",,,C"
"CA001094785","1972-02","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","6",",C","29",",C","22",",C","0",",C","0",",C","-29.4",",C,01,","","","4.4",",C,19,","","","782.7",",C","","","-8.66",",C","-3.78",",,,C","-13.53",",,,C"
"CA001094785","1972-03","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0","1,C","","","1","1,C","30","1,C","6","1,C","0","1,C","0","1,C","-26.7","1,C,01,","","","12.8","1,C,30,","","","582.1","1,C","","","-1.07","1,C","4.24","1,,,C","-6.38","1,,,C"
"CA001094785","1972-04","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","29",",C","1",",C","0",",C","0",",C","-13.3",",C,03,","","","13.3",",C,27,","","","553.7",",C","","","-0.13",",C","5.25",",,,C","-5.50",",,,C"
"CA001094785","1972-05","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","27",",C","0",",C","6",",C","0",",C","-7.2",",C,26,","","","27.8",",C,29,","","","378.6",",C","","","6.12",",C","14.14",",,,C","-1.90",",,,C"
"CA001094785","1972-06","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","1",",C","0",",C","4",",C","0",",C","-1.7",",C,02,","","","25.0",",C,09,","","","247.8",",C","","","10.07",",C","16.03",",,,C","4.12",",,,C"
"CA001094785","1972-07","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","3",",C","0",",C","14",",C","0",",C","-2.2",",C,01,","","","26.1",",C,31,+","205.0","C","205.0",",C","","","11.72",",C","19.31",",,,C","4.13",",,,C"
"CA001094785","1972-08","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","1.6","2,C","","","0","1,C","1","1,C","0","1,C","19","1,C","0","1,C","-2.2","1,C,31,","","","29.4","1,C,08,+","352.1","C","147.1","1,C","","","13.21","2,C","21.57","1,,,C","4.85","1,,,C"
"CA001094785","1972-09","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","17",",C","2",",C","4",",C","0",",C","-10.0",",C,27,","","","23.9",",C,04,","765.8","C","413.7",",C","","","4.54",",C","9.52",",,,C","-0.44",",,,C"
"CA001094785","1972-10","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","27",",C","7",",C","0",",C","0",",C","-11.7",",C,11,","","","18.9",",C,08,","1308.1","C","542.3",",C","","","0.84",",C","5.61",",,,C","-3.94",",,,C"
"CA001094785","1972-11","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","0",",C","30",",C","18",",C","0",",C","0",",C","-16.7",",C,28,","","","4.4",",C,10,","1955.3","C","647.2",",C","","","-3.24",",C","-0.70",",,,C","-5.78",",,,C"
"CA001094785","1972-12","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","","","0.0",",C","","","13",",C","31",",C","30",",C","0",",C","0",",C","-30.6",",C,07,","","","1.1",",C,19,","2877.7","C","922.4",",C","","","-11.42",",C","-8.44",",,,C","-14.41",",,,C"
"CA001094785","1973-01","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","0.0","C","0.0",",C","","","12",",C","31",",C","26",",C","0",",C","0",",C","-31.1",",C,07,","","","5.6",",C,23,","3770.0","C","892.3",",C","","","-10.45",",C","-6.46",",,,C","-14.45",",,,C"
"CA001094785","1973-02","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","0.0","C","0.0",",C","","","5",",C","28",",C","13",",C","0",",C","0",",C","-25.0",",C,07,+","","","5.6",",C,22,","4439.6","C","669.6",",C","","","-5.58",",C","-0.63",",,,C","-10.54",",,,C"
"CA001094785","1973-03","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","0.0","C","0.0",",C","","","0",",C","31",",C","3",",C","0",",C","0",",C","-12.2",",C,07,","","","12.2",",C,23,","5043.4","C","603.8",",C","","","-1.15",",C","4.09",",,,C","-6.38",",,,C"
"CA001094785","1973-04","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","0.0","C","0.0",",C","","","0",",C","30",",C","0",",C","0",",C","0",",C","-12.2",",C,07,","","","17.8",",C,29,","5538.5","C","495.1",",C","","","1.83",",C","8.68",",,,C","-5.03",",,,C"
"CA001094785","1973-05","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","0.0","C","0.0",",C","","","0",",C","26",",C","0",",C","3",",C","0",",C","-5.6",",C,11,","","","23.9",",C,14,","5939.0","C","400.5",",C","","","5.41",",C","12.43",",,,C","-1.60",",,,C"
"CA001094785","1973-06","52.3833","-120.7167","1219.0","MACKAY RIVER, BC CA","0.0","C","0.0","1,C","","","0",",C","9",",C","0","1,C","5","1,C","0","1,C","-3.3",",C,11,","","","29.4","1,C,22,","6215.4","C","276.4","1,C","","","8.79","1,C","15.73","1,,,C","1.85",",,,C"
