"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00294400","1940-05","33.58333","-104.98333","1495.0","JONES RANCH, NM US","5",",6","4",",6","1",",6","","","40.1",",,6,22,","66.7",",,,6"
"USC00294400","1940-06","33.58333","-104.98333","1495.0","JONES RANCH, NM US","4",",6","2",",6","0",",6","","","9.9",",,6,20,","19.6",",,,6"
"USC00294400","1940-07","33.58333","-104.98333","1495.0","JONES RANCH, NM US","3",",6","3",",6","1",",6","","","45.5",",,6,17,","52.3",",,,6"
"USC00294400","1940-08","33.58333","-104.98333","1495.0","JONES RANCH, NM US","3",",6","3",",6","0",",6","","","16.5",",,6,05,","23.4",",,,6"
"USC00294400","1940-09","33.58333","-104.98333","1495.0","JONES RANCH, NM US","4",",6","3",",6","0",",6","","","7.6",",,6,02,","16.9",",,,6"
"USC00294400","1940-10","33.58333","-104.98333","1495.0","JONES RANCH, NM US","3",",6","3",",6","0",",6","","","11.9",",,6,12,","21.6",",,,6"
"USC00294400","1940-11","33.58333","-104.98333","1495.0","JONES RANCH, NM US","2",",6","2",",6","0",",6","","","21.6",",,6,24,","26.7",",,,6"
"USC00294400","1940-12","33.58333","-104.98333","1495.0","JONES RANCH, NM US","1",",6","1",",6","0",",6","","","2.5",",,6,14,","2.5",",,,6"
"USC00294400","1941-01","33.58333","-104.98333","1495.0","JONES RANCH, NM US","4",",6","3",",6","0",",6","","","7.6",",,6,28,","20.1",",,,6"
"USC00294400","1941-02","33.58333","-104.98333","1495.0","JONES RANCH, NM US","5",",6","4",",6","0",",6","","","6.4",",,6,25,","17.6",",,,6"
"USC00294400","1941-03","33.58333","-104.98333","1495.0","JONES RANCH, NM US","6",",6","5",",6","2",",6","","","47.8",",,6,21,","107.7",",,,6"
"USC00294400","1941-04","33.58333","-104.98333","1495.0","JONES RANCH, NM US","5",",6","5",",6","2",",6","","","32.3",",,6,28,","93.8",",,,6"
"USC00294400","1941-05","33.58333","-104.98333","1495.0","JONES RANCH, NM US","8",",6","8",",6","2",",6","","","38.1",",,6,23,","138.3",",,,6"
"USC00294400","1941-06","33.58333","-104.98333","1495.0","JONES RANCH, NM US","3",",6","3",",6","0",",6","","","9.1",",,6,24,+","22.5",",,,6"
"USC00294400","1941-07","33.58333","-104.98333","1495.0","JONES RANCH, NM US","7",",6","6",",6","0",",6","","","20.6",",,6,23,","62.9",",,,6"
"USC00294400","1941-08","33.58333","-104.98333","1495.0","JONES RANCH, NM US","5",",6","5",",6","1",",6","","","47.8",",,6,12,","72.5",",,,6"
"USC00294400","1941-09","33.58333","-104.98333","1495.0","JONES RANCH, NM US","9",",6","8",",6","3",",6","","","88.9",",,6,21,","256.6",",,,6"
"USC00294400","1941-10","33.58333","-104.98333","1495.0","JONES RANCH, NM US","6",",6","5",",6","1",",6","","","25.4",",,6,29,","64.6",",,,6"
"USC00294400","1941-11","33.58333","-104.98333","1495.0","JONES RANCH, NM US","0",",6","0",",6","0",",6","","","0.0",",,6,30,+","0.0",",,,6"
"USC00294400","1941-12","33.58333","-104.98333","1495.0","JONES RANCH, NM US","2",",6","0",",6","0",",6","","","1.3",",,6,11,+","2.6",",,,6"
"USC00294400","1942-01","33.58333","-104.98333","1495.0","JONES RANCH, NM US","2",",6","1",",6","0",",6","","","4.1",",,6,14,","5.1",",,,6"
