"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SU000062650","1999-05","19.167","30.483","226.0","DONGOLA, SU","408.1","5,I","0","3,I","0","3,I","0","2,I","29","2,I","29","2,I","20.3","3,I,19,","46.0","2,I,28,+","0.0","2,I","34.05","5,I","42.50","2,,,I","25.60","3,,,I"
"SU000062650","1999-06","19.167","30.483","226.0","DONGOLA, SU","408.0","3,I","0","2,I","0","2,I","0","1,I","29","1,I","29","1,I","22.3","2,I,27,","46.0","1,I,20,","0.0","1,I","33.47","3,I","42.19","1,,,I","24.75","2,,,I"
"SU000062650","1999-07","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","4,I","27","4,I","27","4,I","","","44.8","4,I,15,+","","","","","42.60","4,,,I","",""
"SU000062650","1999-08","19.167","30.483","226.0","DONGOLA, SU","","","0","3,I","0","3,I","0","4,I","27","4,I","27","4,I","24.5","3,I,29,+","45.0","4,I,25,+","","","35.36","6,I","42.80","4,,,I","27.92","3,,,I"
"SU000062650","1999-09","19.167","30.483","226.0","DONGOLA, SU","","","0","5,I","0","5,I","0","2,I","28","2,I","28","2,I","20.3","5,I,09,","45.0","2,I,15,+","","","35.12","6,I","43.00","2,,,I","27.25","5,,,I"
"SU000062650","1999-10","19.167","30.483","226.0","DONGOLA, SU","350.4","5,I","0","4,I","0","4,I","0","3,I","28","3,I","28","3,I","18.0","4,I,29,","44.3","3,I,04,","0.0","3,I","31.76","5,I","39.52","3,,,I","24.01","4,,,I"
"SU000062650","2000-03","19.167","30.483","226.0","DONGOLA, SU","","","0","5,I","0","5,I","","","","","","","6.6","5,I,10,","","","","","","","","","12.20","5,,,I"
"SU000062650","2000-05","19.167","30.483","226.0","DONGOLA, SU","","","0","5,I","0","5,I","","","","","","","19.5","5,I,09,","","","","","","","","","24.20","5,,,I"
"SU000062650","2000-07","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","4,I","27","4,I","27","4,I","","","47.0","4,I,07,+","","","","","44.46","4,,,I","",""
"SU000062650","2000-12","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","5,I","26","5,I","0","5,I","","","32.0","5,I,21,","","","","","27.80","5,,,I","",""
"SU000062650","2001-01","19.167","30.483","226.0","DONGOLA, SU","","","0","5,I","0","5,I","","","","","","","7.5","5,I,24,+","","","","","","","","","9.49","5,,,I"
"SU000062650","2001-02","19.167","30.483","226.0","DONGOLA, SU","","","0","4,I","0","4,I","","","","","","","6.0","4,I,09,","","","","","","","","","10.06","4,,,I"
"SU000062650","2001-06","19.167","30.483","226.0","DONGOLA, SU","","","0","5,I","0","5,I","","","","","","","20.0","5,I,10,","","","","","","","","","23.28","5,,,I"
"SU000062650","2001-07","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","3,I","28","3,I","28","3,I","","","45.0","3,I,22,+","","","","","43.37","3,,,I","",""
"SU000062650","2005-09","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","4,S","26","4,S","26","4,S","","","46.3","4,S,04,+","","","","","42.98","4,,,S","",""
"SU000062650","2005-12","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","4,S","27","4,S","16","4,S","","","36.7","4,S,01,","","","","","31.62","4,,,S","",""
"SU000062650","2006-01","19.167","30.483","226.0","DONGOLA, SU","","","0","5,S","0","5,S","","","","","","","6.0","5,S,15,","","","","","","","","","11.98","5,,,S"
"SU000062650","2006-02","19.167","30.483","226.0","DONGOLA, SU","119.4","3,S","0","3,S","0","3,S","0","3,S","25","3,S","13","3,S","8.5","3,S,11,","40.0","3,S,28,+","0.1","3,S","23.10","3,S","33.14","3,,,S","13.07","3,,,S"
"SU000062650","2006-03","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","5,S","26","5,S","19","5,S","","","39.9","5,S,01,","","","","","34.89","5,,,S","",""
"SU000062650","2006-04","19.167","30.483","226.0","DONGOLA, SU","249.4","5,S","0","3,S","0","3,S","0","4,S","26","4,S","26","4,S","13.5","3,S,04,+","44.4","4,S,30,+","0.0","4,S","28.31","5,S","38.56","4,,,S","18.06","3,,,S"
"SU000062650","2006-05","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","5,S","26","5,S","26","5,S","","","46.4","5,S,08,","","","","","43.00","5,,,S","",""
"SU000062650","2006-10","19.167","30.483","226.0","DONGOLA, SU","","","0","5,S","0","5,S","","","","","","","17.0","5,S,31,","","","","","","","","","23.66","5,,,S"
"SU000062650","2007-09","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","3,S","27","3,S","27","3,S","","","44.0","3,S,03,","","","","","40.95","3,,,S","",""
"SU000062650","2008-03","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","5,S","26","5,S","25","5,S","","","42.6","5,S,26,","","","","","37.24","5,,,S","",""
"SU000062650","2009-04","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","5,S","25","5,S","25","5,S","","","47.0","5,S,21,","","","","","42.34","5,,,S","",""
"SU000062650","2009-07","19.167","30.483","226.0","DONGOLA, SU","","","","","","","0","5,S","26","5,S","26","5,S","","","46.8","5,S,01,","","","","","44.43","5,,,S","",""
"SU000062650","2013-11","19.167","30.483","226.0","DONGOLA, SU","189.0","3,S","0","2,S","0","2,S","0","2,S","28","2,S","20","2,S","13.0","2,S,19,","37.8","2,S,28,","0.0","2,S","25.37","3,S","33.95","2,,,S","16.78","2,,,S"
