"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00417944","1947-11","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","0.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","8","","1","","0.6",",0,28,+","0",",,0,30,+","0",",,0,30,+","17.8",",,0,17,","27.8",",0,06,+","","","","","","","","","216.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","22.6",",,,0","0",",,,0","11.12",",0","17.77",",,,0","4.47",",,,0","",""
"USC00417944","1947-12","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","0.0",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","5",",0","0",",0","5","","","","-3.9",",0,24,","0",",,0,31,+","3",",,0,14,","7.1",",,0,03,","23.3",",0,29,","","","","","","","","","292.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","19.2",",,,0","3",",,,0","8.91",",0","15.35",",,,0","2.47",",,,0","",""
"USC00417944","1948-01","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","0.0","","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","21",",0","4",",0","4",",0","0",",0","6","","","","-11.7",",0,28,","0",",,0,31,+","13",",,0,23,","3.8",",,0,20,","25.6",",0,08,","","","","","","","","","414.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","5.4",",,,0","16",",,,0","4.95",",0","11.56",",,,0","-1.65",",,,0","",""
"USC00417944","1948-02","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","1.7","","1.7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","9",",0","1",",0","10",",0","0",",0","10","","","","-9.4",",0,12,+","0",",T,0,12,+","0",",T,0,12,+","20.8",",,0,26,","28.3",",0,19,+","","","","","","","","","267.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","22.2",",,,0","0",",T,,0","9.17",",0","16.03",",,,0","2.31",",,,0","",""
"USC00417944","1948-03","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","23.1","","21.4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","7",",0","1",",0","19",",0","0",",0","3","","1","","-10.6",",0,12,+","0",",T,0,10,","0",",T,0,11,+","0.5",",,0,31,","31.1",",0,25,","","","","","","","","","196.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","0.5",",,,0","0",",T,,0","12.69",",0","20.21",",,,0","5.16",",,,0","",""
"USC00417944","1948-05","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","196.6",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","18",",0","1","","5","","12.2",",0,12,","0",",,0,31,+","0",",,0,31,+","18.8",",,0,26,","37.8",",0,05,","","","","","","","","","6.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","45.0",",,,0","0",",,,0","24.45",",0","30.89",",,,0","18.01",",,,0","",""
"USC00417944","2003-01","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   8.9",",,,0,0,2","","","","","  13.3",",,,0,0,2","","","   3.3",",,,0,0,2","","","   6.1",",,,0,0,2","","","   6.6",",,,0,0,2","","","","","  10.4",",,,0,0,2","","","","","","","","","","","","","","","",""
"USC00417944","2003-02","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","1.1",",0","6",",0","3",",0","1",",0","0","1,0","0",",0","0",",0","14",",0","2",",0","7",",0","0",",0","","","","","-8.3",",0,25,","0","1,,0,28,+","0",",,0,28,+","31.8",",,0,21,","26.7",",0,03,","76.6","3,,,0","","","  11.7","1,,,0,1,2","","","294.8",",0","  15.6",",,,0,1,2","","","   2.8","1,,,0,1,2","","","   2.8",",,,0,1,2","","","   7.5","1,,,0,1,2","","","","","  11.2",",,,0,1,2","","","15.49","3,,,0","45.0",",,,0","0",",,,0","7.84",",0","14.65",",,,0","1.04",",,,0","3577",",,,0"
"USC00417944","2003-03","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","4.7","1,0","6",",0","3",",0","1",",0","0",",0","0",",0","0","1,0","5","1,0","0",",0","17",",0","0",",0","","","","","-4.4","1,0,30,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,22,","30.0",",0,28,","162.3","2,,,0","","","  16.7",",,,0,1,2","","","160.4",",0","  21.1",",,,0,1,2","","","   6.7",",,,0,1,2","","","  11.1",",,,0,1,2","","","  12.4",",,,0,1,2","","","6.59",",,,0","  16.8",",,,0,1,2","","","21.83",",,,0","36.9",",,,0","0",",,,0","13.26","1,0","21.24",",,,0","5.28","1,,,0","2843",",,,0"
"USC00417944","2003-04","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","55.2","1,0","2",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","2","1,0","0",",0","30",",0","3",",0","","","","","-2.8","1,0,09,","0",",,0,30,+","0","1,,0,30,+","1.8",",,0,22,","34.4",",0,28,+","283.1",",,,0","","","  20.0",",,,0,1,2","","","33.0",",0","  25.6",",,,0,1,2","","","   9.4",",,,0,1,2","","","  18.3",",,,0,1,2","","","  17.0",",,,0,1,2","","","10.10",",,,0","  22.5",",,,0,1,2","","","26.28",",,,0","2.3",",,,0","0","1,,,0","19.14","1,0","28.69",",,,0","9.58","1,,,0","4244","1,,,0"
"USC00417944","2003-05","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","202.9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","20",",0","","","","","10.0",",0,06,","0",",,0,31,+","0",",,0,31,+","15.5",",,0,22,","40.6",",0,20,+","299.1",",,,0","","","  25.6",",,,0,1,2","","","8.4",",0","  31.7",",,,0,1,2","","","  19.4",",,,0,1,2","","","  22.2",",,,0,1,2","","","  22.2",",,,0,1,2","","","15.67",",,,0","  27.4",",,,0,1,2","","","30.09",",,,0","25.5",",,,0","0",",,,0","24.61",",0","32.57",",,,0","16.64",",,,0","5362",",,,0"
"USC00417944","2003-06","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","218.2",",0","8",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","","","","","13.9",",0,09,","0",",,0,30,+","0",",,0,30,+","48.5",",,0,04,","38.3",",0,01,","267.1",",,,0","","","  27.2",",,,0,1,2","","","0.0",",0","  31.7",",,,0,1,2","","","  21.7",",,,0,1,2","","","  25.6",",,,0,1,2","","","  24.0",",,,0,1,2","","","17.89",",,,0","  28.6",",,,0,1,2","","","31.92",",,,0","107.8",",,,0","0",",,,0","25.61",",0","32.45",",,,0","18.76",",,,0","4933",",,,0"
