"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014940","1948-01","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","0.0","0","0.0",",X","4",",X","0",",X","0",",X","25",",X","0",",X","16",",X","31",",X","25",",X","0",",X","0",",X","5","","","","","","-28.3",",X,23,","51",",,X,31,+","13",",,X,18,","0.5",",,X,25,","5.0",",X,11,","","","912.2",",X","1.4",",,,X","40",",,,X","-11.09",",X","-5.61",",,,X","-16.57",",,,X","","","","","","","","","","","","","",""
"USW00014940","1948-02","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","0.0","0","0.0",",X","7",",X","2",",X","1",",X","16",",X","3",",X","12",",X","27",",X","17",",X","0",",X","0",",X","9","","","","","","-29.4",",X,08,","152",",,X,13,","56",",,X,11,","41.1",",,X,27,","10.0",",X,26,+","","","763.4",",X","49.2",",,,X","152",",,,X","-7.99",",X","-2.32",",,,X","-13.67",",,,X","","","","","","","","","","","","","",""
"USW00014940","1948-03","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","0.0","0","0.0",",X","7",",X","3",",X","1",",X","13",",X","1",",X","7",",X","29",",X","13",",X","1",",X","0",",X","9","","","","1","","-31.7",",X,11,","178",",,X,11,+","155",",,X,06,","28.2",",,X,26,","21.7",",X,25,","","","646.1",",X","51.4",",,,X","182",",,,X","-2.51",",X","3.39",",,,X","-8.41",",,,X","","","","","","","","","","","","","",""
"USW00014940","1948-04","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","1.4","0","1.4",",0","8",",0","7",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","8",",0","0",",0","5","","","","6","","-6.7",",0,09,","0",",,0,30,+","0",",,0,30,+","21.1",",,0,23,","28.9",",0,18,","","","242.1",",0","65.2",",,,0","0",",,,0","10.31",",0","17.60",",,,0","3.02",",,,0","","","","","","","","","","","","","",""
"USW00014940","1948-05","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","8.4","0","7.0",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","1",",0","4","","","","5","","2.2",",0,07,","0",",,0,31,+","0",",,0,31,+","22.1",",,0,05,","33.9",",0,20,","","","162.0",",0","49.8",",,,0","0",",,,0","13.33",",0","19.65",",,,0","7.02",",,,0","","","","","","","","","","","","","",""
"USW00014940","1948-06","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","48.5","0","40.1",",0","13",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","5","","","","3","","8.9",",0,09,+","0",",,0,30,+","0",",,0,30,+","24.6",",,0,27,","32.2",",0,04,","","","25.4",",0","118.5",",,,0","0",",,,0","18.82",",0","24.71",",,,0","12.94",",,,0","","","","","","","","","","","","","",""
"USW00014940","1948-07","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","186.5","0","138.0",",X","9",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","7",",X","2","","","","8","","9.4",",X,23,+","0",",,X,31,+","0",",,X,31,+","36.6",",,X,12,","37.2",",X,06,","1.4","0","1.4",",X","68.0",",,,X","0",",,,X","22.74",",X","29.43",",,,X","16.05",",,,X","","","","","","","","","","","","","",""
"USW00014940","1948-08","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","328.0","0","141.5",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","8",",0","7","","","","9","","7.2",",0,05,","0",",,0,31,+","0",",,0,31,+","18.3",",,0,27,","37.8",",0,23,","13.1","0","11.7",",0","55.9",",,,0","0",",,,0","22.52",",0","29.34",",,,0","15.70",",,,0","","","","","","","","","","","","","",""
"USW00014940","1948-09","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","396.5","0","68.5",",0","3",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","7",",0","6","","","","4","","3.3",",0,10,","0",",,0,30,+","0",",,0,30,+","39.9",",,0,20,","35.0",",0,19,","65.9","0","52.8",",0","43.2",",,,0","0",",,,0","18.86",",0","26.70",",,,0","11.01",",,,0","","","","","","","","","","","","","",""
"USW00014940","1948-10","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","396.5","0","0.0",",0","6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","9",",0","0",",0","5",",0","0",",0","7","","","","1","","-5.6",",0,17,","0",",,0,31,+","0",",,0,31,+","32.0",",,0,06,","22.8",",0,27,","339.2","0","273.3",",0","66.3",",,,0","0",",,,0","9.52",",0","16.86",",,,0","2.17",",,,0","","","","","","","","","","","","","",""
