"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00363799","1951-12","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
"USC00363799","1952-01","40.953","-75.971667","502.9","HAZELTON, PA US","16",",6","9",",6","1",",6","","","","","","","","","2","","","","","","29.2",",,6,26,","","","94.3",",,,6","","","",""
"USC00363799","1952-02","40.953","-75.971667","502.9","HAZELTON, PA US","11","5,6","5","5,6","0","5,6","","","8","2,6","0","2,6","0","2,6","2","","1","","","","19.1","5,,6,04,","11.1","2,6,01,","52.1","5,,,6","","","2.14","2,,,6"
"USC00363799","1952-03","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","9",",6","0",",6","0",",6","","","1","","","","","","15.0",",6,30,","","","","","3.81",",,,6"
"USC00363799","1952-04","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0",",6","2",",6","0",",6","3","","3","","","","","","26.1",",6,23,","","","","","12.99",",,,6"
"USC00363799","1952-05","40.953","-75.971667","502.9","HAZELTON, PA US","16",",6","11",",6","3",",6","","","0",",6","6",",6","0",",6","2","","1","","","","42.2",",,6,25,","25.6",",6,28,","161.3",",,,6","","","17.82",",,,6"
"USC00363799","1952-06","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0",",6","25",",6","2",",6","1","","1","","","","","","33.9",",6,26,","","","","","24.80",",,,6"
"USC00363799","1952-07","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0",",6","29",",6","0",",6","","","9","","","","","","31.7",",6,23,","","","","","26.84",",,,6"
"USC00363799","1952-08","40.953","-75.971667","502.9","HAZELTON, PA US","10",",6","6",",6","2",",6","","","0",",6","26",",6","0",",6","3","","","","","","40.4",",,6,10,","28.9",",6,27,","120.2",",,,6","","","23.38",",,,6"
"USC00363799","1952-09","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0","1,6","14","1,6","0","1,6","5","","2","","","","","","28.9","1,6,14,","","","","","21.64","1,,,6"
"USC00363799","1952-10","40.953","-75.971667","502.9","HAZELTON, PA US","7",",6","3",",6","0",",6","1",",6","0","4,6","1","4,6","0","4,6","","","1","","51",",,6,20,","18.0",",,6,02,","21.1","4,6,01,","34.2",",,,6","51",",,,6","13.33","4,,,6"
"USC00363799","1952-11","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","2","2,6","0","2,6","0","2,6","","","","","","","","","16.7","2,6,03,+","","","","","8.80","2,,,6"
"USC00363799","1952-12","40.953","-75.971667","502.9","HAZELTON, PA US","9",",6","5",",6","3",",6","","","8","3,6","0","3,6","0","3,6","3","","1","","","","48.3",",,6,11,","12.2","3,6,10,","139.2",",,,6","","","2.66","3,,,6"
"USC00363799","1953-01","40.953","-75.971667","502.9","HAZELTON, PA US","15","1,6","8","1,6","1","1,6","","","9","3,6","0","3,6","0","3,6","1","","","","","","51.3","1,,6,24,","12.2","3,6,25,","125.9","1,,,6","","","1.98","3,,,6"
"USC00363799","1953-02","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","6",",6","0",",6","0",",6","","","","","","","","","15.6",",6,22,","","","","","4.39",",,,6"
"USC00363799","1953-03","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","5","2,6","0","2,6","0","2,6","4","","","","","","","","16.1","2,6,24,","","","","","5.90","2,,,6"
"USC00363799","1953-04","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0","1,6","1","1,6","0","1,6","2","","2","","","","","","21.1","1,6,26,","","","","","9.90","1,,,6"
"USC00363799","1953-05","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0",",6","14",",6","0",",6","4","","6","","","","","","27.8",",6,12,","","","","","19.35",",,,6"
"USC00363799","1953-06","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0",",6","15",",6","0",",6","","","2","","","","","","30.0",",6,26,+","","","","","22.38",",,,6"
"USC00363799","1953-07","40.953","-75.971667","502.9","HAZELTON, PA US","","","","","","","","","0",",6","29",",6","1",",6","4","","6","","","","","","33.3",",6,19,","","","","","26.40",",,,6"
