"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00425815","1937-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","4",",6","3",",6","0",",6","","","3",",6","","","","","","","","","","","","","","","178",",,6,23,","11.7",",,6,23,","","","","","","","","","25.9",",,,6","356",",,,6","","","","","","","",""
"USC00425815","1938-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","6.4",",,6,16,","","","","","","","","","19.2",",,,6","","","","","","","","","",""
"USC00425815","1938-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","","","","","","","","","8",",6","","","","","","","","","","","","","","","203",",,6,04,","","","","","","","","","","","","","954",",,,6","","","","","","","",""
"USC00425815","1938-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","7",",6","5",",6","1",",6","","","6",",6","","","","","","","","","","","","","","","292",",,6,03,","29.0",",,6,03,","","","","","","","","","62.8",",,,6","711",",,,6","","","","","","","",""
"USC00425815","1938-04","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","3",",6","2",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","203",",,6,05,","18.3",",,6,05,","","","","","","","","","25.6",",,,6","241",",,,6","","","","","","","",""
"USC00425815","1938-05","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","12",",6","6",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","203",",,6,02,","23.9",",,6,02,","","","","","","","","","74.1",",,,6","228",",,,6","","","","","","","",""
"USC00425815","1938-06","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","9",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","23.9",",,6,29,","","","","","","","","","43.2",",,,6","0",",,,6","","","","","","","",""
"USC00425815","1938-07","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","7",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","17.0",",,6,19,","","","","","","","","","33.5",",,,6","0",",,,6","","","","","","","",""
"USC00425815","1938-08","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","14",",6","8",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","14.2",",,6,31,","","","","","","","","","69.9",",,,6","0",",,,6","","","","","","","",""
"USC00425815","1938-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","11",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","12.2",",,6,01,","","","","","","","","","44.4",",,,6","0",",,,6","","","","","","","",""
