"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00410540","1940-01","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","5",",6","2",",6","0",",6","","","","","5.6",",,6,06,","12.3",",,,6"
"USC00410540","1940-02","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","7",",6","7",",6","1",",6","","","","","29.2",",,6,03,","91.0",",,,6"
"USC00410540","1940-03","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","5",",6","4",",6","0",",6","","","","","19.1",",,6,29,","45.6",",,,6"
"USC00410540","1940-04","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","7",",6","6",",6","2",",6","","","","","55.9",",,6,27,","142.3",",,,6"
"USC00410540","1940-05","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","7",",6","5",",6","2",",6","","","","","58.9",",,6,21,","139.7",",,,6"
"USC00410540","1940-06","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","8",",6","5",",6","3",",6","","","","","91.4",",,6,28,","233.6",",,,6"
"USC00410540","1940-07","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","5",",6","4",",6","2",",6","","","","","39.1",",,6,11,","82.8",",,,6"
"USC00410540","1940-08","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","2",",6","1",",6","0",",6","","","","","14.7",",,6,27,","17.0",",,,6"
"USC00410540","1940-09","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","1",",6","1",",6","0",",6","","","","","13.2",",,6,21,","13.2",",,,6"
"USC00410540","1940-10","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","7",",6","7",",6","1",",6","","","","","26.4",",,6,25,","101.9",",,,6"
"USC00410540","1940-11","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","10",",6","10",",6","3",",6","","","","","104.1",",,6,24,","241.2",",,,6"
"USC00410540","1940-12","30.8","-97.433333","173.7","BARTLETT SOIL CONSERVATION SERVICE NUMBER 1, TX US","5",",6","5",",6","3",",6","","","","","43.7",",,6,11,","138.0",",,,6"
