"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00197240","1891-05","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","23.1",",6","6",",6","6",",6","0",",6","0",",6","3",",6","0",",6","16",",6","0",",6","","","-11.1",",6,05,","19.6",",,6,16,","26.7",",6,30,","","","154.2",",6","55.6",",,,6","14.10",",6","19.18",",,,6","9.03",",,,6"
"USC00197240","1891-06","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","","","2",",6","2",",6","2",",6","","","","","0","3,6","17","3,6","0","3,6","","","","","52.6",",,6,22,","30.0","3,6,13,","","","","","103.4",",,,6","","","22.47","3,,,6","",""
"USC00197240","1891-07","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","13.7",",6","7",",6","3",",6","3",",6","0",",6","2",",6","0",",6","23",",6","0",",6","","","0.0",",6,30,+","27.4",",,6,31,","28.3",",6,15,","93.2","6","93.2",",6","87.6",",,,6","15.77",",6","22.73",",,,6","8.81",",,,6"
"USC00197240","1891-08","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","8.9",",6","","","","","","","0",",6","4",",6","0",",6","27",",6","0",",6","","","-1.1",",6,31,+","","","30.6",",6,24,","203.9","6","110.7",",6","","","15.05",",6","23.13",",,,6","6.97",",,,6"
"USC00197240","1891-09","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","10.3",",6","4",",6","2",",6","0",",6","0",",6","0",",6","0",",6","19",",6","0",",6","","","0.6",",6,30,+","13.2",",,6,13,","28.9",",6,21,","321.6","6","117.7",",6","24.4",",,,6","14.75",",6","21.81",",,,6","7.69",",,,6"
"USC00197240","1891-10","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","1.7","2,6","2",",6","2",",6","2",",6","0","1,6","17","1,6","1","1,6","3","1,6","0","1,6","1","","-5.6","1,6,12,","25.4",",,6,23,+","30.0","1,6,04,","690.3","6","368.7","1,6","50.8",",,,6","5.66","2,6","11.03","1,,,6","0.28","1,,,6"
"USC00197240","1891-11","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","0.0","3,6","4",",6","4",",6","3",",6","2","1,6","28","1,6","4","2,6","0","2,6","0","2,6","","","-18.3","1,6,30,","62.2",",,6,24,","14.4","2,6,17,","1194.8","6","504.5","2,6","154.1",",,,6","-0.49","3,6","6.16","2,,,6","-7.15","1,,,6"
"USC00197240","1891-12","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","","","6",",6","6",",6","4",",6","1","5,6","25","5,6","7","5,6","0","5,6","0","5,6","","","-20.0","5,6,17,","50.8",",,6,26,","13.9","5,6,23,","","","","","193.1",",,,6","-1.37","7,6","3.49","5,,,6","-6.23","5,,,6"
"USC00197240","1892-02","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","","","","","","","","","3","4,6","25","4,6","18","3,6","0","3,6","0","3,6","","","-25.6","4,6,14,","","","8.3","3,6,27,","","","","","","","-6.57","6,6","-2.73","3,,,6","-10.40","4,,,6"
"USC00197240","1892-03","42.683333","-73.033333","73.2","SAVOY CENTER, MA US","0.0","4,6","2",",6","2",",6","0",",6","1","2,6","29","2,6","14","2,6","0","2,6","0","2,6","","","-17.8","2,6,13,","8.1",",,6,23,","7.2","2,6,09,","","","600.5","2,6","13.7",",,,6","-4.20","4,6","-0.36","2,,,6","-8.05","2,,,6"
