"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013983","1948-01","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","0.0","0","0.0",",X","7",",X","4",",X","0",",X","14",",X","4",",X","5",",X","30",",X","16",",X","0",",X","0",",X","10","","","","","","-23.3",",X,28,","102",",,X,01,","109",",,X,01,","13.7",",,X,01,","20.6",",X,08,","","","","","719.0",",X","23.9",",,,X","","","249",",,,X","-4.86",",X","0.15",",,,X","-9.88",",,,X","","","","","","","",""
"USW00013983","1948-02","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","0.0","0","0.0",",X","10",",X","6",",X","1",",X","9",",X","3",",X","0",",X","23",",X","10",",X","0",",X","0",",X","16","","","","1","","-17.2",",X,09,+","76",",,X,13,","53",",,X,11,","26.9",",,X,27,","20.6",",X,18,","","","","","548.5",",X","47.3",",,,X","","","109",",,,X","-0.58",",X","4.67",",,,X","-5.83",",,,X","","","","","","","",""
"USW00013983","1948-03","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","0.6","0","0.6",",X","17",",X","8",",X","0",",X","3",",X","1",",X","2",",X","16",",X","5",",X","7",",X","0",",X","10","","","","7","","-20.6",",X,12,","76",",,X,10,","66",",,X,10,","19.1",",,X,21,","26.7",",X,20,","","","","","420.5",",X","76.0",",,,X","","","71",",,,X","4.79",",X","10.37",",,,X","-0.80",",,,X","","","","","","","",""
"USW00013983","1948-04","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","28.3","0","27.7",",X","6",",X","2",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","21",",X","0",",X","6","","","","8","","-1.1",",X,01,","0",",,X,30,+","0",",,X,30,+","10.2",",,X,12,","30.6",",X,18,","","","","","117.1",",X","15.7",",,,X","","","0",",,,X","15.36",",X","21.86",",,,X","8.85",",,,X","","","","","","","",""
"USW00013983","1948-05","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","49.1","0","20.8",",X","11",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","0",",X","11","","","","4","","4.4",",X,07,","0",",,X,31,+","0",",,X,31,+","63.5",",,X,01,","29.4",",X,21,","","","","","54.1",",X","112.2",",,,X","","","0",",,,X","17.26",",X","23.28",",,,X","11.23",",,,X","","","","","","","",""
"USW00013983","1948-06","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","172.4","0","123.3",",X","16",",X","9",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","5",",X","7","","","","14","","11.1",",X,01,","0",",,X,30,+","0",",,X,30,+","37.3",",,X,22,","35.6",",X,11,","","","","","0.0",",X","171.7",",,,X","","","0",",,,X","22.44",",X","28.24",",,,X","16.65",",,,X","","","","","","","",""
"USW00013983","1948-07","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","377.0","0","204.6",",0","12",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","7",",0","8","","","","14","","13.3",",0,24,","0",",,0,31,+","0",",,0,31,+","45.0",",,0,19,","36.1",",0,07,","","","0.0","0","0.0",",0","159.7",",,,0","","","0",",,,0","24.93",",0","30.11",",,,0","19.76",",,,0","","","","","","","",""
"USW00013983","1948-08","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","564.8","0","187.8",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","14","","","","7","","11.7",",0,05,","0",",,0,31,+","0",",,0,31,+","54.1",",,0,26,","36.1",",0,23,+","","","0.5","0","0.5",",0","107.0",",,,0","","","0",",,,0","24.37",",0","30.25",",,,0","18.49",",,,0","","","","","","","",""
"USW00013983","1948-09","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","667.9","0","103.1",",0","5",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","11","","","","4","","8.3",",0,26,+","0",",,0,30,+","0",",,0,30,+","33.0",",,0,08,","33.9",",0,20,","","","22.2","0","21.7",",0","63.6",",,,0","","","0",",,,0","21.05",",0","27.11",",,,0","14.98",",,,0","","","","","","","",""
"USW00013983","1948-10","38.96667","-92.36667","237.1","COLUMBIA MUNICIPAL AIRPORT, MO US","669.0","0","1.1",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","12",",0","0",",0","13","","","","5","","-2.2",",0,18,","0",",,0,31,+","0",",,0,31,+","23.9",",,0,16,","26.1",",0,15,+","","","191.3","0","169.1",",0","70.7",",,,0","","","0",",,,0","12.91",",0","19.74",",,,0","6.09",",,,0","","","","","","","",""
