"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153408","1893-05","38.1","-84.53333","288.6","GREENDALE, KY US","15",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","20.1",",,6,01,","","","115.2",",,,6","","","","","",""
"USC00153408","1893-06","38.1","-84.53333","288.6","GREENDALE, KY US","12",",6","11",",6","1",",6","","","","","","","","","","","","","","","","","32.5",",,6,04,","","","121.5",",,,6","","","","","",""
"USC00153408","1893-07","38.1","-84.53333","288.6","GREENDALE, KY US","8",",6","6",",6","3",",6","","","","","","","0",",6","31",",6","0",",6","","","","","50.8",",,6,02,","28.9",",6,25,","146.8",",,,6","","","25.43",",,,6","",""
"USC00153408","1893-08","38.1","-84.53333","288.6","GREENDALE, KY US","6",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","15.2",",,6,10,","","","53.1",",,,6","","","","","",""
"USC00153408","1893-10","38.1","-84.53333","288.6","GREENDALE, KY US","6",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","52.3",",,6,03,","","","135.4",",,,6","","","","","",""
"USC00153408","1893-11","38.1","-84.53333","288.6","GREENDALE, KY US","9",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","26.4",",,6,27,","","","68.7",",,,6","","","","","",""
"USC00153408","1893-12","38.1","-84.53333","288.6","GREENDALE, KY US","10",",6","5",",6","1",",6","0",",6","","","","","","","","","","","","","13",",,6,17,+","29.7",",,6,03,","","","64.8",",,,6","26",",,,6","","","",""
"USC00153408","1894-01","38.1","-84.53333","288.6","GREENDALE, KY US","13",",6","7",",6","1",",6","2",",6","","","","","","","","","","","","","51",",,6,24,","25.7",",,6,05,","","","86.2",",,,6","76",",,,6","","","",""
"USC00153408","1894-02","38.1","-84.53333","288.6","GREENDALE, KY US","10",",6","8",",6","0",",6","3",",6","","","","","","","","","","","","","127",",,6,25,","16.5",",,6,12,","","","93.5",",,,6","254",",,,6","","","",""
"USC00153408","1894-03","38.1","-84.53333","288.6","GREENDALE, KY US","9",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","18.0",",,6,22,","","","51.8",",,,6","","","","","",""
"USC00153408","1894-05","38.1","-84.53333","288.6","GREENDALE, KY US","12",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","36.6",",,6,12,","","","106.5",",,,6","","","","","",""
"USC00153408","1894-06","38.1","-84.53333","288.6","GREENDALE, KY US","9",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","43.4",",,6,27,","","","78.6",",,,6","","","","","",""
"USC00153408","1894-07","38.1","-84.53333","288.6","GREENDALE, KY US","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","13.0",",,6,23,","","","32.0",",,,6","","","","","",""
"USC00153408","1894-08","38.1","-84.53333","288.6","GREENDALE, KY US","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","40.1",",,6,26,","","","114.4",",,,6","","","","","",""
"USC00153408","1894-09","38.1","-84.53333","288.6","GREENDALE, KY US","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","19.3",",,6,16,","","","54.4",",,,6","","","","","",""
"USC00153408","1894-10","38.1","-84.53333","288.6","GREENDALE, KY US","5",",6","4",",6","0",",6","","","0",",","0",",6","","","","","","","6.1",",6,31,+","","","14.7",",,6,30,","","","30.4",",,,6","","","","","14.28",",,,6"
"USC00153408","1894-11","38.1","-84.53333","288.6","GREENDALE, KY US","5",",6","4",",6","0",",6","1",",6","","","","","","","","","","","","","25",",,6,11,","11.7",",,6,23,","","","35.0",",,,6","25",",,,6","","","",""
"USC00153408","1894-12","38.1","-84.53333","288.6","GREENDALE, KY US","12","1,6","9","1,6","0","1,6","2",",6","","","","","","","","","","","","","191",",,6,26,","20.6","1,,6,02,","","","103.7","1,,,6","250",",,,6","","","",""
"USC00153408","1895-01","38.1","-84.53333","288.6","GREENDALE, KY US","11",",6","11",",6","1",",6","5",",6","","","","","","","","","","","","","102",",,6,12,","31.8",",,6,07,","","","134.0",",,,6","331",",,,6","","","",""
"USC00153408","1895-02","38.1","-84.53333","288.6","GREENDALE, KY US","4","2,6","3","2,6","0","2,6","3",",6","","","","","","","","","","","","","102",",,6,07,","10.2","2,,6,07,","","","17.6","2,,,6","178",",,,6","","","",""
"USC00153408","1895-03","38.1","-84.53333","288.6","GREENDALE, KY US","12",",6","8",",6","0",",6","3",",6","","","","","","","","","","","","","89",",,6,20,","17.3",",,6,13,","","","73.7",",,,6","139",",,,6","","","",""
"USC00153408","1895-04","38.1","-84.53333","288.6","GREENDALE, KY US","11",",6","8",",6","0",",6","0",",6","","","","","","","","","","","","","0",",T,6,02,","12.2",",,6,01,","","","63.7",",,,6","0",",T,,6","","","",""
