"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00455664","1914-08","48.283333","-119.15","1219.2","MOUNT BONAPART, WA US","0.0","3,6","","","","","0","3,6","6","3,6","0","3,6","12","3,6","0","3,6","","","-3.3","3,6,08,+","","","","","24.4","3,6,15,+","183.5","3,6","","","11.78","3,6","19.63","3,,,6","3.93","3,,,6"
"USC00455664","1915-12","48.283333","-119.15","1219.2","MOUNT BONAPART, WA US","","","31",",6","4",",6","","","","","","","","","","","1","","","","330",",,6,29,+","71",",,6,20,","","","","","224",",,,6","","","","","",""
"USC00455664","1916-01","48.283333","-119.15","1219.2","MOUNT BONAPART, WA US","","","31",",6","4",",6","","","","","","","","","","","","","","","559",",,6,05,+","216",",,6,03,","","","","","304",",,,6","","","","","",""
"USC00455664","1916-02","48.283333","-119.15","1219.2","MOUNT BONAPART, WA US","","","27","2,6","","","","","","","","","","","","","5","","","","864","2,,6,12,+","","","","","","","","","","","","","",""
"USC00455664","1916-11","48.283333","-119.15","1219.2","MOUNT BONAPART, WA US","","","","","3",",6","","","","","","","","","","","","","","","","","76",",,6,27,","","","","","126",",,,6","","","","","",""
