"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00230536","1894-06","38.25","-91.75","312.1","BELLE, MO US","212.9","6","159.2",",6","4",",6","4",",6","0",",6","","","0",",6","0",",6","0",",6","29",",6","23",",6","","","1.7",",6,01,","","","21.6",",,6,25,","39.4",",6,22,","","","18.4",",6","49.2",",,,6","","","23.03",",6","33.22",",,,6","12.84",",,,6"
"USC00230536","1894-07","38.25","-91.75","312.1","BELLE, MO US","378.1","6","165.2",",6","3",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","23",",6","","","5.6",",6,23,","","","45.7",",,6,04,","40.6",",6,25,","0.0","6","0.0",",6","65.2",",,,6","","","23.66",",6","33.62",",,,6","13.71",",,,6"
"USC00230536","1894-08","38.25","-91.75","312.1","BELLE, MO US","552.5","6","174.4",",6","9",",6","7",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","20",",6","","","4.4",",6,04,","","","22.6",",,6,19,","41.1",",6,11,","4.7","6","4.7",",6","77.3",",,,6","","","23.81",",6","34.11",",,,6","13.50",",,,6"
"USC00230536","1894-09","38.25","-91.75","312.1","BELLE, MO US","597.6","6","45.1",",6","10",",6","6",",6","1",",6","","","0",",6","0",",6","0",",6","28",",6","5",",6","","","1.1",",6,25,","","","31.8",",,6,15,","35.6",",6,01,","54.4","6","49.7",",6","109.3",",,,6","","","18.18",",6","26.97",",,,6","9.39",",,,6"
"USC00230536","1894-10","38.25","-91.75","312.1","BELLE, MO US","615.7","6","18.1",",6","6",",6","4",",6","0",",6","0",",6","0",",6","10",",6","0",",6","27",",6","8",",6","","","-7.8",",6,10,","0",",T,6,30,","11.7",",,6,20,","37.2",",6,17,","179.1","6","124.7",",6","33.4",",,,6","0",",T,,6","14.90",",6","26.70",",,,6","3.09",",,,6"
"USC00230536","1894-11","38.25","-91.75","312.1","BELLE, MO US","615.7","6","0.0",",6","4",",6","3",",6","1",",6","","","0",",6","25",",6","0",",6","8",",6","0",",6","","","-16.1",",6,17,","","","29.5",",,6,30,","24.4",",6,01,","563.2","6","384.1",",6","46.7",",,,6","","","5.53",",6","17.00",",,,6","-5.94",",,,6"
"USC00230536","1894-12","38.25","-91.75","312.1","BELLE, MO US","","","","","7",",6","5",",6","1",",6","1",",6","","","","","","","","","","","2","","","","30",",,6,26,","51.6",",,6,01,","","","","","","","97.0",",,,6","45",",,,6","","","","","",""
"USC00230536","1895-01","38.25","-91.75","312.1","BELLE, MO US","","","","","7","2,6","5","2,6","0","2,6","4",",6","","","","","","","","","","","","","","","157",",,6,25,","15.7","2,,6,25,","","","","","","","45.7","2,,,6","373",",,,6","","","","","",""
"USC00230536","1895-02","38.25","-91.75","312.1","BELLE, MO US","","","","","13","2,6","3","2,6","0","2,6","","","","","","","","","","","","","","","","","","","5.8","2,,6,06,","","","","","","","24.4","2,,,6","","","","","","","",""
"USC00230536","1895-03","38.25","-91.75","312.1","BELLE, MO US","","","","","9","1,6","4","1,6","1","1,6","3",",6","","","","","","","","","","","","","","","81",",,6,06,","30.7","1,,6,19,","","","","","","","56.0","1,,,6","268",",,,6","","","","","",""
