"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"UKW00035047","1935-12","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","5,S","12","5,S","","","","","","","","","","","-6.1","5,S,24,","","","","","","","","","","","","","","","","","","","","","1.64","5,,,S","","","",""
"UKW00035047","1936-01","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","5,S","8","5,S","","","","","","","","","","","-2.8","5,S,19,+","","","","","","","","","","","","","","","","","","","","","2.63","5,,,S","","","",""
"UKW00035047","1936-02","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","3,S","12","3,S","","","","","","","","","","","-5.6","3,S,12,","","","","","","","","","","","","","","","","","","","","","0.75","3,,,S","","","",""
"UKW00035047","1936-03","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","4,S","4","4,S","","","","","","","","","","","-1.1","4,S,17,","","","","","","","","","","","","","","","","","","","","","4.34","4,,,S","","","",""
"UKW00035047","1936-04","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","2,S","3","2,S","","","","","","","","","","","-1.1","2,S,14,","","","","","","","","","","","","","","","","","","","","","3.63","2,,,S","","","",""
"UKW00035047","1936-05","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","5,S","0","5,S","","","","","","","","","","","5.0","5,S,02,","","","","","","","","","","","","","","","","","","","","","8.13","5,,,S","","","",""
"UKW00035047","1936-06","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","1,S","0","1,S","","","","","","","","","","","4.4","1,S,01,","","","","","","","","","","","","","","","","","","","","","11.19","1,,,S","","","",""
"UKW00035047","1936-07","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","3,S","0","3,S","","","","","","","","","","","6.1","3,S,26,","","","","","","","","","","","","","","","","","","","","","12.09","3,,,S","","","",""
"UKW00035047","1936-08","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","1,S","0","1,S","","","","","","","","","","","8.9","1,S,29,+","","","","","","","","","","","","","","","","","","","","","12.69","1,,,S","","","",""
"UKW00035047","1936-09","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0",",S","0",",S","","","","","","","","","","","7.8",",S,29,","","","","","","","","","","","","","","","","","","","","","12.20",",,,S","","","",""
"UKW00035047","1936-10","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","2,S","0","2,S","","","","","","","","","","","2.2","2,S,04,","","","","","","","","","","","","","","","","","","","","","6.56","2,,,S","","","",""
"UKW00035047","1937-02","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","4,S","2","4,S","","","","","","","","","","","-0.6","4,S,28,","","","","","","","","","","","","","","","","","","","","","3.31","4,,,S","","","",""
"UKW00035047","1937-03","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","1,S","9","1,S","","","","","","","","","","","-2.8","1,S,16,","","","","","","","","","","","","","","","","","","","","","1.56","1,,,S","","","",""
"UKW00035047","1937-04","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","0","1,S","0","1,S","","","","","","","","","","","1.1","1,S,01,","","","","","","","","","","","","","","","","","","","","","6.13","1,,,S","","","",""
