"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CKNO","1985-06","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","","","0","4,U","0","4,U","0","4,U","24","4,U","10","4,U","6.1","4,U,01,","37.8","4,U,16,","","","","","24.33","6,U","29.96","4,,,U","18.69","4,,,U"
"USR0000CKNO","1985-07","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","180.8","2,U","0","2,U","0","2,U","0","2,U","29","2,U","19","2,U","7.8","2,U,31,","39.4","2,U,24,","6.6","U","6.6","2,U","24.34","2,U","32.17","2,,,U","16.51","2,,,U"
"USR0000CKNO","1985-08","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","98.3",",U","0",",U","0",",U","0",",U","30",",U","8",",U","6.7",",U,19,","35.0",",U,24,","14.9","U","8.3",",U","21.24",",U","29.70",",,,U","12.77",",,,U"
"USR0000CKNO","1985-09","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","24.8","1,U","0","1,U","0","1,U","0","1,U","22","1,U","2","1,U","5.0","1,U,11,+","33.3","1,U,24,","78.1","U","63.2","1,U","17.01","1,U","23.75","1,,,U","10.27","1,,,U"
"USR0000CKNO","1985-10","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","30.2","2,U","0","2,U","0","2,U","0","2,U","14","2,U","2","2,U","3.3","2,U,21,","33.3","2,U,04,","190.4","U","112.3","2,U","15.50","2,U","21.53","2,,,U","9.47","2,,,U"
"USR0000CKNO","1985-11","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","0.5","1,U","0","1,U","13","1,U","0",",U","5",",U","0",",U","-4.4","1,U,21,+","24.4",",U,03,+","527.7","U","337.3",",U","6.91","1,U","11.60",",,,U","2.23","1,,,U"
"USR0000CKNO","1985-12","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","","","0.0","2,U","0","1,U","4","1,U","0","1,U","0","1,U","0","1,U","-3.9","1,U,13,","20.6","1,U,19,","782.3","U","254.6","1,U","9.44","2,U","13.70","1,,,U","5.18","1,,,U"
"USR0000CKNO","1986-01","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","0.0","U","0.0","3,U","0","2,U","1","2,U","0","2,U","0","2,U","0","2,U","-0.6","2,U,10,","16.7","2,U,26,","1065.8","U","283.5","2,U","8.23","3,U","11.83","2,,,U","4.63","2,,,U"
"USR0000CKNO","1986-02","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","0.3","U","0.3","2,U","0","2,U","3","2,U","0","1,U","6","1,U","0","1,U","-3.3","2,U,10,","26.1","1,U,27,","1318.1","U","252.3","1,U","8.82","2,U","12.71","1,,,U","4.93","2,,,U"
"USR0000CKNO","1986-03","38.8619","-122.4172","670.6","KNOXVILLE CREEK CALIFORNIA, CA US","0.3","U","0.0","2,U","0","1,U","1","1,U","0","2,U","11","2,U","0","2,U","-1.7","1,U,14,","26.1","2,U,29,","1517.8","U","199.7","2,U","11.49","2,U","17.19","2,,,U","5.79","1,,,U"
