"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053841","1996-07","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","117.2","4,M","","","","","","","0","4,M","0","4,M","0","4,M","27","4,M","1","4,M","","","","","","","11.7","4,M,04,","","","32.2","4,M,01,","0.0","M","0.0","4,M","","","22.67","4,M","27.82","4,,,M","17.53","4,,,M","","","","","","","","","",""
"USW00053841","1996-08","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","147.0",",M","","","","","","","0",",M","0",",M","0",",M","31",",M","2",",M","","","","","","","12.2",",M,31,+","","","32.8",",M,07,","0.0","M","0.0",",M","","","23.07",",M","29.07",",,,M","17.08",",,,M","","","","","","","","","",""
"USW00053841","1996-09","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","52.3","1,M","","","","","","","0","1,M","0","1,M","0","1,M","23","1,M","0","1,M","","","","","","","6.1","1,M,29,+","","","30.6","1,M,05,","45.2","M","45.2","1,M","","","18.58","1,M","24.41","1,,,M","12.74","1,,,M","","","","","","","","","",""
"USW00053841","1996-10","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","2.0",",M","","","","","","","0",",M","1",",M","0",",M","15",",M","0",",M","","","","","","","-0.6",",M,20,","","","25.6",",M,17,+","201.3","M","156.1",",M","","","13.36",",M","19.82",",,,M","6.91",",,,M","","","","","","","","","",""
"USW00053841","1996-11","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","0.0",",M","","","","","","","0",",M","20",",M","0",",M","1",",M","0",",M","","","","","","","-7.2",",M,12,","","","23.9",",M,07,","624.3","M","423.0",",M","","","4.23",",M","8.98",",,,M","-0.51",",,,M","","","","","","","","","",""
"USW00053841","1996-12","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","0.0",",M","","","","","","","0",",M","19",",M","4",",M","0",",M","0",",M","","","","","","","-12.8",",M,20,","","","18.9",",M,28,+","1064.3","M","440.0",",M","","","4.14",",M","8.95",",,,M","-0.66",",,,M","","","","","","","","","",""
"USW00053841","1997-01","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","0.0","M","0.0","3,M","","","","","","","1","3,M","22","3,M","9","3,M","0","3,M","0","3,M","","","","","","","-17.8","3,M,11,","","","20.0","3,M,04,","1610.1","M","545.8","3,M","","","-1.16","3,M","4.18","3,,,M","-6.50","3,,,M","","","","","","","","","",""
"USW00053841","1997-02","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","0.0","M","0.0",",M","","","","","","","0",",M","18",",M","1",",M","1",",M","0",",M","","","","","","","-6.7",",M,17,","","","21.7",",M,20,","1997.8","M","387.7",",M","","","4.49",",M","9.40",",,,M","-0.43",",,,M","","","","","","","","","",""
"USW00053841","1997-03","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","0.0","M","0.0",",M","","","","","","","0",",M","11",",M","0",",M","1",",M","0",",M","","","","","","","-8.9",",M,16,","","","22.8",",M,21,","2324.7","M","326.9",",M","","","7.79",",M","13.82",",,,M","1.75",",,,M","","","","","","","","","",""
"USW00053841","1997-06","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","","","","","87.6","1,M","","","","","","","0","1,M","0","1,M","0","1,M","22","1,M","1","1,M","","","","","","","10.0","1,M,15,","","","32.2","1,M,24,","","","17.3","1,M","","","20.76","1,M","25.39","1,,,M","16.13","1,,,M","","","","","","","","","",""
