"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00235050","1989-07","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","","","211.5",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","13.9",",0,22,","","","","","","","36.7",",0,29,+","","","0.0","0","0.0",",0","","","","","25.15",",0","32.06",",,,0","18.25",",,,0","","","","","",""
"USC00235050","1989-08","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","","","150.2",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","","","","","9.4",",0,08,","0",",,0,31,+","0",",,0,31,+","25.9",",,0,29,","35.6",",0,06,","","","0.8","0","0.8",",0","74.1",",,,0","0",",,,0","23.15",",0","30.03",",,,0","16.27",",,,0","","","","","",""
"USC00235050","1989-09","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","","","35.1",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","22",",0","1",",0","","","","","-1.1",",0,24,","0",",,0,30,+","0",",,0,30,+","44.5",",,0,09,","32.2",",0,01,","","","90.2","0","89.4",",0","86.6",",,,0","0",",,,0","16.52",",0","23.46",",,,0","9.58",",,,0","","","","","",""
"USC00235050","1989-10","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","","","8.6",",0","6",",0","4",",0","2",",0","0",",0","0",",0","0",",0","6",",0","0",",0","17",",0","0",",0","","","","","-3.9",",0,21,+","0",",,0,31,+","0",",,0,31,+","43.2",",,0,30,","31.1",",0,14,+","","","257.4","0","167.2",",0","90.7",",,,0","0",",,,0","13.21",",0","21.33",",,,0","5.10",",,,0","","","","","",""
"USC00235050","1989-11","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","","","0.0","1,0","3",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","22","1,0","1",",0","2",",0","0",",0","","","","","-13.9","1,0,29,","0",",,0,30,+","0",",,0,30,+","6.1",",,0,14,","23.9",",0,14,","","","661.0","0","403.6",",0","7.1",",,,0","0",",,,0","4.48","1,0","12.23",",,,0","-3.28","1,,,0","","","","","",""
"USC00235050","1989-12","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","","","0.0",",0","10",",0","4",",0","0",",0","","","","","13",",0","31",",0","17",",0","0",",0","0",",0","","","","","-33.3",",0,23,","","","","","6.9",",,0,19,","15.0",",0,06,","","","1485.5","0","824.5",",0","23.7",",,,0","","","-8.26",",0","-1.52",",,,0","-15.01",",,,0","","","","","",""
"USC00235050","1990-01","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","0.0","0","0.0",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","0",",0","0",",0","","","","","-8.9",",0,14,+","0",",,0,31,+","0",",,0,31,+","12.2",",,0,17,","20.6",",0,17,","","","1985.8","0","500.3",",0","32.5",",,,0","0",",,,0","2.20",",0","7.90",",,,0","-3.51",",,,0","","","","","",""
"USC00235050","1990-02","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","0.0","0","0.0",",0","10",",0","6",",0","1",",0","0","2,0","0","1,0","0",",0","25",",0","5",",0","1",",0","0",",0","","","","","-11.7",",0,18,+","0","2,,0,28,+","0","1,,0,28,+","25.9",",,0,15,","22.2",",0,13,","","","2441.2","0","455.4",",0","84.2",",,,0","0","1,,,0","2.07",",0","7.81",",,,0","-3.67",",,,0","","","","","",""
"USC00235050","1990-03","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","7.8","0","7.8",",0","13",",0","8",",0","1",",0","0","1,0","0","1,0","0",",0","15",",0","1",",0","5",",0","0",",0","","","","","-7.8",",0,26,+","0","1,,0,31,+","0","1,,0,31,+","60.7",",,0,15,","26.7",",0,13,","","","2806.1","0","364.9",",0","114.2",",,,0","0","1,,,0","6.81",",0","12.33",",,,0","1.30",",,,0","","","","","",""
"USC00235050","1990-04","39.7505","-92.5065","249.9","LONG BRANCH RESERVOIR, MO US","","","27.4","0","19.6",",0","13",",0","6",",0","1",",0","0",",0","0",",0","0",",0","9",",0","0",",0","10",",0","0",",0","","","","","-6.1",",0,07,","0",",,0,30,+","0",",,0,30,+","28.4",",,0,28,","28.3",",0,27,+","","","3043.1","0","237.0",",0","70.7",",,,0","0",",,,0","11.09",",0","17.59",",,,0","4.59",",,,0","","","","","",""
