"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00243127","1903-06","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","18.4",",6","","","0",",6","0",",6","0",",6","22",",6","0",",6","5.6",",6,10,","","","29.4",",6,17,+","","","50.6",",6","","","17.26",",6","24.15",",,,6","10.37",",,,6"
"USC00243127","1903-07","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","46.2",",6","","","0",",6","0",",6","0",",6","23",",6","2",",6","3.9",",6,07,+","","","34.4",",6,22,","64.2","6","64.2",",6","","","17.75",",6","25.24",",,,6","10.26",",,,6"
"USC00243127","1903-08","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","46.8","1,6","","","0","1,6","0","1,6","0",",6","28",",6","5",",6","4.4","1,6,28,","","","34.4",",6,20,","99.6","6","35.4",",6","","","18.75","1,6","26.66",",,,6","10.84","1,,,6"
"USC00243127","1903-09","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","1.7","1,6","","","0",",6","7",",6","0","1,6","15","1,6","0","1,6","-1.7",",6,14,","","","28.3","1,6,24,+","279.8","6","180.2","1,6","","","12.08","1,6","19.52","1,,,6","4.64",",,,6"
"USC00243127","1903-10","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","0.0","1,6","","","0","1,6","19","1,6","0",",6","6",",6","0",",6","-3.3","1,6,27,+","","","24.4",",6,22,","578.0","6","298.2",",6","","","8.50","1,6","16.65",",,,6","0.36","1,,,6"
"USC00243127","1903-11","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","0.0",",6","","","7",",6","29",",6","11",",6","0",",6","0",",6","-30.6",",6,18,","","","20.6",",6,08,","1248.1","6","670.1",",6","","","-4.01",",6","2.80",",,,6","-10.81",",,,6"
"USC00243127","1903-12","46.616667","-112.1","1220.4","FORT HARRISON, MT US","","","0.0","2,6","","","0","1,6","30","1,6","4","1,6","0","1,6","0","1,6","-16.1","1,6,20,+","","","13.3","1,6,01,","1867.0","6","618.9","1,6","","","-2.88","2,6","5.22","1,,,6","-10.98","1,,,6"
"USC00243127","1904-01","46.616667","-112.1","1220.4","FORT HARRISON, MT US","0.0","6","0.0",",6","","","3",",6","31",",6","10",",6","0",",6","0",",6","-18.3",",6,25,+","","","10.0",",6,18,+","2551.5","6","684.5",",6","","","-3.75",",6","2.16",",,,6","-9.65",",,,6"
"USC00243127","1904-02","46.616667","-112.1","1220.4","FORT HARRISON, MT US","0.0","6","0.0","1,6","","","8","1,6","28","1,6","10",",6","0",",6","0",",6","-25.6","1,6,10,+","","","13.9",",6,27,","3261.7","6","710.2",",6","","","-6.87","1,6","0.80",",,,6","-14.54","1,,,6"
"USC00243127","1904-03","46.616667","-112.1","1220.4","FORT HARRISON, MT US","0.0","6","0.0",",6","","","1",",6","28",",6","5",",6","0",",6","0",",6","-19.4",",6,02,","","","15.6",",6,31,+","3832.3","6","570.6",",6","","","-0.07",",6","5.36",",,,6","-5.51",",,,6"
"USC00243127","1904-04","46.616667","-112.1","1220.4","FORT HARRISON, MT US","0.0","6","0.0","2,6","","","0","2,6","3","2,6","0",",6","11",",6","0",",6","-5.6","2,6,16,","","","26.7",",6,28,","4016.3","6","184.0",",6","","","11.73","2,6","17.93",",,,6","5.53","2,,,6"
"USC00243127","1904-05","46.616667","-112.1","1220.4","FORT HARRISON, MT US","1.2","6","1.2",",6","","","0",",6","0",",6","0",",6","12",",6","0",",6","1.1",",6,13,","","","30.0",",6,22,","4167.5","6","151.2",",6","","","13.49",",6","19.32",",,,6","7.67",",,,6"
"USC00243127","1904-06","46.616667","-112.1","1220.4","FORT HARRISON, MT US","14.8","6","13.6",",6","","","0",",6","0",",6","0",",6","21",",6","0",",6","1.7",",6,25,","","","31.7",",6,30,","4255.5","6","88.0",",6","","","15.85",",6","22.69",",,,6","9.01",",,,6"
"USC00243127","1904-07","46.616667","-112.1","1220.4","FORT HARRISON, MT US","71.1","6","56.3","3,6","","","0","3,6","0","3,6","0",",6","29",",6","3",",6","4.4","3,6,30,","","","33.3",",6,28,","21.7","6","21.7",",6","","","19.56","3,6","27.47",",,,6","11.65","3,,,6"
"USC00243127","1904-08","46.616667","-112.1","1220.4","FORT HARRISON, MT US","142.2","6","71.1","3,6","","","0","3,6","0","3,6","0",",6","29",",6","7",",6","2.2","3,6,21,","","","36.1",",6,15,","44.5","6","22.8",",6","","","20.30","3,6","28.51",",,,6","12.10","3,,,6"
"USC00243127","1904-09","46.616667","-112.1","1220.4","FORT HARRISON, MT US","153.3","6","11.1","2,6","","","0","1,6","1","1,6","0","1,6","20","1,6","2","1,6","-1.1","1,6,13,","","","33.9","1,6,09,","165.1","6","120.6","1,6","","","14.56","2,6","23.14","1,,,6","5.97","1,,,6"
