"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00141867","1964-06","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","130.7",",0","8",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","","","5.0",",0,01,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,23,","35.0",",0,21,","235.9",",,,0","","","15.0",",0","134.9",",,,0","0",",,,0","22.19",",0","27.92",",,,0","16.46",",,,0","4976",",,,0"
"USC00141867","1964-08","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","159.3","4,0","7",",0","5",",0","3",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","25","4,0","11","4,0","","","8.3","4,0,12,","0",",,0,31,+","0",",,0,31,+","38.6",",,0,20,","41.7","4,0,04,","","","","","5.3","4,0","123.4",",,,0","0",",,,0","24.04","4,0","30.54","4,,,0","17.53","4,,,0","",""
"USC00141867","1964-09","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","6",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","12.7",",,0,01,","","","","","","","","","45.2",",,,0","0",",,,0","","","","","","","",""
"USC00141867","1964-10","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","5.1",",,0,26,","","","","","","","","","8.1",",,,0","0",",,,0","","","","","","","",""
"USC00141867","1964-11","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","6",",0","6",",0","1",",0","0","1,0","0","1,0","","","","","","","","","","","","","","","0","1,,0,30,+","0","1,,0,30,+","92.5",",,0,16,","","","","","","","","","146.6",",,,0","0","1,,,0","","","","","","","",""
"USC00141867","1964-12","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","3",",0","2",",0","0",",0","4","2,","","","","","","","","","","","","","","","","","102","2,,0,04,","","","10.4",",,0,10,","","","","","","","","","22.6",",,,0","","","","","","","","","",""
"USC00141867","1965-01","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","1","3,0","0","3,0","0","3,0","2",",0","1",",0","","","","","","","","","","","","","","","51",",,0,26,","51",",,0,26,","1.0","3,,0,26,","","","","","","","","","1.0","3,,,0","51",",,,0","","","","","","","",""
"USC00141867","1965-02","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","5",",0","4",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","5.8",",,0,10,","","","","","","","","","19.4",",,,0","","","","","","","","","",""
"USC00141867","1965-03","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","2",",0","2",",0","1",",0","","","","","","","","","","","","","","","","","","","","","","","47.0",",,0,01,","","","","","","","","","64.0",",,,0","","","","","","","","","",""
"USC00141867","1965-04","38.6758","-96.5096","400.8","COUNCIL GROVE LAKE, KS US","","","","","6",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","30.7",",,0,25,","","","","","","","","","67.0",",,,0","0",",,,0","","","","","","","",""
