"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USC00111577","1928-03","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","7",",0","5",",0","0",",0","1",",0","2",",0","0",",0","26",",0","4",",0","3",",0","0",",0","","","","","","","-13.3",",0,05,","25",",,0,29,","107",",,0,29,","9.1",",,0,08,","25.0",",0,23,","","","496.5",",0","35.2",",,,0","","","153",",,,0","2.32",",0","7.12",",,,0","-2.48",",,,0","","","","","","","","","",""
"USC00111577","1928-04","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.5",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","3",",0","0",",0","","","","","","","-6.1",",0,15,","0",",T,0,14,+","15",",,0,08,","22.9",",,0,05,","23.3",",0,29,+","","","351.4",",0","51.0",",,,0","","","18",",,,0","6.64",",0","12.04",",,,0","1.24",",,,0","","","","","","","","","",""
"USC00111577","1928-05","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","9.0",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","14",",0","0",",0","","","","","","","-0.6",",0,12,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,16,","31.7",",0,03,","","","126.2",",0","43.0",",,,0","","","0",",,,0","14.55",",0","21.19",",,,0","7.91",",,,0","","","","","","","","","",""
"USC00111577","1928-06","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","32.0",",0","14",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","","","","","","","5.0",",0,10,","0",",,0,30,+","0",",,0,30,+","65.0",",,0,20,","30.6",",0,12,","","","65.9",",0","168.7",",,,0","","","0",",,,0","17.20",",0","22.72",",,,0","11.68",",,,0","","","","","","","","","",""
"USC00111577","1928-11","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","15",",0","7",",0","2",",0","0",",0","0",",0","0",",0","13",",0","1",",0","0",",0","0",",0","","","","","","","-7.2",",0,26,+","0",",,0,30,+","3",",,0,21,","32.8",",,0,16,","20.0",",0,15,","","","407.3",",0","103.0",",,,0","","","3",",,,0","4.76",",0","8.44",",,,0","1.07",",,,0","","","","","","","","","",""
"USC00111577","1928-12","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0","1,0","12","1,0","4","1,0","1","1,0","3","1,0","2","1,0","1","1,0","25","1,0","9","1,0","0","1,0","0","1,0","","","","","","","-17.8","1,0,21,","25","1,,0,17,+","41","1,,0,17,+","31.5","1,,0,13,","10.0","1,0,11,","","","576.6","1,0","66.2","1,,,0","","","98","1,,,0","-0.89","1,0","2.74","1,,,0","-4.52","1,,,0","","","","","","","","","",""
"USC00111577","1929-01","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","15",",0","9",",0","0",",0","27",",0","7",",0","11",",0","31",",0","22",",0","0",",0","0",",0","","","","","","","-25.0",",0,15,","152",",,0,14,","142",",,0,14,","22.9",",,0,22,","5.6",",0,22,","","","856.3",",0","98.6",",,,0","","","487",",,,0","-9.29",",0","-3.85",",,,0","-14.73",",,,0","","","","","","","","","",""
"USC00111577","1929-02","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","10",",0","2",",0","0",",0","20","1,0","3","1,0","8",",0","28",",0","19",",0","0",",0","0",",0","","","","","","","-22.8",",0,20,+","127","1,,0,13,","41","1,,0,19,","4.1",",,0,08,","8.3",",0,26,","","","706.5",",0","15.4",",,,0","","","156","1,,,0","-6.90",",0","-2.21",",,,0","-11.59",",,,0","","","","","","","","","",""
"USC00111577","1929-03","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0","2,0","8","2,0","5","2,0","2","2,0","0","2,0","0","2,0","0","2,0","12","2,0","2","2,0","1","2,0","0","2,0","","","","","","","-13.3","2,0,07,","0","2,T,0,17,+","5","2,,0,16,+","63.5","2,,0,31,","22.2","2,0,24,","","","370.8","2,0","119.9","2,,,0","","","13","2,,,0","5.55","2,0","10.83","2,,,0","0.27","2,,,0","","","","","","","","","",""
"USC00111577","1929-04","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","14.2","0","14.2",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","7",",0","0",",0","","","","","","","-1.7",",0,01,","0",",,0,30,+","0",",T,0,02,+","29.0",",,0,20,","28.9",",0,06,","","","254.5",",0","98.5",",,,0","","","0",",T,,0","10.32",",0","15.32",",,,0","5.32",",,,0","","","","","","","","","",""
"USC00111577","1929-05","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","51.4","0","37.2",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","12",",0","2",",0","","","","","","","0.0",",0,04,","0",",,0,31,+","0",",T,0,15,+","16.8",",,0,23,","33.3",",0,30,+","","","180.4",",0","57.5",",,,0","","","0",",T,,0","13.71",",0","19.68",",,,0","7.75",",,,0","","","","","","","","","",""
"USC00111577","1929-06","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","100.6","0","49.2","2,0","9","1,0","6","1,0","2","1,0","0","1,0","0","1,0","0","2,0","0","2,0","0","1,0","20","1,0","1","1,0","","","","","","","3.3","2,0,04,","0","1,,0,30,+","0","1,,0,30,+","71.1","1,,0,11,","32.2","1,0,18,","","","58.9","1,0","146.2","1,,,0","","","0","1,,,0","18.06","2,0","24.00","1,,,0","12.12","2,,,0","","","","","","","","","",""
"USC00111577","1929-11","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","5",",0","2",",0","1",",0","0",",0","0",",0","2",",0","19",",0","6",",0","0",",0","0",",0","","","","","","","-18.3",",0,30,+","0",",,0,30,+","0",",T,0,20,+","25.7",",,0,10,","12.8",",0,11,","","","512.9",",0","32.5",",,,0","","","0",",T,,0","1.24",",0","5.43",",,,0","-2.96",",,,0","","","","","","","","","",""
"USC00111577","1929-12","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","13",",0","4",",0","0",",0","0",",0","3",",0","1",",0","28",",0","12",",0","0",",0","0",",0","","","","","","","-18.9",",0,03,","0",",,0,31,+","211",",,0,18,","21.6",",,0,18,","7.8",",0,30,+","","","660.9",",0","51.9",",,,0","","","484",",,,0","-2.99",",0","0.38",",,,0","-6.35",",,,0","","","","","","","","","",""
"USC00111577","1930-01","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","16",",0","5",",0","0",",0","23","1,0","2",",0","9",",0","30",",0","21",",0","0",",0","0",",0","","","","","","","-28.3",",0,18,","279","1,,0,10,+","216",",,0,09,","18.5",",,0,09,","10.0",",0,06,","","","811.2",",0","58.6",",,,0","","","385",",,,0","-7.84",",0","-3.29",",,,0","-12.38",",,,0","","","","","","","","","",""
"USC00111577","1930-02","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","9",",0","3",",0","0",",0","7",",0","0",",0","1",",0","20",",0","5",",0","0",",0","0",",0","","","","","","","-18.9",",0,15,","51",",,0,03,+","5",",,0,16,+","17.8",",,0,24,","18.9",",0,21,","","","454.2",",0","35.0",",,,0","","","18",",,,0","2.11",",0","6.27",",,,0","-2.05",",,,0","","","","","","","","","",""
"USC00111577","1930-03","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0","1,0","9","1,0","4","1,0","1","1,0","5","1,0","3","1,0","0","1,0","27","1,0","5","1,0","1","1,0","0","1,0","","","","","","","-11.7","1,0,02,","483","1,,0,26,","419","1,,0,25,","49.5","1,,0,25,","22.8","1,0,16,","","","507.2","1,0","88.0","1,,,0","","","612","1,,,0","1.43","1,0","6.38","1,,,0","-3.53","1,,,0","","","","","","","","","",""
"USC00111577","1930-04","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","6.7","0","6.7",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","6",",0","2",",0","","","","","","","-2.8",",0,02,","0",",T,0,02,+","0",",T,0,01,","19.6",",,0,15,","32.8",",0,11,+","","","266.0",",0","63.0",",,,0","","","0",",T,,0","9.69",",0","15.59",",,,0","3.78",",,,0","","","","","","","","","",""
"USC00111577","1930-05","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","45.7","0","39.0",",0","11",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","","","","","","","2.2",",0,30,+","0",",,0,31,+","0",",T,0,01,","20.8",",,0,02,","30.6",",0,09,","","","112.1",",0","61.6",",,,0","","","0",",T,,0","15.98",",0","21.75",",,,0","10.20",",,,0","","","","","","","","","",""
"USC00111577","1930-06","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","137.4","0","91.7",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","","","","","","","7.2",",0,10,","0",",,0,30,+","0",",,0,30,+","20.8",",,0,06,","37.2",",0,23,","","","26.3",",0","82.1",",,,0","","","0",",,,0","20.51",",0","26.94",",,,0","14.08",",,,0","","","","","","","","","",""
"USC00111577","1930-11","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","7",",0","4",",0","1",",0","2",",0","1",",0","2",",0","15",",0","4",",0","1",",0","0",",0","","","","","","","-19.4",",0,28,","25",",,0,26,+","33",",,0,25,","25.7",",,0,29,","25.0",",0,19,","","","406.2",",0","41.4",",,,0","","","38",",,,0","4.79",",0","9.99",",,,0","-0.41",",,,0","","","","","","","","","",""
"USC00111577","1930-12","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","","","0.0",",0","9",",0","1",",0","0",",0","8",",0","2",",0","0",",0","27",",0","15",",0","0",",0","0",",0","","","","","","","-15.6",",0,24,+","25",",,0,24,+","33",",,0,13,","3.0",",,0,13,","10.6",",0,09,","","","644.0",",0","9.0",",,,0","","","107",",,,0","-2.44",",0","1.27",",,,0","-6.15",",,,0","","","","","","","","","",""
"USC00111577","1931-01","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","6",",0","2",",0","0",",0","1",",0","1",",0","0",",0","28",",0","8",",0","0",",0","0",",0","","","","","","","-16.7",",0,21,","25",",,0,18,","28",",,0,18,","9.7",",,0,18,","11.1",",0,24,","","","594.8",",0","16.4",",,,0","","","39",",,,0","-0.85",",0","3.16",",,,0","-4.87",",,,0","","","","","","","","","",""
"USC00111577","1931-02","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","22",",0","2",",0","0",",0","0",",0","","","","","","","-12.8",",0,14,","0",",T,0,11,+","8",",,0,11,","5.6",",,0,07,","12.8",",0,03,","","","478.5",",0","11.8",",,,0","","","8",",,,0","1.24",",0","5.34",",,,0","-2.85",",,,0","","","","","","","","","",""
"USC00111577","1931-03","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0",",0","10",",0","7",",0","0",",0","12",",0","4",",0","0",",0","24",",0","1",",0","0",",0","0",",0","","","","","","","-8.9",",0,10,","330",",,0,09,+","257",",,0,08,","24.6",",,0,07,","13.3",",0,23,","","","530.4",",0","92.3",",,,0","","","600",",,,0","1.22",",0","4.59",",,,0","-2.15",",,,0","","","","","","","","","",""
"USC00111577","1931-04","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","0.0","0","0.0","1,0","8",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","9","1,0","0",",0","11",",0","0",",0","","","","","","","-3.9","1,0,06,+","0",",,0,30,+","0",",T,0,26,","20.1",",,0,20,","27.8",",0,08,","","","266.1",",0","47.8",",,,0","","","0",",T,,0","9.21","1,0","15.37",",,,0","3.04","1,,,0","","","","","","","","","",""
"USC00111577","1931-05","41.7372","-87.7775","189.0","CHICAGO MIDWAY AIRPORT 3 SW, IL US","14.1","0","14.1",",0","9",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","","","","","","","0.6",",0,04,+","0",",,0,31,+","0",",,0,31,+","39.1",",,0,19,","31.1",",0,28,","","","183.7",",0","111.6",",,,0","","","0",",,,0","12.86",",0","18.59",",,,0","7.14",",,,0","","","","","","","","","",""
