"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MLM00061277","1964-03","13.333","-4.833","284.0","SAN, ML","","","","","0","4,S","0","4,S","0","4,S","0","4,S","0","4,S","0","5,S","26","5,S","26","5,S","17.2","4,S,07,","0.0","4,,S,31,+","42.8","5,S,24,+","","","0.0","4,,,S","31.26","7,S","41.57","5,,,S","20.95","4,,,S"
"MLM00061277","1975-07","13.333","-4.833","284.0","SAN, ML","","","","","","","","","","","","","","","0","3,S","28","3,S","14","3,S","","","","","40.0","3,S,22,","","","","","","","32.39","3,,,S","",""
"MLM00061277","1975-08","13.333","-4.833","284.0","SAN, ML","","","","","","","","","","","","","","","0","5,S","26","5,S","11","5,S","","","","","39.0","5,S,18,","","","","","","","32.23","5,,,S","",""
"MLM00061277","1976-04","13.333","-4.833","284.0","SAN, ML","","","","","","","","","","","0","5,S","0","5,S","0","4,S","26","4,S","26","4,S","17.0","5,S,02,","","","42.0","4,S,27,+","","","","","32.12","6,S","39.15","4,,,S","25.08","5,,,S"
"MLM00061277","1976-09","13.333","-4.833","284.0","SAN, ML","","","","","","","","","","","0","5,S","0","5,S","0","3,S","27","3,S","14","3,S","19.0","5,S,03,","","","36.0","3,S,30,","","","","","27.68","7,S","32.44","3,,,S","22.92","5,,,S"
"MLM00061277","1976-11","13.333","-4.833","284.0","SAN, ML","","","","","","","","","","","","","","","0","5,S","25","5,S","20","5,S","","","","","36.0","5,S,25,+","","","","","","","34.16","5,,,S","",""
"MLM00061277","1977-02","13.333","-4.833","284.0","SAN, ML","","","","","","","","","","","","","","","0","4,S","24","4,S","23","4,S","","","","","38.0","4,S,25,+","","","","","","","35.42","4,,,S","",""
"MLM00061277","1977-04","13.333","-4.833","284.0","SAN, ML","","","","","3","2,S","2","2,S","0","2,S","0","3,S","0","3,S","","","","","","","17.0","3,S,03,","18.0","2,,S,19,","","","","","21.3","2,,,S","","","","","26.19","3,,,S"
"MLM00061277","1977-06","13.333","-4.833","284.0","SAN, ML","","","","","7","4,S","5","4,S","2","4,S","","","","","","","","","","","","","80.0","4,,S,26,","","","","","130.8","4,,,S","","","","","",""
"MLM00061277","1977-07","13.333","-4.833","284.0","SAN, ML","","","","","11","3,S","9","3,S","0","3,S","","","","","","","","","","","","","21.1","3,,S,27,+","","","","","94.4","3,,,S","","","","","",""
"MLM00061277","1977-08","13.333","-4.833","284.0","SAN, ML","","","","","14",",S","8",",S","1",",S","0","2,S","0","2,S","","","","","","","20.0","2,S,26,+","55.1",",,S,26,","","","","","188.8",",,,S","","","","","23.31","2,,,S"
"MLM00061277","1977-09","13.333","-4.833","284.0","SAN, ML","","","","","12","4,S","9","4,S","2","4,S","","","","","","","","","","","","","39.9","4,,S,17,","","","","","166.8","4,,,S","","","","","",""
