"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094899","1998-08","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.4",",W","","","50.5",",W","8",",W","4",",W","0",",W","0",",W","0",",W","0",",W","25",",W","0",",W","8.9",",W,18,","9.9",",,W,17,","30.0",",W,09,","","","16.8",",W","25.3",",,,W","19.42",",W","23.28",",,,W","15.56",",,,W","","","360",",W","360",",W","16.1",",W","24.1",",W"
"USW00094899","1998-09","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.2",",W","","","14.2",",W","12",",W","7",",W","0",",W","0",",W","0",",W","0",",W","10",",W","1",",W","4.4",",W,22,","15.5",",,W,14,","33.3",",W,05,","","","99.7",",W","45.1",",,,W","15.48",",W","19.29",",,,W","11.67",",,,W","","","30",",W","30",",W","14.3",",W","20.1",",W"
"USW00094899","1998-10","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.7",",W","","","0.0",",W","13",",W","4",",W","0",",W","0",",W","3",",W","0",",W","1",",W","0",",W","-0.6",",W,22,+","10.4",",,W,17,","21.7",",W,17,","","","277.8",",W","30.8",",,,W","9.37",",W","12.63",",,,W","6.11",",,,W","","","340",",W","180",",W","15.2",",W","19.2",",W"
"USW00094899","1998-11","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.0",",W","","","0.0",",W","15",",W","5",",W","0",",W","0",",W","16",",W","1",",W","0",",W","0",",W","-6.7",",W,21,","20.3",",,W,18,","12.8",",W,30,","","","463.9",",W","70.6",",,,W","2.87",",W","5.36",",,,W","0.38",",,,W","","","320",",W","320",",W","17.0",",W","23.2",",W"
"USW00094899","1998-12","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.3","1,W","","","0.0","1,W","6","1,W","3","1,W","0","1,W","1","1,W","25","1,W","12","1,W","0","1,W","0","1,W","-17.8","1,W,22,","18.8","1,,W,05,","12.2","1,W,14,","","","622.1","1,W","41.0","1,,,W","-2.40","1,W","1.60","1,,,W","-6.41","1,,,W","","","40","1,W","30","1,W","17.0","1,W","21.5","1,W"
"USW00094899","1999-01","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.5",",W","","","","","7",",W","5",",W","0",",W","","","","","","","","","","","","","13.0",",,W,16,","","","","","","","44.7",",,,W","","","","","","","","","40",",W","40",",W","18.3",",W","21.9",",W"
"USW00094899","1999-02","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.1",",W","","","0.0",",W","7",",W","2",",W","0",",W","1",",W","27",",W","13",",W","0",",W","0",",W","-20.0",",W,22,","9.9",",,W,11,","7.8",",W,08,","","","616.3",",W","16.6",",,,W","-3.68",",W","-0.19",",,,W","-7.17",",,,W","","","360",",W","360",",W","19.2",",W","21.9",",W"
"USW00094899","1999-03","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.7",",W","","","0.0",",W","0",",W","0",",W","0",",W","0",",W","25",",W","14",",W","0",",W","0",",W","-15.6",",W,07,","0.0",",,W,31,+","15.0",",W,31,","","","605.0",",W","0.0",",,,W","-1.18",",W","2.29",",,,W","-4.66",",,,W","","","10",",W","300",",W","17.0",",W","20.6",",W"
"USW00094899","1999-04","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.2",",W","","","0.0",",W","3",",W","2",",W","0",",W","0",",W","19",",W","0",",W","0",",W","0",",W","-3.3",",W,10,","6.4",",,W,06,","19.4",",W,25,","","","440.0",",W","10.7",",,,W","3.67",",W","7.20",",,,W","0.13",",,,W","","","320",",W","320",",W","13.0",",W","15.2",",W"
"USW00094899","1999-05","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.0",",W","","","4.7",",W","13",",W","9",",W","2",",W","0",",W","0",",W","0",",W","8",",W","0",",W","1.1",",W,09,","52.1",",,W,23,","30.6",",W,29,","","","222.0",",W","161.9",",,,W","11.33",",W","16.31",",,,W","6.35",",,,W","","","340",",W","180",",W","12.5",",W","15.2",",W"
"USW00094899","1999-06","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.2",",W","","","13.7",",W","10",",W","6",",W","1",",W","0",",W","0",",W","0",",W","13",",W","0",",W","3.3",",W,01,","31.5",",,W,11,","30.6",",W,26,","","","108.7",",W","72.0",",,,W","15.17",",W","19.86",",,,W","10.47",",,,W","","","320",",W","210",",W","12.5",",W","16.5",",W"
"USW00094899","1999-07","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.2",",W","","","73.9",",W","11",",W","8",",W","2",",W","0",",W","0",",W","0",",W","25",",W","1",",W","9.4",",W,09,","38.1",",,W,09,","34.4",",W,30,","24.4","W","24.4",",W","115.7",",,,W","19.93",",W","24.22",",,,W","15.64",",,,W","","","330",",W","330",",W","14.3",",W","17.4",",W"
"USW00094899","1999-08","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.5",",W","","","22.3",",W","9",",W","5",",W","1",",W","0",",W","0",",W","0",",W","15",",W","0",",W","8.3",",W,30,+","33.8",",,W,12,","28.9",",W,27,","75.1","W","50.7",",W","80.0",",,,W","17.42",",W","20.96",",,,W","13.87",",,,W","","","30",",W","40",",W","12.5",",W","14.3",",W"
"USW00094899","1999-09","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.8",",W","","","19.1",",W","17",",W","10",",W","0",",W","0",",W","0",",W","0",",W","9",",W","0",",W","5.6",",W,30,+","15.5",",,W,09,","29.4",",W,04,","213.6","W","138.5",",W","80.7",",,,W","14.35",",W","17.86",",,,W","10.84",",,,W","","","40",",W","320",",W","14.3",",W","17.9",",W"
"USW00094899","1999-10","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.7","2,W","","","0.0","1,W","14","1,W","6","1,W","0","1,W","0","1,W","4","1,W","0","1,W","0","1,W","0","1,W","-1.1","1,W,06,","11.2","1,,W,30,","17.8","1,W,12,+","556.3","W","342.7","1,W","47.6","1,,,W","6.91","1,W","10.32","1,,,W","3.50","1,,,W","","","360","1,W","10","1,W","21.5","1,W","23.7","1,W"
"USW00094899","1999-11","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.5",",W","","","","","3",",W","1",",W","0",",W","","","","","","","","","","","","","18.8",",,W,23,","","","","","","","20.1",",,,W","","","","","","","","","350",",W","340",",W","17.9",",W","21.0",",W"
"USW00094899","1999-12","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.0",",W","","","0.0",",W","3",",W","0",",W","0",",W","0",",W","26",",W","14",",W","0",",W","0",",W","-14.4",",W,30,+","1.8",",,W,28,","6.1",",W,03,+","","","658.8",",W","2.8",",,,W","-2.92",",W","-0.12",",,,W","-5.71",",,,W","","","340",",W","340",",W","26.4",",W","30.4",",W"
"USW00094899","2000-01","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","5.7",",W","0.0","W","0.0",",W","1",",W","0",",W","0",",W","1",",W","30",",W","25",",W","0",",W","0",",W","-20.6",",W,22,","0.8",",,W,10,","2.8",",W,08,","","","781.3",",W","0.8",",,,W","-6.87",",W","-3.60",",,,W","-10.14",",,,W","","","360",",W","360",",W","19.7",",W","24.6",",W"
"USW00094899","2000-02","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.4",",W","0.0","W","0.0",",W","2",",W","0",",W","0",",W","0",",W","24",",W","17",",W","0",",W","0",",W","-16.1",",W,17,","1.5",",,W,23,","13.3",",W,26,","","","628.2",",W","1.8",",,,W","-3.33",",W","0.35",",,,W","-7.01",",,,W","","","30",",W","30",",W","14.3",",W","17.9",",W"
"USW00094899","2000-03","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.6",",W","0.0","W","0.0",",W","5",",W","2",",W","0",",W","0",",W","21",",W","9",",W","0",",W","0",",W","-11.1",",W,17,","7.4",",,W,08,","15.6",",W,07,","","","524.7",",W","13.0",",,,W","1.41",",W","5.02",",,,W","-2.20",",,,W","","","40",",W","40",",W","18.3",",W","23.2",",W"
"USW00094899","2000-04","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.1",",W","0.0","W","0.0",",W","6",",W","1",",W","0",",W","0",",W","18",",W","3",",W","0",",W","0",",W","-4.4",",W,11,+","3.0",",,W,18,","17.2",",W,26,","","","468.2",",W","7.9",",,,W","2.73",",W","6.04",",,,W","-0.59",",,,W","","","330",",W","330",",W","17.0",",W","19.2",",W"
"USW00094899","2000-05","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.4",",W","3.1","W","3.1",",W","8",",W","5",",W","0",",W","0",",W","3",",W","0",",W","6",",W","0",",W","-1.1",",W,19,","7.6",",,W,08,","28.9",",W,06,","","","251.2",",W","27.9",",,,W","10.33",",W","15.46",",,,W","5.19",",,,W","","","320",",W","320",",W","15.6",",W","19.2",",W"
"USW00094899","2000-06","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.4",",W","5.9","W","2.8",",W","15",",W","10",",W","0",",W","0",",W","0",",W","0",",W","5",",W","0",",W","3.3",",W,12,+","16.0",",,W,10,","27.2",",W,30,","","","174.0",",W","89.8",",,,W","12.63",",W","16.89",",,,W","8.36",",,,W","","","330",",W","330",",W","14.8",",W","18.3",",W"
"USW00094899","2000-07","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.0",",W","26.2","W","20.3",",W","6",",W","6",",W","0",",W","0",",W","0",",W","0",",W","18",",W","0",",W","6.7",",W,03,","6.9",",,W,01,","27.8",",W,31,+","65.0","W","65.0",",W","28.2",",,,W","16.89",",W","21.17",",,,W","12.61",",,,W","","","330",",W","330",",W","13.4",",W","17.9",",W"
"USW00094899","2000-08","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","3.7","1,W","52.8","W","26.6","1,W","10","1,W","3","1,W","0","1,W","0","1,W","0","1,W","0","1,W","18","1,W","0","1,W","8.3","1,W,20,+","18.0","1,,W,31,","27.2","1,W,31,+","104.2","W","39.2","1,W","28.3","1,,,W","17.91","1,W","21.90","1,,,W","13.92","1,,,W","","","10","1,W","10","1,W","15.6","1,W","17.4","1,W"
"USW00094899","2000-09","47.46667","-87.88333","190.8","COPPER HARBOR, MI US","4.3",",W","58.3","W","5.5",",W","13",",W","3",",W","0",",W","0",",W","2",",W","0",",W","8",",W","0",",W","0.0",",W,28,+","10.4",",,W,11,","29.4",",W,18,","248.6","W","144.4",",W","26.7",",,,W","13.70",",W","17.48",",,,W","9.92",",,,W","","","350",",W","340",",W","16.5",",W","19.2",",W"
