"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415721","1942-08","26.565","-98.1236","67.1","MCCOOK, TX US","1579.1","0","348.1",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","","","2","","21.1",",0,29,+","0",",,0,31,+","0",",,0,31,+","8.1",",,0,18,","38.3",",0,30,","","","0.0","0","0.0",",0","","","","","13.7",",,,0","0",",,,0","29.56",",0","36.05",",,,0","23.08",",,,0","",""
"USC00415721","1942-09","26.565","-98.1236","67.1","MCCOOK, TX US","1845.5","0","266.4",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","1","","2","","8.9",",0,28,","0",",,0,30,+","0",",,0,30,+","13.7",",,0,12,","38.9",",0,05,","","","0.3","0","0.3",",0","","","","","36.1",",,,0","0",",,,0","27.20",",0","33.73",",,,0","20.68",",,,0","",""
"USC00415721","1942-10","26.565","-98.1236","67.1","MCCOOK, TX US","2065.7","0","220.2",",0","5",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","4","","15.0",",0,31,","0",",,0,31,+","0",",,0,31,+","36.8",",,0,05,","35.6",",0,03,","","","0.3","0","0.0",",0","","","","","65.3",",,,0","0",",,,0","25.44",",0","31.34",",,,0","19.53",",,,0","",""
"USC00415721","1942-11","26.565","-98.1236","67.1","MCCOOK, TX US","2177.2","0","111.5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","5",",0","3","","","","2.8",",0,24,+","0",",,0,30,+","0",",,0,30,+","1.3",",,0,10,","35.6",",0,25,","","","33.0","0","32.7",",0","","","","","1.3",",,,0","0",",,,0","20.96",",0","28.46",",,,0","13.47",",,,0","",""
"USC00415721","1942-12","26.565","-98.1236","67.1","MCCOOK, TX US","2232.5","0","55.3",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","26",",0","2",",0","","","","","-1.1",",0,29,","0",",,0,31,+","0",",,0,31,+","7.1",",,0,20,","32.2",",0,26,+","","","92.2","0","59.2",",0","","","","","20.0",",,,0","0",",,,0","18.21",",0","25.86",",,,0","10.55",",,,0","",""
"USC00415721","1943-01","26.565","-98.1236","67.1","MCCOOK, TX US","30.0","0","30.0",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","16",",0","2",",0","5","","","","-2.8",",0,20,","0",",,0,31,+","0",",,0,31,+","50.8",",,0,04,","33.3",",0,24,","","","254.9","0","162.7",",0","","","","","100.7",",,,0","0",",,,0","14.05",",0","20.25",",,,0","7.86",",,,0","",""
"USC00415721","1943-02","26.565","-98.1236","67.1","MCCOOK, TX US","87.7","0","57.7",",0","3",",0","1",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","27",",0","0",",0","1","","","","0.0",",0,12,+","0",",,0,28,+","0",",,0,28,+","36.8",",,0,18,","31.1",",0,09,+","","","291.3","0","36.4",",0","","","","","38.8",",,,0","0",",,,0","19.10",",0","26.05",",,,0","12.14",",,,0","",""
"USC00415721","1943-03","26.565","-98.1236","67.1","MCCOOK, TX US","182.5","0","94.8",",0","4",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","5",",0","2","","","","1.1",",0,03,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,25,","36.7",",0,12,","","","335.7","0","44.4",",0","","","","","31.5",",,,0","0",",,,0","19.96",",0","26.59",",,,0","13.32",",,,0","",""
"USC00415721","1943-04","26.565","-98.1236","67.1","MCCOOK, TX US","367.3","0","184.8",",0","2",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","11",",0","4","","","","11.1",",0,19,","0",",,0,30,+","0",",,0,30,+","30.2",",,0,21,","36.1",",0,08,","","","335.7","0","0.0",",0","","","","","31.2",",,,0","0",",,,0","24.49",",0","31.37",",,,0","17.61",",,,0","",""
"USC00415721","1943-05","26.565","-98.1236","67.1","MCCOOK, TX US","649.1","0","281.8",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","","","2","","15.0",",0,11,","0",",,0,31,+","0",",,0,31,+","24.4",",,0,30,","37.2",",0,24,","","","335.7","0","0.0",",0","","","","","63.0",",,,0","0",",,,0","27.42",",0","33.70",",,,0","21.15",",,,0","",""
