"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076548","1977-03","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","1","5,S","0","5,S","0","5,S","","","","","","","","","","","","","2.0","5,,S,24,","","","","","","","2.0","5,,,S","","","","","",""
"MXM00076548","1989-04","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","4","5,S","4","5,S","2","5,S","","","","","0","5,S","25","5,S","0","5,S","","","45.0","5,,S,17,","31.2","5,S,09,","","","","","107.8","5,,,S","","","28.51","5,,,S","",""
"MXM00076548","1990-04","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","","","","","","","0","5,S","0","5,S","","","","","","","17.0","5,S,09,","","","","","","","","","","","","","","","22.24","5,,,S"
"MXM00076548","1991-01","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","1","4,S","0","4,S","0","4,S","","","","","","","","","","","","","1.8","4,,S,22,","","","","","","","1.8","4,,,S","","","","","",""
"MXM00076548","1991-02","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","4","2,S","1","2,S","0","2,S","0","4,S","0","4,S","0","5,S","18","5,S","0","5,S","12.5","4,S,27,","4.6","2,,S,03,","29.2","5,S,15,","","","","","5.7","2,,,S","20.54","8,S","24.12","5,,,S","16.96","4,,,S"
"MXM00076548","1991-04","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","3","1,S","0","1,S","0","1,S","","","","","","","","","","","","","1.0","1,,S,05,","","","","","","","1.8","1,,,S","","","","","",""
"MXM00076548","1991-07","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","","","","","","","","","","","0","4,S","27","4,S","5","4,S","","","","","35.1","4,S,27,","","","","","","","","","31.26","4,,,S","",""
"MXM00076548","1991-08","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","","","","","","","","","","","0","5,S","26","5,S","25","5,S","","","","","33.6","5,S,26,+","","","","","","","","","32.95","5,,,S","",""
"MXM00076548","1991-09","22.2","-97.85","25.0","TAMPICO TAMPS, MX","237.0","3,S","12","3,S","9","3,S","3","3,S","0","2,S","0","2,S","0","3,S","27","3,S","9","3,S","20.0","2,S,21,","63.2","3,,S,23,","35.0","3,S,06,+","","","0.0","3,S","198.7","3,,,S","27.12","3,S","31.24","3,,,S","23.01","2,,,S"
"MXM00076548","1991-10","22.2","-97.85","25.0","TAMPICO TAMPS, MX","","","8","4,S","5","4,S","1","4,S","","","","","","","","","","","","","150.6","4,,S,08,","","","","","","","194.0","4,,,S","","","","","",""
