"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00425897","1912-07","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","","","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","3","","","","","","16.5",",,6,25,","","","","","52.9",",,,6","","","","","","","",""
"USC00425897","1913-02","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","","","","","","","","","","","5",",6","","","","","","","","","","","","","","","","","102",",,6,19,","","","","","","","","","304",",,,6","","","","","",""
"USC00425897","1913-12","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","","","","","","","","","","","","","7",",6","31",",6","","","","","","","1","","","","-22.8",",6,12,","","","","","","","","","","","","","","","","","-13.11",",,,6"
"USC00425897","1914-01","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","0.0","6","0.0",",6","","","","","","","","","19",",6","31",",6","18",",6","0",",6","0",",6","","","","","-27.2",",6,09,","","","","","5.6",",6,20,+","840.3",",6","","","","","-8.77",",6","0.85",",,,6","-18.40",",,,6"
"USC00425897","1914-02","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","0.0","6","0.0","1,6","","","","","","","","","10",",6","28",",6","5","1,6","1","1,6","0","1,6","","","","","-25.6",",6,09,+","","","","","21.1","1,6,18,","599.5","1,6","","","","","-3.80","1,6","6.50","1,,,6","-14.09",",,,6"
"USC00425897","1914-03","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","0.0","6","0.0",",6","","","","","","","","","0",",6","19",",6","0",",6","0",",6","0",",6","","","","","-11.1",",6,04,+","","","","","15.6",",6,18,+","457.4",",6","","","","","3.58",",6","9.42",",,,6","-2.26",",,,6"
"USC00425897","1914-04","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","0.0","6","0.0","3,6","","","","","","","","","0","3,6","5","3,6","0","2,6","0","2,6","0","2,6","","","","","-3.9","3,6,09,","","","","","20.0","2,6,21,+","242.7","2,6","","","","","9.26","3,6","13.75","2,,,6","4.77","3,,,6"
"USC00425897","1914-05","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","7.5","6","7.5","2,6","","","","","","","","","0","2,6","0","2,6","0","1,6","18","1,6","0","1,6","","","","","3.3","2,6,12,+","","","","","27.8","1,6,31,","96.1","1,6","","","","","15.22","2,6","20.54","1,,,6","9.90","2,,,6"
"USC00425897","1914-09","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","","","","","","","","","","","","","","","","","0",",6","28",",6","0",",6","","","","","","","","","","","29.4",",6,08,","","","","","","","","","25.61",",,,6","",""
"USC00425897","1914-11","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","","","0.0","1,6","","","","","","","","","4",",6","30",",6","0","1,6","0","1,6","0","1,6","","","","","-17.8",",6,29,+","","","","","17.8","1,6,07,","543.6","1,6","","","","","-0.27","1,6","11.88","1,,,6","-12.42",",,,6"
"USC00425897","1914-12","40.383333","-110.4","2097.0","MOUNTAIN HOME, UT US","","","0.0",",6","","","","","","","","","19",",6","31",",6","8",",6","0",",6","0",",6","","","","","-27.8",",6,16,","","","","","12.8",",6,09,+","790.5",",6","","","","","-7.17",",6","4.53",",,,6","-18.86",",,,6"
