"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00062073","1964-05","41.9","-72.08333","164.9","EASTFORD, CT US","","","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","17.0",",,0,20,","","","","","36.3",",,,0","0",",,,0","","","","","",""
"USC00062073","1964-06","41.9","-72.08333","164.9","EASTFORD, CT US","","","11",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","3","","","","0",",,0,30,+","0",",,0,30,+","21.8",",,0,08,","","","","","68.7",",,,0","0",",,,0","","","","","",""
"USC00062073","1964-07","41.9","-72.08333","164.9","EASTFORD, CT US","","","7",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","2","","","","0",",,0,31,+","0",",,0,31,+","24.9",",,0,09,","","","","","51.7",",,,0","0",",,,0","","","","","",""
"USC00062073","1964-08","41.9","-72.08333","164.9","EASTFORD, CT US","19.2","1,0","10",",0","7",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","29",",0","0",",0","3","","1.1","1,0,10,","0",",,0,31,+","0",",,0,31,+","37.1",",,0,12,","30.0",",0,30,","78.7",",0","89.1",",,,0","0",",,,0","16.34","1,0","23.79",",,,0","8.89","1,,,0"
"USC00062073","1964-09","41.9","-72.08333","164.9","EASTFORD, CT US","","","6",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","2","","","","0",",,0,30,+","0",",,0,30,+","30.5",",,0,29,","","","","","52.4",",,,0","0",",,,0","","","","","",""
"USC00062073","1964-10","41.9","-72.08333","164.9","EASTFORD, CT US","","","5",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","23.9",",,0,21,","","","","","49.5",",,,0","0",",,,0","","","","","",""
"USC00062073","1964-11","41.9","-72.08333","164.9","EASTFORD, CT US","","","6",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","59.4",",,0,26,","","","","","89.6",",,,0","0",",,,0","","","","","",""
"USC00062073","1964-12","41.9","-72.08333","164.9","EASTFORD, CT US","","","12","2,0","6","2,0","1","2,0","","","","","","","","","","","","","","","","","","","","","","","26.9","2,,0,27,","","","","","128.3",",a,,0","","","","","","","",""
"USC00062073","1965-01","41.9","-72.08333","164.9","EASTFORD, CT US","","","12",",0","10",",0","0",",0","","","5","4,0","","","","","","","","","","","","","","","","","254","4,,0,24,","19.8",",,0,24,","","","","","72.1",",,,0","660","4,,,0","","","","","",""
"USC00062073","1965-02","41.9","-72.08333","164.9","EASTFORD, CT US","","","6",",0","6",",0","2",",0","","","2","1,0","","","","","","","","","","","","","","","","","76","1,,0,02,","41.7",",,0,25,","","","","","87.1",",,,0","101","1,,,0","","","","","",""
"USC00062073","1965-03","41.9","-72.08333","164.9","EASTFORD, CT US","","","5","2,0","5","2,0","0","2,0","","","","","","","","","","","","","","","","","","","","","","","10.7","2,,0,26,","","","","","39.1",",a,,0","","","","","","","",""
"USC00062073","1965-04","41.9","-72.08333","164.9","EASTFORD, CT US","","","8",",0","5",",0","1",",0","","","","","","","","","","","","","","","","","","","","","","","27.2",",,0,16,","","","","","63.0",",,,0","","","","","","","",""
"USC00062073","1965-05","41.9","-72.08333","164.9","EASTFORD, CT US","","","5",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","42.7",",,0,29,","","","","","66.4",",,,0","0",",,,0","","","","","",""
"USC00062073","1965-06","41.9","-72.08333","164.9","EASTFORD, CT US","","","9",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","29.2",",,0,02,","","","","","69.6",",,,0","0",",,,0","","","","","",""
"USC00062073","1965-07","41.9","-72.08333","164.9","EASTFORD, CT US","","","4",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","71.9",",,0,18,","","","","","79.3",",,,0","0",",,,0","","","","","",""
