"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00256064","1917-06","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","78.2",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","7",",6","1.7",",6,02,","","","40.0",",6,30,","1657.8","1,,,6","","","47.3",",6","","","19.36",",6","28.39",",,,6","10.34",",,,6","6510",",,,6"
"USC00256064","1936-04","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","0.0","1,6","4",",6","4",",6","0",",6","2","1,6","13","1,6","3","1,6","9","1,6","0","1,6","-20.0","1,6,03,+","18.0",",,6,30,","28.9","1,6,24,+","1102.8","5,,,6","","","323.2","1,6","43.4",",,,6","7.19","1,6","15.34","1,,,6","-0.96","1,,,6","7479","1,,,6"
"USC00256064","1936-05","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","30.4",",6","7",",6","5",",6","1",",6","0",",6","0",",6","0",",6","22",",6","1",",6","2.2",",6,02,","36.6",",,6,08,","32.2",",6,06,","1525.8",",,,6","","","82.6",",6","83.9",",,,6","16.65",",6","23.10",",,,6","10.20",",,,6","6282","3,,,6"
"USC00256064","1936-06","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","121.9",",6","5",",6","2",",6","1",",6","0",",6","0",",6","0",",6","23",",6","10",",6","6.7",",6,03,","31.8",",,6,05,","38.3",",6,22,","2173.1",",,,6","","","28.8",",6","43.5",",,,6","21.44",",6","28.46",",,,6","14.41",",,,6","7412",",,,6"
"USC00256064","1936-07","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","262.8","1,6","6",",6","5",",6","0",",6","0","1,6","0","1,6","0",",6","31",",6","27",",6","11.7","1,6,01,","9.1",",,6,30,","42.2",",6,25,","2949.5",",,,6","0.0","","0.0",",6","31.0",",,,6","27.20","1,6","35.69",",,,6","18.72","1,,,6","7678",",,,6"
"USC00256064","1936-08","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","195.7","2,6","3",",6","3",",6","0",",6","0","1,6","0","1,6","0","1,6","29","1,6","19","1,6","7.2","1,6,29,","15.0",",,6,20,","41.1","1,6,12,","2279.3",",,,6","3.9","","3.9","1,6","34.3",",,,6","24.93","2,6","33.86","1,,,6","16.00","1,,,6","6126","1,,,6"
"USC00256064","1936-09","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","74.2","2,6","5",",6","2",",6","0",",6","0","1,6","0","1,6","0","1,6","25","1,6","5","1,6","1.1","1,6,24,","5.3",",,6,04,","35.6","1,6,01,","1660.1",",,,6","68.9","","65.0","1,6","11.6",",,,6","18.76","2,6","27.07","1,,,6","10.46","1,,,6","7362","1,,,6"
"USC00256064","1937-04","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","22.1",",,6,24,","","","","","","","","","35.1",",,,6","","","","","","","",""
"USC00256064","1937-05","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","8",",6","3",",6","0",",6","","","","","","","","","","","","","5.1",",,6,03,","","","","","","","","","19.8",",,,6","","","","","","","",""
"USC00256064","1937-06","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","9",",6","6",",6","0",",6","","","","","","","","","","","","","22.1",",,6,26,","","","","","","","","","82.7",",,,6","","","","","","","",""
"USC00256064","1937-07","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","21.1",",,6,17,","","","","","","","","","49.0",",,,6","","","","","","","",""
"USC00256064","1937-08","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","7.9",",,6,25,","","","","","","","","","15.8",",,,6","","","","","","","",""
"USC00256064","1937-09","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","6",",6","2",",6","0",",6","","","","","","","","","","","","","10.9",",,6,04,","","","","","","","","","18.1",",,,6","","","","","","","",""
"USC00256064","1938-04","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","7",",6","4",",6","1",",6","","","","","","","","","","","","","25.4",",,6,27,","","","","","","","","","61.4",",,,6","","","","","","","",""
"USC00256064","1938-05","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","14",",6","8",",6","1",",6","","","","","","","","","","","","","38.1",",,6,30,","","","","","","","","","115.8",",,,6","","","","","","","",""
"USC00256064","1938-07","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","7",",6","6",",6","2",",6","","","","","","","","","","","","","33.3",",,6,07,","","","","","","","","","77.1",",,,6","","","","","","","",""
"USC00256064","1938-08","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","22.9",",,6,16,","","","","","","","","","37.9",",,,6","","","","","","","",""
"USC00256064","1938-09","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","9",",6","6",",6","2",",6","","","","","","","","","","","","","51.3",",,6,05,","","","","","","","","","117.4",",,,6","","","","","","","",""
"USC00256064","1939-04","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","9",",6","6",",6","0",",6","","","","","","","","","","","","","11.7",",,6,16,","","","","","","","","","34.0",",,,6","","","","","","","",""
"USC00256064","1939-05","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","10",",6","5",",6","1",",6","","","","","","","","","","","","","36.3",",,6,20,","","","","","","","","","76.7",",,,6","","","","","","","",""
"USC00256064","1939-06","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","11",",6","8",",6","1",",6","","","","","","","","","","","","","32.5",",,6,21,","","","","","","","","","75.6",",,,6","","","","","","","",""
"USC00256064","1939-07","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","4.8",",,6,01,","","","","","","","","","8.8",",,,6","","","","","","","",""
"USC00256064","1939-08","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","5",",6","3",",6","1",",6","","","","","","","","","","","","","26.4",",,6,08,","","","","","","","","","34.8",",,,6","","","","","","","",""
"USC00256064","1939-09","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","2",",6","1",",6","0",",6","","","","","","","","","","","","","2.8",",,6,29,","","","","","","","","","3.6",",,,6","","","","","","","",""
"USC00256064","1940-04","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","9.1",",,6,28,","","","","","","","","","25.9",",,,6","","","","","","","",""
"USC00256064","1940-05","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","10.2",",,6,17,","","","","","","","","","15.8",",,,6","","","","","","","",""
"USC00256064","1940-06","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","6",",6","4",",6","2",",6","","","","","","","","","","","","","38.1",",,6,06,","","","","","","","","","98.3",",,,6","","","","","","","",""
"USC00256064","1940-08","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","6",",6","1",",6","0",",6","","","","","","","","","","","","","6.9",",,6,05,","","","","","","","","","13.0",",,,6","","","","","","","",""
"USC00256064","1940-09","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","7.1",",,6,30,","","","","","","","","","16.0",",,,6","","","","","","","",""
"USC00256064","1941-04","41.083333","-100.75","860.1","NORTH PLATTE B BENCH, NE US","","","12",",6","9",",6","0",",6","","","","","","","","","","","","","22.6",",,6,18,","","","","","","","","","91.8",",,,6","","","","","","","",""
