"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014711","1941-01","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","0.0","6","0.0",",6","11",",6","5",",6","0",",6","","","","","0",",6","28",",6","6",",6","0",",6","0",",6","","","","","","","-11.1",",6,14,","","","","","17.8",",,6,16,","7.2",",6,01,","","","621.1",",6","61.8",",,,6","","","-1.70",",6","1.72",",,,6","-5.13",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-02","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","0.0","6","0.0",",6","6",",6","2",",6","0",",6","","","","","0",",6","27",",6","9",",6","0",",6","0",",6","","","","","","","-10.6",",6,11,+","","","","","8.6",",,6,07,","7.2",",6,25,+","","","561.7",",6","19.6",",,,6","","","-1.73",",6","1.80",",,,6","-5.26",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-03","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","0.0","6","0.0",",6","11",",6","6",",6","0",",6","7",",6","2",",6","0",",6","26",",6","2",",6","0",",6","0",",6","","","","","","","-10.0",",6,18,","279",",,6,09,","241",",,6,08,","23.4",",,6,08,","17.2",",6,31,","","","515.5",",6","66.0",",,,6","266",",,,6","1.70",",6","6.73",",,,6","-3.32",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-04","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","16.4","6","16.4",",6","6",",6","4",",6","0",",6","0",",6","0",",6","0",",6","4",",6","0",",6","13",",6","1",",6","","","","","","","-0.6",",6,25,+","0",",,6,30,+","0",",,6,30,+","17.3",",,6,06,","32.8",",6,20,","","","170.6",",6","42.5",",,,6","0",",,,6","13.20",",6","20.64",",,,6","5.75",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-05","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","64.5","6","48.1",",6","10",",6","5",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","22",",6","4",",6","","","","","","","0.6",",6,03,","0",",,6,31,+","0",",,6,31,+","15.7",",,6,29,","35.0",",6,22,","","","79.4",",6","45.9",",,,6","0",",,,6","17.32",",6","25.18",",,,6","9.46",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-06","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","164.0","6","99.5",",6","14",",6","7",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","26",",6","5",",6","","","","","","","7.8",",6,11,","0",",,6,30,+","0",",,6,30,+","26.4",",,6,04,","34.4",",6,30,","","","17.0",",6","72.9",",,,6","0",",,,6","21.08",",6","26.92",",,,6","15.24",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-07","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","348.7","6","184.7",",6","9",",6","5",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","30",",6","7",",6","","","","","","","13.3",",6,10,","0",",,6,31,+","0",",,6,31,+","28.7",",,6,03,","37.8",",6,28,","1.1","6","1.1",",6","76.1",",,,6","0",",,,6","24.25",",6","29.60",",,,6","18.91",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-08","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","480.8","6","132.1",",6","7",",6","5",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","5",",6","","","","","","","10.0",",6,29,+","0",",,6,31,+","0",",,6,31,+","33.3",",,6,25,","34.4",",6,09,","3.0","6","1.9",",6","95.5",",,,6","0",",,,6","22.53",",6","28.45",",,,6","16.61",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-09","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","556.7","6","75.9",",6","3",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","1",",6","","","","","","","7.8",",6,30,+","0",",,6,30,+","0",",,6,30,+","14.0",",,6,04,","32.2",",6,10,","26.4","6","23.4",",6","26.7",",,,6","0",",,,6","20.08",",6","26.18",",,,6","13.98",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-10","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","595.5","6","38.8",",6","10",",6","5",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","13",",6","3",",6","","","","","","","1.1",",6,29,","0",",,6,31,+","0",",,6,31,+","13.2",",,6,31,","32.8",",6,06,","152.2","6","125.8",",6","47.8",",,,6","0",",,,6","15.53",",6","20.68",",,,6","10.37",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-11","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","595.5","6","0.0",",6","4",",6","3",",6","0",",6","0",",6","0",",6","0",",6","9",",6","0",",6","0",",6","0",",6","","","","","","","-5.6",",6,25,","0",",,6,30,+","0",",T,6,23,","21.6",",,6,23,","20.6",",6,20,","464.9","6","312.7",",6","51.3",",,,6","0",",T,,6","7.91",",6","13.28",",,,6","2.54",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1941-12","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","595.5","6","0.0",",6","9",",6","6",",6","1",",6","0",",6","0",",6","0",",6","21",",6","4",",6","0",",6","0",",6","","","","","","","-8.9",",6,21,","0",",T,6,21,+","0",",T,6,31,+","39.9",",,6,13,","15.6",",6,05,","951.3","6","486.4",",6","87.1",",,,6","0",",T,,6","2.64",",6","6.42",",,,6","-1.14",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1942-01","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","","","","","7",",6","4",",6","0",",6","11",",6","1",",6","2",",6","25",",6","","","","","","","","","","","","","-21.7",",6,09,","152",",,6,04,","152",",,6,04,","19.1",",,6,31,","","","","","","","49.6",",,,6","152",",,,6","","","","","-6.43",",,,6","","","","","","","","","","","","","","","","","",""
"USW00014711","1942-02","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","","","0.0",",6","5",",6","4",",6","0",",6","2",",6","1",",6","0",",6","24",",6","7",",6","0",",6","0",",6","","","","","","","-13.3",",6,03,","127",",,6,05,","127",",,6,05,","15.7",",,6,07,","10.0",",6,17,","","","546.0",",6","48.5",",,,6","127",",,,6","-1.17",",6","2.54",",,,6","-4.88",",,,6","","","","","","","","","","","","","","","","","",""
