"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00148874","1940-12","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","2",",6","0",",6","1",",6","","","","","38",",,6,12,","4.6",",,6,12,","9.7",",,,6","38",",,,6"
"USC00148874","1941-01","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","2",",6","0",",6","","","","","","","","","7.4",",,6,15,","14.1",",,,6","",""
"USC00148874","1941-02","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","1",",6","0",",6","","","","","","","","","5.1",",,6,01,","10.8",",,,6","",""
"USC00148874","1941-03","37.08333","-101.78333",,"WILBURTON, KS US","2","4,6","1","4,6","0","4,6","1",",6","","","","","178",",,6,25,","20.3","4,,6,26,","21.6","4,,,6","178",",,,6"
"USC00148874","1941-04","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","3",",6","0",",6","","","","","","","","","11.7",",,6,28,","24.2",",,,6","",""
"USC00148874","1941-05","37.08333","-101.78333",,"WILBURTON, KS US","13",",6","9",",6","2",",6","","","","","","","","","41.9",",,6,20,","143.6",",,,6","",""
"USC00148874","1941-06","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","3",",6","1",",6","","","","","","","","","71.1",",,6,08,","89.8",",,,6","",""
"USC00148874","1941-07","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","4",",6","1",",6","","","","","","","","","45.7",",,6,02,","68.8",",,,6","",""
"USC00148874","1941-08","37.08333","-101.78333",,"WILBURTON, KS US","8",",6","8",",6","1",",6","","","","","","","","","26.4",",,6,18,","72.2",",,,6","",""
"USC00148874","1941-09","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","4",",6","0",",6","","","","","","","","","18.3",",,6,29,","45.5",",,,6","",""
"USC00148874","1941-10","37.08333","-101.78333",,"WILBURTON, KS US","11",",6","10",",6","0",",6","","","","","","","","","13.2",",,6,29,","81.1",",,,6","",""
"USC00148874","1941-11","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","1",",6","0",",6","","","","","","","","","3.8",",,6,23,","3.8",",,,6","",""
"USC00148874","1941-12","37.08333","-101.78333",,"WILBURTON, KS US","0","4,6","0","4,6","0","4,6","","","","","","","","","0.0","4,,6,31,+","0.0","4,,,6","",""
"USC00148874","1942-01","37.08333","-101.78333",,"WILBURTON, KS US","1","2,6","0","2,6","0","2,6","","","","","","","","","0.8","2,,6,04,","0.8","2,,,6","",""
"USC00148874","1942-02","37.08333","-101.78333",,"WILBURTON, KS US","1","2,6","1","2,6","0","2,6","","","","","","","","","3.0","2,,6,25,","3.0","2,,,6","",""
"USC00148874","1942-03","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","2",",6","1",",6","2",",6","","","","","102",",,6,01,","26.7",",,6,15,","32.0",",,,6","178",",,,6"
"USC00148874","1942-04","37.08333","-101.78333",,"WILBURTON, KS US","10",",6","8",",6","1",",6","1",",6","","","","","51",",,6,09,","40.6",",,6,21,","109.6",",,,6","51",",,,6"
"USC00148874","1942-05","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","1",",6","1",",6","","","","","","","","","32.3",",,6,14,","32.3",",,,6","",""
"USC00148874","1942-06","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","6",",6","2",",6","","","","","","","","","80.0",",,6,08,","151.8",",,,6","",""
"USC00148874","1942-07","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","5",",6","0",",6","","","","","","","","","23.1",",,6,19,","81.2",",,,6","",""
"USC00148874","1942-08","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","5",",6","0",",6","","","","","","","","","24.9",",,6,15,","74.9",",,,6","",""
"USC00148874","1942-09","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","0",",6","","","","","","","","","15.7",",,6,06,","32.3",",,,6","",""
"USC00148874","1942-10","37.08333","-101.78333",,"WILBURTON, KS US","8",",6","7",",6","0",",6","","","","","","","","","24.6",",,6,18,","82.3",",,,6","",""
"USC00148874","1942-11","37.08333","-101.78333",,"WILBURTON, KS US","","","","","","","0",",6","","","","","0",",T,6,28,+","","","","","0",",T,,6"
"USC00148874","1942-12","37.08333","-101.78333",,"WILBURTON, KS US","3","1,6","3","1,6","0","1,6","1",",6","","","","","64",",,6,06,","15.0","1,,6,27,","25.9","1,,,6","64",",,,6"
"USC00148874","1943-01","37.08333","-101.78333",,"WILBURTON, KS US","1","1,6","0","1,6","0","1,6","1",",6","","","","","51",",,6,19,","0.8","1,,6,19,","0.8","1,,,6","51",",,,6"
"USC00148874","1943-02","37.08333","-101.78333",,"WILBURTON, KS US","","","","","","","0",",6","","","","","0",",,6,28,+","","","","","0",",,,6"
"USC00148874","1943-04","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","1",",6","1",",6","","","","","","","","","27.9",",,6,08,","27.9",",,,6","",""
"USC00148874","1943-05","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","0",",6","","","","","","","","","14.5",",,6,17,","35.1",",,,6","",""
"USC00148874","1943-06","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","3",",6","2",",6","","","","","","","","","37.3",",,6,09,","90.1",",,,6","",""
"USC00148874","1943-07","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","4",",6","0",",6","","","","","","","","","8.6",",,6,09,","21.9",",,,6","",""
"USC00148874","1943-08","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","1",",6","","","","","","","","","35.6",",,6,05,","95.8",",,,6","",""
"USC00148874","1943-09","37.08333","-101.78333",,"WILBURTON, KS US","0",",6","0",",6","0",",6","","","","","","","","","0.0",",,6,30,+","0.0",",,,6","",""
"USC00148874","1943-10","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","1",",6","0",",6","","","","","","","","","4.1",",,6,06,","6.4",",,,6","",""
"USC00148874","1943-11","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","1",",6","0",",6","1",",6","","","","","25",",,6,26,","7.1",",,6,26,","7.1",",,,6","25",",,,6"
"USC00148874","1943-12","37.08333","-101.78333",,"WILBURTON, KS US","2","2,6","2","2,6","1","2,6","2",",6","","","","","305",",,6,09,","28.4","2,,6,10,","33.0","2,,,6","407",",,,6"
"USC00148874","1944-01","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","2",",6","0",",6","1",",6","","","","","51",",,6,07,","24.6",",,6,27,","30.4",",,,6","51",",,,6"
"USC00148874","1944-02","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","1",",6","0",",6","1",",6","","","","","51",",,6,28,","13.2",",,6,28,","13.2",",,,6","51",",,,6"
"USC00148874","1944-03","37.08333","-101.78333",,"WILBURTON, KS US","6","1,6","2","1,6","0","1,6","","","","","","","","","6.4","1,,6,15,","14.0","1,,,6","",""
"USC00148874","1944-04","37.08333","-101.78333",,"WILBURTON, KS US","7","1,6","6","1,6","3","1,6","","","","","","","","","39.6","1,,6,29,","134.5","1,,,6","",""
"USC00148874","1944-05","37.08333","-101.78333",,"WILBURTON, KS US","8",",6","7",",6","2",",6","","","","","","","","","58.7",",,6,27,","155.6",",,,6","",""
"USC00148874","1944-06","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","2",",6","0",",6","","","","","","","","","10.7",",,6,11,","15.3",",,,6","",""
"USC00148874","1944-07","37.08333","-101.78333",,"WILBURTON, KS US","8",",6","7",",6","2",",6","","","","","","","","","41.1",",,6,20,","117.3",",,,6","",""
"USC00148874","1944-08","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","4",",6","0",",6","","","","","","","","","12.4",",,6,30,","28.9",",,,6","",""
"USC00148874","1944-09","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","2",",6","0",",6","","","","","","","","","18.0",",,6,23,","22.6",",,,6","",""
"USC00148874","1944-10","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","0",",6","","","","","","","","","11.4",",,6,04,","26.3",",,,6","",""
"USC00148874","1944-11","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","3",",6","0",",6","","","","","","","","","8.6",",,6,07,","19.3",",,,6","",""
"USC00148874","1944-12","37.08333","-101.78333",,"WILBURTON, KS US","2","2,6","2","2,6","1","2,6","","","","","","","","","27.9","2,,6,04,","38.8","2,,,6","",""
"USC00148874","1945-01","37.08333","-101.78333",,"WILBURTON, KS US","3","1,6","2","1,6","0","1,6","1",",6","1","","","","102",",,6,20,","11.7","1,,6,20,","16.5","1,,,6","102",",,,6"
"USC00148874","1945-02","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","1",",6","0",",6","","","3","","","","","","6.4",",,6,21,","6.4",",,,6","",""
"USC00148874","1945-03","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","2",",6","0",",6","","","","","","","","","7.6",",,6,14,","11.9",",,,6","",""
"USC00148874","1945-04","37.08333","-101.78333",,"WILBURTON, KS US","7",",6","3",",6","0",",6","0",",6","","","","","10",",,6,04,","7.6",",,6,16,+","25.6",",,,6","10",",,,6"
"USC00148874","1945-05","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","5",",6","0",",6","","","","","","","","","22.9",",,6,30,","46.0",",,,6","",""
"USC00148874","1945-06","37.08333","-101.78333",,"WILBURTON, KS US","7",",6","5",",6","1",",6","","","","","","","","","49.5",",,6,26,","104.4",",,,6","",""
"USC00148874","1945-07","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","3",",6","0",",6","","","1","","","","","","20.3",",,6,17,","32.5",",,,6","",""
"USC00148874","1945-08","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","2",",6","","","","","","","","","74.9",",,6,15,","133.9",",,,6","",""
"USC00148874","1945-09","37.08333","-101.78333",,"WILBURTON, KS US","1","1,6","1","1,6","1","1,6","0",",6","","","","","0",",T,6,29,","49.0","1,,6,30,","49.0","1,,,6","0",",T,,6"
"USC00148874","1945-10","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","3",",6","0",",6","","","","","","","","","6.1",",,6,13,","13.9",",,,6","",""
"USC00148874","1945-11","37.08333","-101.78333",,"WILBURTON, KS US","1","1,6","0","1,6","0","1,6","0",",6","","","","","0",",T,6,20,","0.5","1,,6,21,","0.5","1,,,6","0",",T,,6"
"USC00148874","1945-12","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","1",",6","0",",6","","","","","","","","","6.6",",,6,24,","7.1",",,,6","",""
"USC00148874","1946-01","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","0",",6","0",",6","0",",6","","","","","0",",T,6,21,+","1.0",",,6,26,","1.3",",,,6","0",",T,,6"
"USC00148874","1946-02","37.08333","-101.78333",,"WILBURTON, KS US","1","1,6","1","1,6","1","1,6","1",",6","","","","","89",",,6,18,","31.0","1,,6,19,","31.0","1,,,6","89",",,,6"
"USC00148874","1946-03","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","4",",6","1",",6","","","1","","","","","","30.5",",,6,16,","49.7",",,,6","",""
"USC00148874","1946-04","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","2",",6","0",",6","","","","","","","","","16.5",",,6,29,","26.7",",,,6","",""
"USC00148874","1946-05","37.08333","-101.78333",,"WILBURTON, KS US","6",",6","4",",6","1",",6","","","","","","","","","27.9",",,6,29,","62.8",",,,6","",""
"USC00148874","1946-06","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","3",",6","0",",6","","","","","","","","","16.3",",,6,19,","37.5",",,,6","",""
"USC00148874","1946-07","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","3",",6","1",",6","","","","","","","","","48.3",",,6,01,","72.0",",,,6","",""
"USC00148874","1946-08","37.08333","-101.78333",,"WILBURTON, KS US","10",",6","8",",6","1",",6","","","","","","","","","25.7",",,6,28,","75.0",",,,6","",""
"USC00148874","1946-09","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","5",",6","0",",6","","","","","","","","","22.9",",,6,12,","66.9",",,,6","",""
"USC00148874","1946-10","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","2",",6","","","","","","","","","51.3",",,6,07,","111.2",",,,6","",""
"USC00148874","1946-11","37.08333","-101.78333",,"WILBURTON, KS US","5",",6","4",",6","1",",6","1",",6","","","","","25",",,6,04,","30.0",",,6,05,","58.2",",,,6","33",",,,6"
"USC00148874","1946-12","37.08333","-101.78333",,"WILBURTON, KS US","0",",6","0",",6","0",",6","","","","","","","","","0.0",",T,6,29,","0.0",",T,,6","",""
"USC00148874","1947-01","37.08333","-101.78333",,"WILBURTON, KS US","1","1,6","1","1,6","0","1,6","1",",6","","","","","51",",,6,02,","4.1","1,,6,03,","4.1","1,,,6","51",",,,6"
"USC00148874","1947-02","37.08333","-101.78333",,"WILBURTON, KS US","0",",6","0",",6","0",",6","","","","","","","","","0.0",",T,6,27,+","0.0",",T,,6","",""
"USC00148874","1947-03","37.08333","-101.78333",,"WILBURTON, KS US","2",",6","2",",6","0",",6","","","","","","","","","11.4",",,6,13,","20.8",",,,6","",""
"USC00148874","1947-04","37.08333","-101.78333",,"WILBURTON, KS US","7",",6","5",",6","0",",6","","","","","","","","","13.2",",,6,25,","42.3",",,,6","",""
"USC00148874","1947-05","37.08333","-101.78333",,"WILBURTON, KS US","11",",6","10",",6","1",",6","","","","","","","","","64.8",",,6,28,","191.1",",,,6","",""
"USC00148874","1947-06","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","2",",6","1",",6","","","","","","","","","31.5",",,6,25,","47.3",",,,6","",""
"USC00148874","1947-07","37.08333","-101.78333",,"WILBURTON, KS US","4",",6","4",",6","1",",6","","","","","","","","","29.2",",,6,07,","63.3",",,,6","",""
"USC00148874","1947-08","37.08333","-101.78333",,"WILBURTON, KS US","3",",6","3",",6","1",",6","","","","","","","","","50.8",",,6,25,","63.2",",,,6","",""
"USC00148874","1947-09","37.08333","-101.78333",,"WILBURTON, KS US","1",",6","0",",6","0",",6","","","","","","","","","0.8",",,6,01,","0.8",",,,6","",""
"USC00148874","1947-10","37.08333","-101.78333",,"WILBURTON, KS US","","","","","","","","","2","","","","","","","","","","",""
"USC00148874","1947-11","37.08333","-101.78333",,"WILBURTON, KS US","","","","","","","","","2","","","","","","","","","","",""
"USC00148874","1948-06","37.08333","-101.78333",,"WILBURTON, KS US","","","","","","","","","","","2","","","","","","","","",""
