"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00155110","1949-01","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","12",",0","11",",0","1",",0","","","0",",0","","","","","","","","","","","","","","","","","0",",T,0,30,+","29.0",",,0,22,","","","","","127.5",",,,0","0",",T,,0","","","","","",""
"USC00155110","1949-02","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","9",",0","8",",0","1",",0","","","0",",0","","","","","","","","","","","","","","","","","0",",T,0,27,","25.4",",,0,16,","","","","","97.1",",,,0","0",",T,,0","","","","","",""
"USC00155110","1949-03","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","13",",0","11",",0","1",",0","1",",0","1",",0","","","","","","","","","","","","","","","25",",,0,15,","25",",,0,15,","45.7",",,0,18,","","","","","118.3",",,,0","25",",,,0","","","","","",""
"USC00155110","1949-04","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","9",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",T,0,08,","40.4",",,0,28,","","","","","132.6",",,,0","0",",T,,0","","","","","",""
"USC00155110","1949-05","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","5",",0","5",",0","1",",0","0","1,0","0",",0","","","","","","","","","","","4","","","","0","1,,0,31,+","0",",T,0,25,+","41.7",",,0,10,","","","","","101.4",",,,0","0",",T,,0","","","","","",""
"USC00155110","1949-06","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","9",",0","7",",0","0",",0","0",",0","0",",0","","","","","0",",0","30",",0","13",",0","","","","","0",",,0,30,+","0",",,0,30,+","12.7",",,0,14,","35.0",",0,29,+","","","52.1",",,,0","0",",,,0","","","31.32",",,,0","",""
"USC00155110","1949-07","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","10",",0","9",",0","1",",0","0",",0","0",",0","","","","","0","1,0","30","1,0","21","1,0","","","","","0",",,0,31,+","0",",,0,31,+","30.0",",,0,14,","37.2","1,0,04,","","","126.2",",,,0","0",",,,0","","","33.14","1,,,0","",""
"USC00155110","1949-08","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","8",",0","8",",0","1",",0","0",",0","0",",0","","","","","0","1,0","30","1,0","15","1,0","","","","","0",",,0,31,+","0",",,0,31,+","45.7",",,0,18,","35.6","1,0,13,+","","","96.5",",,,0","0",",,,0","","","31.27","1,,,0","",""
"USC00155110","1949-09","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","5",",0","5",",0","0",",0","0",",0","0",",0","","","","","0","1,0","27","1,0","0","1,0","","","","","0",",,0,30,+","0",",,0,30,+","17.8",",,0,19,","31.7","1,0,04,+","","","52.6",",,,0","0",",,,0","","","27.03","1,,,0","",""
"USC00155110","1949-10","37.15","-83.76667","136.9","MANCHESTER, KY US","","","","","8",",0","7",",0","1",",0","0",",0","0",",0","","","","","0","2,0","21","2,0","2","2,0","","","","","0",",,0,31,+","0",",,0,31,+","41.9",",,0,31,","32.2","2,0,09,+","","","107.5",",,,0","0",",,,0","","","24.61","2,,,0","",""
