"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AMAY","1990-06","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","1,U","0","1,U","1","1,U","0",",U","12",",U","0",",U","-1.1","1,U,04,","27.2",",U,30,+","","","171.1",",U","12.53","1,U","19.53",",,,U","5.53","1,,,U"
"USR0000AMAY","1990-07","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","8.3","2,U","0","1,U","2","1,U","0","1,U","16","1,U","0","1,U","-1.7","1,U,12,","30.6","1,U,19,","122.9","","122.9","1,U","14.50","2,U","22.24","1,,,U","6.77","1,,,U"
"USR0000AMAY","1990-08","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","1,U","0","1,U","5","1,U","0","1,U","8","1,U","0","1,U","-3.9","1,U,30,","31.1","1,U,13,","321.0","","198.1","1,U","11.73","1,U","19.13","1,,,U","4.33","1,,,U"
"USR0000AMAY","1991-04","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0",",U","1",",U","29",",U","0",",U","0",",U","0",",U","-19.4",",U,01,","15.6",",U,24,","","","487.3",",U","2.09",",U","9.52",",,,U","-5.34",",,,U"
"USR0000AMAY","1991-05","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0",",U","0",",U","26",",U","0",",U","2",",U","0",",U","-7.2",",U,12,","21.7",",U,24,","","","376.5",",U","6.19",",U","14.55",",,,U","-2.17",",,,U"
"USR0000AMAY","1991-06","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","2.5",",U","0",",U","11",",U","0",",U","15",",U","0",",U","-2.2",",U,04,","31.1",",U,21,","","","207.5",",U","11.50",",U","20.79",",,,U","2.20",",,,U"
"USR0000AMAY","1991-07","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0",",U","0",",U","2",",U","0",",U","10",",U","0",",U","-1.1",",U,25,","24.4",",U,15,+","207.4","","207.4",",U","11.64",",U","18.28",",,,U","5.01",",,,U"
"USR0000AMAY","1991-08","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","1,U","0",",U","10",",U","0","1,U","4","1,U","0","1,U","-2.8",",U,19,","25.6","1,U,08,","451.6","","244.2","1,U","10.17","1,U","17.04","1,,,U","3.31",",,,U"
"USR0000AMAY","1991-09","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","1,U","1","1,U","17","1,U","0","1,U","0","1,U","0","1,U","-17.8","1,U,12,","19.4","1,U,02,","822.4","","370.8","1,U","5.55","1,U","12.26","1,,,U","-1.16","1,,,U"
"USR0000AMAY","1991-10","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","4,U","6","3,U","28","3,U","12","3,U","0","3,U","0","3,U","-22.8","3,U,28,","10.0","3,U,05,","1419.4","","597.0","3,U","-3.63","4,U","1.99","3,,,U","-9.26","3,,,U"
"USR0000AMAY","1992-06","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","2,U","0","2,U","11","2,U","0","2,U","11","2,U","0","2,U","-2.8","2,U,09,+","27.8","2,U,28,","","","213.4","2,U","10.71","2,U","19.55","2,,,U","1.88","2,,,U"
"USR0000AMAY","1992-07","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.6","1,U","0","1,U","0","1,U","0",",U","12",",U","0",",U","2.2","1,U,18,+","31.1",",U,02,","156.6","U","156.6",",U","13.16","1,U","20.13",",,,U","6.19","1,,,U"
"USR0000AMAY","1992-08","61.3208","-142.5844","487.7","MAY CREEK ALASKA, AK US","","","0.0","2,U","0","1,U","11","1,U","0","1,U","2","1,U","0","1,U","-2.8","1,U,27,","22.8","1,U,10,","398.5","U","241.9","1,U","10.06","2,U","17.21","1,,,U","2.91","1,,,U"
