"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013958","1938-06","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","275.3",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","27",",0","","","","","","","17.8",",0,09,","0",",,0,30,+","0",",,0,30,+","40.6",",,0,09,","35.0",",0,21,+","","","","","","","0.0",",0","","","","","","","","","","","","","","","76.9",",,,0","","","0",",,,0","27.51",",0","33.30",",,,0","21.72",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1938-07","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","326.5",",0","8",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","","","","","20.0",",0,06,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,23,","37.2",",0,17,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","50.8",",,,0","","","0",",,,0","28.87",",0","35.10",",,,0","22.64",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1938-08","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","332.7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","","","21.1",",0,25,+","0",",,0,31,+","0",",,0,31,+","15.2",",,0,25,","38.3",",0,15,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","23.6",",,,0","","","0",",,,0","29.07",",0","35.72",",,,0","22.42",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1938-09","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","230.2",",0","8",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","","","","","","","11.7",",0,22,+","0",",,0,30,+","0",",,0,30,+","23.1",",,0,05,","35.6",",0,27,+","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","60.6",",,,0","","","0",",,,0","26.01",",0","33.04",",,,0","18.97",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1938-10","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","152.8",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","","","","","","","3.9",",0,24,","0",",,0,31,+","0",",,0,31,+","3.8",",,0,20,","38.9",",0,02,","","","13.9","0","","","13.9",",0","","","","","","","","","","","","","","","11.2",",,,0","","","0",",,,0","22.81",",0","30.57",",,,0","15.05",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1938-11","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","24.5","2,0","3",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","7","1,0","0","1,0","17","1,0","0","1,0","","","","","","","-5.6","1,0,25,","0",",,0,30,+","0",",,0,30,+","16.3",",,0,07,","30.6","1,0,02,","","","181.7","0","","","167.8","1,0","","","","","","","","","","","","","","","22.1",",,,0","","","0",",,,0","13.53","2,0","20.83","1,,,0","6.24","1,,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1938-12","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","3.3",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","10",",0","0",",0","","","","","","","-3.9",",0,28,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,26,","26.7",",0,10,","","","393.8","0","","","212.1",",0","","","","","","","","","","","","","","","42.8",",,,0","","","0",",,,0","11.60",",0","17.95",",,,0","5.25",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-01","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","0.0","0","0.0",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","10",",0","0",",0","","","","","","","-1.7",",0,16,","0",",,0,31,+","0",",,0,31,+","24.6",",,0,12,","23.3",",0,03,","","","612.4","0","","","218.6",",0","","","","","","","","","","","","","","","70.4",",,,0","","","0",",,,0","11.28",",0","17.42",",,,0","5.15",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-02","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","1.1","0","1.1","4,0","8",",0","4",",0","0",",0","0",",0","0",",0","0","2,0","8","2,0","0","2,0","12","2,0","0","2,0","","","","","","","-3.9","2,0,22,","0",",,0,28,+","0",",,0,28,+","14.2",",,0,26,","28.9","2,0,09,","","","795.4","0","","","183.0","2,0","","","","","","","","","","","","","","","28.6",",,,0","","","0",",,,0","11.13","4,0","18.95","2,,,0","3.32","2,,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-03","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","39.7","0","38.6","2,0","3",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","21","1,0","2","1,0","","","","","","","1.7","1,0,02,","0",",,0,31,+","0",",,0,31,+","8.4",",,0,29,","33.3","1,0,27,","","","869.2","0","","","73.8","1,0","","","","","","","","","","","","","","","17.0",",,,0","","","0",",,,0","17.18","2,0","24.28","1,,,0","10.07","1,,,0","","","","","","","","","","","","","","","","","","","","","","","",""
