"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00060034","1950-11","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","16",",a","13",",a","3",",a","","","","","","","146.8",",,a,17,","","","344.8",",,,a","",""
"ASN00060034","1950-12","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","9",",a","6",",a","1",",a","","","","","","","100.1",",,a,26,","","","131.1",",,,a","",""
"ASN00060034","1951-01","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","20",",a","16",",a","5",",a","","","","","","","73.2",",,a,19,","","","314.2",",,,a","",""
"ASN00060034","1951-02","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","11",",a","7",",a","1",",a","","","","","","","31.8",",,a,06,","","","81.7",",,,a","",""
"ASN00060034","1951-03","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","12",",a","9",",a","4",",a","","","","","","","64.3",",,a,20,","","","224.7",",,,a","",""
"ASN00060034","1951-04","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","9",",a","5",",a","0",",a","","","","","","","9.7",",,a,19,","","","31.8",",,,a","",""
"ASN00060034","1951-05","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","5",",a","5",",a","0",",a","","","","","","","20.3",",,a,22,","","","67.3",",,,a","",""
"ASN00060034","1951-06","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","17",",a","15",",a","3",",a","","","","","","","102.4",",,a,08,","","","293.6",",,,a","",""
"ASN00060034","1951-07","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","2",",a","0",",a","0",",a","","","","","","","1.8",",,a,16,","","","2.3",",,,a","",""
"ASN00060034","1951-08","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","5",",a","2",",a","0",",a","","","","","","","15.5",",,a,01,","","","30.2",",,,a","",""
"ASN00060034","1951-09","-31.4667","152.7333","9.1","WAUCHOPE STATE FOREST, AS","3",",a","2",",a","0",",a","","","","","","","14.7",",,a,06,","","","19.1",",,,a","",""
