"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00298145","1941-01","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","2",",6","2",",6","0",",6","2","","12.7",",,6,13,","17.8",",,,6"
"USC00298145","1941-02","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","1",",6","1",",6","0",",6","7","","5.1",",,6,24,","5.1",",,,6"
"USC00298145","1941-03","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","3",",6","3",",6","2",",6","1","","30.5",",,6,21,","75.5",",,,6"
"USC00298145","1941-04","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","3","1,6","3","1,6","1","1,6","","","149.9","1,,6,19,","187.3","1,,,6"
"USC00298145","1941-05","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","3",",6","3",",6","1",",6","","","45.0",",,6,18,","73.0",",,,6"
"USC00298145","1941-07","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","4",",6","4",",6","1",",6","","","30.5",",,6,31,","69.8",",,,6"
"USC00298145","1941-09","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","5",",6","5",",6","4",",6","","","85.1",",,6,21,","236.3",",,,6"
"USC00298145","1941-10","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","5",",6","5",",6","0",",6","","","21.6",",,6,21,","64.8",",,,6"
"USC00298145","1942-04","36.183333","-104.133333","1752.6","SCHELL RANCH, NM US","8",",6","8",",6","6",",6","","","40.6",",,6,16,","196.8",",,,6"
