"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412364","1923-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","19.3",",,6,31,","","","","","","","","","21.3",",,,6","","","","","","","","","",""
"USC00412364","1923-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","13.2",",,6,24,","","","","","","","","","40.6",",,,6","","","","","","","","","",""
"USC00412364","1923-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","43.7",",,6,27,","","","","","","","","","62.8",",,,6","","","","","","","","","",""
"USC00412364","1923-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","15.0",",,6,12,","","","","","","","","","41.2",",,,6","","","","","","","","","",""
"USC00412364","1923-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.6",",,6,19,","","","","","","","","","5.6",",,,6","","","","","","","","","",""
"USC00412364","1923-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","31.5",",,6,02,","","","","","","","","","36.8",",,,6","","","","","","","","","",""
"USC00412364","1923-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","50.5",",,6,22,","","","","","","","","","65.5",",,,6","","","","","","","","","",""
"USC00412364","1923-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","8.1",",,6,24,","","","","","","","","","12.4",",,,6","","","","","","","","","",""
"USC00412364","1923-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","16.3",",,6,12,","","","","","","","","","57.8",",,,6","","","","","","","","","",""
"USC00412364","1923-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","13",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","52.1",",,6,05,","","","","","","","","","109.5",",,,6","","","","","","","","","",""
"USC00412364","1923-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","50.5",",,6,14,","","","","","","","","","109.8",",,,6","","","","","","","","","",""
