"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00427740","1922-06","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","","","2",",6","1",",6","0",",6","","","","","","","0","1,6","28","1,6","14","1,6","","","","","","","12.7",",,6,13,","36.7","1,6,24,+","2838.8","3,,,6","","","","","14.0",",,,6","","","","","31.00","1,,,6","","","5808","2,,,6"
"USC00427740","1922-07","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","113.3",",6","5",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","20",",6","","","1.1",",6,07,+","","","3.0",",,6,23,","38.9",",6,14,","3350.2",",,,6","6.9","6","6.9",",6","8.8",",,,6","","","21.76",",6","33.15",",,,6","10.37",",,,6","3909",",,,6"
"USC00427740","1922-08","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","122.6",",6","9",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","16",",6","","","10.0",",6,12,+","","","9.1",",,6,31,","36.7",",6,14,","2454.0",",,,6","6.9","6","0.0",",6","39.4",",,,6","","","22.29",",6","31.54",",,,6","13.03",",,,6","2961",",,,6"
"USC00427740","1922-09","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","16.8","2,6","2",",6","0",",6","0",",6","","","0","2,6","0","2,6","0","2,6","28","2,6","3","2,6","","","0.6","2,6,30,","","","2.3",",,6,01,","32.2","2,6,18,+","1824.8","3,,,6","42.2","6","35.3","2,6","3.3",",,,6","","","17.67","2,6","28.74","2,,,6","6.61","2,,,6","2574","2,,,6"
"USC00427740","1922-10","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","0.0","3,6","3",",6","2",",6","0",",6","0",",6","0","1,6","20","1,6","0","3,6","18","3,6","0","3,6","","","-7.2","1,6,24,","0",",T,6,29,","21.6",",,6,29,","29.4","3,6,01,","","","271.4","6","229.2","3,6","26.2",",,,6","0",",T,,6","10.09","3,6","21.50","3,,,6","-1.33","1,,,6","",""
"USC00427740","1922-11","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","0.0","2,6","6",",6","6",",6","0",",6","","","0","2,6","24","2,6","0","1,6","0","1,6","0","1,6","","","-11.7","2,6,15,","","","11.4",",,6,02,","13.3","1,6,20,+","","","704.7","6","433.3","1,6","38.7",",,,6","","","2.88","2,6","9.52","1,,,6","-3.77","2,,,6","",""
"USC00427740","1922-12","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","","","0.0","5,6","8",",6","7",",6","0",",6","4","1,6","0","1,6","25","1,6","3","4,6","0","4,6","0","4,6","","","-12.8","1,6,30,","127","1,,6,07,","18.5",",,6,13,","13.3","4,6,10,","","","1148.6","6","443.9","4,6","75.3",",,,6","369","1,,,6","1.12","5,6","6.17","4,,,6","-3.94","1,,,6","",""
"USC00427740","1923-01","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","0.0","6","0.0","1,6","4",",6","2",",6","0",",6","","","0",",6","30",",6","0","1,6","0","1,6","0","1,6","","","-11.1",",6,02,","","","7.9",",,6,24,","11.1","1,6,19,+","","","1677.9","6","529.3","1,6","14.0",",,,6","","","0.71","1,6","6.49","1,,,6","-5.07",",,,6","",""
"USC00427740","1923-02","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","0.0","6","0.0",",6","2",",6","2",",6","0",",6","2",",6","0",",6","28",",6","10",",6","0",",6","0",",6","","","-15.6",",6,12,","152",",,6,01,","6.6",",,6,01,","7.8",",6,23,+","","","2300.2","6","622.3",",6","11.2",",,,6","279",",,,6","-3.89",",6","2.57",",,,6","-10.35",",,,6","",""
"USC00427740","1923-03","39.383333","-112.033333","1517.9","SEVIER BRIDGE DAM, UT US","0.0","6","0.0","4,6","4","3,6","3","3,6","0","3,6","4",",6","0",",6","25",",6","0","4,6","0","4,6","0","4,6","","","-14.4",",6,15,+","178",",,6,09,","12.7","3,,6,09,","18.3","4,6,31,","","","2770.1","6","469.9","4,6","24.2","3,,,6","381",",,,6","0.81","4,6","6.63","4,,,6","-5.01",",,,6","",""
