"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00203860","1990-05","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","15",",6","11",",6","2",",6","","","","","0",",6","6",",6","0",",6","1","","","","","","37.6",",,6,10,","25.6",",6,09,","","","","","152.2",",,,6","","","16.96",",,,6","",""
"USC00203860","1990-06","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","13",",6","5",",6","1",",6","","","","","0",",6","24",",6","1",",6","2","","","","","","28.7",",,6,29,","35.6",",6,14,","","","","","73.8",",,,6","","","24.29",",,,6","",""
"USC00203860","1990-09","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","8",",6","6",",6","0",",6","","","","","0",",6","18",",6","0",",6","9","","","","","","19.1",",,6,15,","31.1",",6,07,","","","","","77.5",",,,6","","","23.17",",,,6","",""
"USC00203860","1990-10","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","12",",6","9",",6","3",",6","","","","","0",",6","4",",6","0",",6","2","","","","","","37.1",",,6,10,","25.0",",6,18,+","","","","","170.2",",,,6","","","14.58",",,,6","",""
"USC00203860","1991-05","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","8",",6","7",",6","0",",6","","","","","0",",6","20",",6","1",",6","6","","","","","","19.8",",,6,06,","35.0",",6,14,","","","","","67.5",",,,6","","","22.95",",,,6","",""
"USC00203860","1991-06","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","6",",6","4",",6","0",",6","","","","","0",",6","29",",6","4",",6","5","","","","","","9.1",",,6,23,","33.9",",6,15,","","","","","24.0",",,,6","","","27.96",",,,6","",""
"USC00203860","1994-06","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","11",",6","8",",6","2",",6","","","","","0",",6","27",",6","5",",6","3","","2","","","","87.6",",,6,24,","34.4",",6,19,","","","","","185.9",",,,6","","","25.35",",,,6","",""
"USC00203860","1994-07","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","79.3","4,6","12",",6","5",",6","1",",6","0","4,6","0","4,6","0",",6","30",",6","0",",6","4","","1","","7.8","4,6,11,","57.2",",,6,05,","31.7",",6,05,","13.8","","13.8",",6","98.9",",,,6","20.65","4,6","26.19",",,,6","15.11","4,,,6"
"USC00203860","1994-08","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","","","12",",6","10",",6","1",",6","","","","","0",",6","26",",6","0",",6","9","","","","","","37.6",",,6,13,","29.4",",6,26,","","","","","119.3",",,,6","","","23.92",",,,6","",""
"USC00203860","1994-09","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","29.7",",6","6",",6","6",",6","0",",6","0",",6","0",",6","0",",6","21",",6","0",",6","7","","","","2.2",",6,30,","18.0",",,6,25,","29.4",",6,16,","","","82.4",",6","67.0",",,,6","16.58",",6","22.76",",,,6","10.39",",,,6"
"USC00203860","1994-10","42.82306","-86.15722","190.5","HOLLAND 3 NW, MI US","1.1","5,6","9",",6","5",",6","0",",6","0","5,6","4","5,6","0",",6","6",",6","0",",6","4","","","","-2.8","5,6,11,","20.3",",,6,01,","25.6",",6,08,","","","202.3",",6","58.9",",,,6","10.54","5,6","16.47",",,,6","4.61","5,,,6"
