"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00131828","1983-06","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","117.7",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","8",",0","7.8",",0,06,","0",",,0,30,+","0",",,0,30,+","94.0",",,0,28,","35.0",",0,23,","166.3","1,,,0","","","13.0",",0","16.05","1,,,0","28.07","1,,,0","131.5",",,,0","0",",,,0","21.82",",0","28.43",",,,0","15.22",",,,0","2263","2,,,0"
"USC00131828","1983-07","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","197.9","1,0","6",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","15",",0","12.8","1,0,05,","0",",,0,31,+","0",",,0,31,+","23.1",",,0,01,","37.2",",0,28,","209.9","2,,,0","0.0","0","0.0",",0","19.81","1,,,0","33.39","1,,,0","61.3",",,,0","0",",,,0","24.95","1,0","31.76",",,,0","18.14","1,,,0","2225",",,,0"
"USC00131828","1983-08","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","173.5",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","11.1",",0,14,+","0",",,0,31,+","0",",,0,31,+","24.6",",,0,11,","37.2",",0,19,","196.8",",,,0","0.0","0","0.0",",0","19.84",",,,0","31.51",",,,0","60.9",",,,0","0",",,,0","23.93",",0","31.23",",,,0","16.63",",,,0","2218",",,,0"
"USC00131828","1983-09","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","35.3","3,0","11",",0","7",",0","1",",0","0",",0","0",",0","0","3,0","5","3,0","0",",0","22",",0","4",",0","-7.2","3,0,23,+","0",",,0,30,+","0",",,0,30,+","30.5",",,0,06,","33.3",",0,09,","126.2","1,,,0","105.2","0","105.2",",0","12.30",",,,0","21.18",",,,0","93.7",",,,0","0",",,,0","15.81","3,0","24.47",",,,0","7.16","3,,,0","2523",",,,0"
"USC00131828","1983-10","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","2.5","3,0","11",",0","7",",0","0",",0","0",",0","0",",0","0","2,0","6","2,0","0","1,0","7","1,0","0","1,0","-5.6","2,0,18,","0",",,0,31,+","0",",,0,31,+","15.2",",,0,16,","29.4","1,0,02,","84.0","2,,,0","339.2","0","234.0","1,0","6.95",",,,0","16.74",",,,0","57.0",",,,0","0",",,,0","10.09","3,0","17.06","1,,,0","3.12","2,,,0","3098",",,,0"
"USC00131828","1983-11","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","0.0","5,0","13","1,0","9","1,0","1","1,0","","","0","1,0","0","5,0","17","5,0","2","3,0","0","3,0","0","3,0","-11.1","5,0,30,","","","0","1,,0,30,+","38.9","1,,0,10,","18.3","3,0,08,","","","687.0","0","347.8","3,0","","","","","143.2","1,,,0","0","1,,,0","4.39","5,0","9.93","3,,,0","-1.15","5,,,0","4135","2,,,0"
"USC00131828","1983-12","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","","","6",",0","2",",0","0",",0","","","1","3,0","","","","","","","","","","","","","","","51","3,,0,28,","7.6",",,0,22,","","","","","","","","","","","","","15.8",",,,0","51","3,,,0","","","","","","","",""
"USC00131828","1984-01","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","0.0","0","0.0","4,0","3","1,0","1","1,0","0","1,0","","","1","2,0","8","1,0","30","1,0","15","4,0","0","4,0","0","4,0","-28.3","1,0,20,","","","127","2,,0,29,","2.5","1,,0,27,","8.3","4,0,05,","","","","","707.0","4,0","","","","","4.0","1,,,0","127","2,,,0","-8.07","4,0","-2.04","4,,,0","-14.09","1,,,0","",""
"USC00131828","1984-02","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","","","6",",0","6",",0","0",",0","","","","","","","","","6",",0","0",",0","0",",0","","","","","","","15.5",",,0,19,","17.8",",0,22,","","","","","","","","","","","42.6",",,,0","","","","","5.46",",,,0","","","",""
"USC00131828","1984-03","41.70861","-91.53528","237.7","CORALVILLE DAM, IA US","","","","","11",",0","7",",0","0",",0","","","3",",0","","","","","13","1,0","0","1,0","0","1,0","","","","","127",",,0,08,","5.6",",,0,21,","10.6","1,0,31,","","","","","","","","","","","30.9",",,,0","203",",,,0","","","2.13","1,,,0","","","",""
