"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00127102","1973-08","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","","","124.7",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","8.3",",0,22,","0",",,0,31,+","0",",,0,31,+","28.2",",,0,20,","33.9",",0,31,","","","","","","","","","11.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","87.3",",,,0","0",",,,0","22.00",",0","26.99",",,,0","17.01",",,,0","",""
"USC00127102","1973-10","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","","","6.7",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","15",",0","0",",0","-0.6",",0,19,","0",",,0,31,+","0",",,0,31,+","5.8",",,0,28,","26.1",",0,11,","","","","","","","","","162.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","18.3",",,,0","0",",,,0","13.31",",0","19.11",",,,0","7.51",",,,0","",""
"USC00127102","1973-11","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","","","0.0",",0","11",",0","6",",0","1",",0","0",",0","0",",0","0",",0","16",",0","1",",0","0",",0","0",",0","-5.6",",0,06,","0",",,0,30,+","0",",,0,30,+","25.4",",,0,28,","19.4",",0,16,","","","","","","","","","391.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","69.9",",,,0","0",",,,0","5.30",",0","9.65",",,,0","0.94",",,,0","",""
"USC00127102","1973-12","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","","","0.0","3,0","8",",0","6",",0","0",",0","","","","","0","3,0","26","3,0","16",",0","0",",0","0",",0","-16.1","3,0,17,","","","","","15.5",",,0,20,","15.0",",0,04,","","","","","","","","","598.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","58.4",",,,0","","","-3.27","3,0","0.46",",,,0","-7.00","3,,,0","",""
"USC00127102","1974-01","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","0.0","0","0.0","1,0","7",",0","4",",0","0",",0","","","","","6","1,0","29","1,0","14","1,0","0","1,0","0","1,0","-21.7","1,0,09,+","","","","","20.3",",,0,27,+","11.7","1,0,27,","","","","","","","","","672.2","1,0","","","","","","","","","","","","","","","","","","","","","","","","","69.0",",,,0","","","-4.08","1,0","-0.11","1,,,0","-8.04","1,,,0","",""
"USC00127102","1974-02","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","0.0","0","0.0","1,0","8",",0","5",",0","0",",0","","","","","3","1,0","25","1,0","16","1,0","0","1,0","0","1,0","-19.4","1,0,08,","","","","","15.7",",,0,22,","8.9","1,0,22,","","","","","","","","","643.1","1,0","","","","","","","","","","","","","","","","","","","","","","","","","39.1",",,,0","","","-5.49","1,0","-1.37","1,,,0","-9.60","1,,,0","",""
"USC00127102","1974-03","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","0.0","0","0.0",",0","12",",0","9",",0","0",",0","","","","","1",",0","25",",0","10",",0","0",",0","0",",0","-17.8",",0,25,","","","","","12.7",",,0,04,","16.1",",0,04,","","","","","","","","","560.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","70.4",",,,0","","","0.25",",0","3.33",",,,0","-2.84",",,,0","",""
"USC00127102","1974-04","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","2.8","0","2.8",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","8",",0","0",",0","-6.7",",0,09,","0",",,0,30,+","0",",,0,30,+","13.5",",,0,29,","25.6",",0,28,","","","","","","","","","285.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","44.1",",,,0","0",",,,0","8.91",",0","14.37",",,,0","3.46",",,,0","",""
"USC00127102","1974-05","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","10.1","0","7.3",",0","15",",0","8",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","-3.3",",0,07,","0",",,0,31,+","0",",,0,31,+","38.1",",,0,12,","28.3",",0,22,","","","","","","","","","171.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","136.6",",,,0","0",",,,0","13.03",",0","18.77",",,,0","7.29",",,,0","3560","4,,,0"
"USC00127102","1974-06","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","50.7","0","40.6",",0","18",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","7.8",",0,11,","0",",,0,30,+","0",",,0,30,+","26.9",",,0,08,","31.7",",0,21,","180.4",",,,0","","","","","","","48.7",",0","","","","","","","","","","","","","","","","","12.58",",,,0","","","","","26.31",",,,0","86.8",",,,0","0",",,,0","18.06",",0","23.57",",,,0","12.55",",,,0","",""
"USC00127102","1974-07","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","190.9","0","140.2",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","10.6",",0,31,+","0",",,0,31,+","0",",,0,31,+","6.9",",,0,05,","36.1",",0,15,","226.5","2,,,0","0.2","0","","","","","0.2",",0","","","","","","","","","","","","","","","","","16.81",",,,0","","","","","31.52","1,,,0","17.4",",,,0","0",",,,0","22.85",",0","29.54",",,,0","16.16",",,,0","",""
"USC00127102","1974-08","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","292.0","0","101.1",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","10.0",",0,06,","0",",,0,31,+","0",",,0,31,+","25.4",",,0,17,","32.2",",0,27,","178.7",",,,0","4.1","0","","","","","3.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","53.1",",,,0","0",",,,0","21.47",",0","27.85",",,,0","15.09",",,,0","1494","2,,,0"
"USC00127102","1974-09","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","310.6","0","18.6",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","15",",0","0",",0","-1.1",",0,15,","0",",,0,30,+","0",",,0,30,+","54.6",",,0,12,","29.4",",0,12,","126.1","5,,,0","124.0","0","","","","","119.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","99.5",",,,0","0",",,,0","14.96",",0","21.14",",,,0","8.77",",,,0","524","1,,,0"
"USC00127102","1974-10","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","310.6","0","0.0","1,0","8","2,0","3","2,0","0","2,0","0",",0","0",",0","0","1,0","15","1,0","0","1,0","4","1,0","0","1,0","-5.6","1,0,21,","0",",,0,31,+","0",",,0,31,+","9.9","2,,0,30,","24.4","1,0,06,","","","407.4","0","","","","","283.4","1,0","","","","","","","","","","","","","","","","","2.43","5,,,0","","","","","15.64","4,,,0","27.2",",a,,0","0",",,,0","8.89","1,0","15.47","1,,,0","2.30","1,,,0","1741","3,,,0"
"USC00127102","1974-11","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","312.3","0","1.7","5,0","8",",0","5",",0","0",",0","","","","","0","5,0","15","5,0","3",",0","3",",0","0",",0","-11.1","5,0,27,+","","","","","24.4",",,0,04,","23.9",",0,01,","","","764.7","0","","","","","357.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","59.7",",,,0","","","4.04","5,0","8.44",",,,0","-0.36","5,,,0","",""
"USC00127102","1974-12","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","312.3","0","0.0",",0","6",",0","4",",0","0",",0","","","","","0",",0","31",",0","8",",0","0",",0","0",",0","-14.4",",0,26,","","","","","16.0",",,0,31,","9.4",",0,24,","","","1413.6","0","","","","","648.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","45.2",",,,0","","","-2.60",",0","1.46",",,,0","-6.65",",,,0","",""
"USC00127102","1975-01","41.64","-85.19667","301.8","PRAIRIE HEIGHTS, IN US","0.0","0","0.0",",0","6",",0","4",",0","0",",0","","","","","2",",0","30",",0","10",",0","0",",0","0",",0","-19.4",",0,21,+","","","","","19.3",",,0,09,","14.4",",0,29,+","","","2089.5","0","","","","","675.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","49.5",",,,0","","","-3.47",",0","1.52",",,,0","-8.46",",,,0","",""
