"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00302462","1900-03","42.983333","-73.55","134.1","EASTON, NY US","","","","","","","2",",6","","","30",",,6,16,","","","","","60",",,,6"
"USC00302462","1900-04","42.983333","-73.55","134.1","EASTON, NY US","7",",6","5",",6","0",",6","","","","","","","13.2",",,6,18,","35.0",",,,6","",""
"USC00302462","1900-05","42.983333","-73.55","134.1","EASTON, NY US","4",",6","4",",6","1",",6","0",",6","","","0",",T,6,05,","25.9",",,6,08,","68.8",",,,6","0",",T,,6"
"USC00302462","1900-07","42.983333","-73.55","134.1","EASTON, NY US","6",",6","6",",6","0",",6","","","","","","","24.9",",,6,25,","61.2",",,,6","",""
"USC00302462","1900-08","42.983333","-73.55","134.1","EASTON, NY US","8",",6","8",",6","2",",6","","","","","","","29.7",",,6,06,","129.0",",,,6","",""
"USC00302462","1900-09","42.983333","-73.55","134.1","EASTON, NY US","6",",6","3",",6","0",",6","","","","","","","20.6",",,6,21,","41.3",",,,6","",""
"USC00302462","1900-10","42.983333","-73.55","134.1","EASTON, NY US","6",",6","5",",6","2",",6","","","","","","","30.5",",,6,11,","83.0",",,,6","",""
"USC00302462","1900-11","42.983333","-73.55","134.1","EASTON, NY US","9",",6","7",",6","1",",6","","","","","","","31.8",",,6,27,","98.1",",,,6","",""
"USC00302462","1901-02","42.983333","-73.55","134.1","EASTON, NY US","2",",6","2",",6","1",",6","2",",6","","","279",",,6,04,","26.9",",,6,04,","31.0",",,,6","330",",,,6"
"USC00302462","1901-03","42.983333","-73.55","134.1","EASTON, NY US","","","","","","","5",",6","","","51",",,6,28,+","","","","","190",",,,6"
