"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00203303","1990-04","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","","","","","","","","","","","0",",6","6",",6","0",",6","1","","","","","","","","30.0",",6,25,","","","","","","","","","13.85",",,,6","",""
"USC00203303","1990-05","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","","","","","","","","","","","0",",6","7",",6","0",",6","","","","","","","","","27.2",",6,09,","","","","","","","","","17.77",",,,6","",""
"USC00203303","1990-06","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","","","","","","","","","","","0",",6","26",",6","2",",6","","","","","","","","","32.8",",6,18,","","","","","","","","","25.24",",,,6","",""
"USC00203303","1990-09","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","","","","","","","","","","","0",",6","19",",6","1",",6","","","","","","","","","33.9",",6,07,","","","","","","","","","23.78",",,,6","",""
"USC00203303","1990-10","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","","","","","","","","","","","0","1,6","5","1,6","0","1,6","","","","","","","","","29.4","1,6,07,+","","","","","","","","","16.16","1,,,6","",""
"USC00203303","1991-06","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","","","","","","","","","","","0",",6","29",",6","5",",6","","","","","","","","","32.8",",6,30,+","","","","","","","","","28.23",",,,6","",""
"USC00203303","1994-04","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","8.6",",6","","","","","","","0",",6","16",",6","0",",6","6",",6","0",",6","","","","","-9.4",",6,07,","","","30.0",",6,27,","","","320.6",",6","","","7.93",",6","15.16",",,,6","0.70",",,,6"
"USC00203303","1994-06","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","53.8","1,6","","","","","","","0","1,6","1","1,6","0",",6","27",",6","5",",6","","","","","-0.6","1,6,02,","","","35.6",",6,19,+","","","58.3",",6","","","18.27","1,6","26.74",",,,6","9.80","1,,,6"
"USC00203303","1994-07","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","83.0",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","2",",6","","","6","","8.3",",6,29,+","","","32.8",",6,07,","15.3","","15.3",",6","","","20.52",",6","26.97",",,,6","14.06",",,,6"
"USC00203303","1994-08","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","38.1",",6","","","","","","","0",",6","0",",6","0",",6","25",",6","0",",6","","","","","4.4",",6,06,","","","30.6",",6,26,","64.5","","49.2",",6","","","17.98",",6","24.93",",,,6","11.03",",,,6"
"USC00203303","1994-09","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","27.2",",6","","","","","","","0",",6","0",",6","0",",6","21",",6","0",",6","","","","","1.7",",6,30,+","","","31.1",",6,16,","152.6","","88.1",",6","","","16.31",",6","23.68",",,,6","8.93",",,,6"
"USC00203303","1994-10","42.4","-86.06667","207.3","GRAND JUNCTION, MI US","","","8",",6","6",",6","0",",6","","","","","0",",6","9",",6","0",",6","","","","","","","20.3",",,6,09,","26.1",",6,18,","","","","","44.5",",,,6","","","17.71",",,,6","",""
