"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00368263","1979-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","13",",6","9",",6","2",",6","","","","","","","64.0",",,6,24,","183.9",",,,6","",""
"USC00368263","1979-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","10",",6","7",",6","1",",6","","","","","","","38.1",",,6,12,","100.6",",,,6","",""
"USC00368263","1979-08","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","10",",6","8",",6","2",",6","","","","","","","33.0",",,6,12,","108.7",",,,6","",""
"USC00368263","1979-09","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","5",",6","3",",6","","","","","","","57.2",",,6,06,","196.4",",,,6","",""
"USC00368263","1979-10","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","8",",6","1",",6","","","","","","","36.1",",,6,10,","116.4",",,,6","",""
"USC00368263","1979-11","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","4",",6","1",",6","","","","","","","31.5",",,6,03,","84.6",",,,6","",""
"USC00368263","1979-12","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","6",",6","6",",6","0",",6","","","","","","","11.2",",,6,20,","39.9",",,,6","",""
"USC00368263","1980-01","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","4",",6","4",",6","1",",6","","","","","","","32.8",",,6,12,","61.8",",,,6","",""
"USC00368263","1980-02","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","3",",6","3",",6","0",",6","","","","","","","11.7",",,6,17,","23.1",",,,6","",""
"USC00368263","1980-03","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","11",",6","3",",6","","","","","","","31.2",",,6,14,","160.6",",,,6","",""
"USC00368263","1980-04","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","9",",6","8",",6","2",",6","","","","","","","48.0",",,6,01,","147.9",",,,6","",""
"USC00368263","1980-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","9",",6","0",",6","","","","","","","16.0",",,6,13,","67.0",",,,6","",""
"USC00368263","1980-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","9",",6","5",",6","0",",6","","","","","","","23.9",",,6,04,","57.7",",,,6","",""
"USC00368263","1980-07","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","6",",6","3",",6","","","","","","","39.6",",,6,23,","143.0",",,,6","",""
"USC00368263","1980-08","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","4",",6","1",",6","","","","","","","94.5",",,6,06,","122.1",",,,6","",""
"USC00368263","1980-09","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","3",",6","3",",6","1",",6","","","","","","","47.0",",,6,18,","68.9",",,,6","",""
"USC00368263","1980-10","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","4",",6","4",",6","1",",6","","","","","","","91.9",",,6,25,","122.6",",,,6","",""
"USC00368263","1980-11","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","7",",6","1",",6","","","","","","","34.3",",,6,25,","89.5",",,,6","",""
"USC00368263","1981-01","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","1",",6","1",",6","0",",6","","","","","","","15.2",",,6,06,","15.2",",,,6","",""
"USC00368263","1981-02","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","8",",6","8",",6","1",",6","","","","","","","29.2",",,6,12,","99.6",",,,6","",""
"USC00368263","1981-03","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","5",",6","4",",6","0",",6","","","","","","","9.7",",,6,31,","25.7",",,,6","",""
"USC00368263","1981-04","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","9",",6","8",",6","1",",6","","","","","","","53.6",",,6,12,","137.0",",,,6","",""
"USC00368263","1981-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","6",",6","2",",6","","","","","","","73.7",",,6,12,","148.7",",,,6","",""
"USC00368263","1981-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","12",",6","12",",6","0",",6","","","","","","","22.9",",,6,09,","156.7",",,,6","",""
"USC00368263","1981-07","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","5",",6","4",",6","2",",6","","","","","","","68.6",",,6,21,","132.9",",,,6","",""
"USC00368263","1981-08","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","4",",6","4",",6","2",",6","","","","","","","41.9",",,6,09,","95.5",",,,6","",""
"USC00368263","1981-09","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","6",",6","4",",6","2",",6","","","","","","","36.8",",,6,09,","89.7",",,,6","",""
"USC00368263","1981-10","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","7",",6","0",",6","","","","","","","17.8",",,6,24,","92.7",",,,6","",""
"USC00368263","1981-11","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","6",",6","4",",6","0",",6","","","","","","","19.1",",,6,16,","60.3",",,,6","",""
"USC00368263","1981-12","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","8",",6","6",",6","3",",6","","","","","","","38.4",",,6,16,","125.8",",,,6","",""
"USC00368263","1982-01","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","11","1,6","8","1,6","1","1,6","","","","","","","37.1","1,,6,04,","136.1","1,,,6","",""
"USC00368263","1982-04","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","8",",6","7",",6","3",",6","","","","","","","45.7",",,6,27,","161.4",",,,6","",""
"USC00368263","1982-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","8",",6","6",",6","1",",6","","","","","","","37.3",",,6,29,","65.7",",,,6","",""
"USC00368263","1982-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","10",",6","7",",6","3",",6","","","","","","","68.6",",,6,30,","196.4",",,,6","",""
"USC00368263","1982-07","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","6",",6","4",",6","1",",6","","","","","","","57.2",",,6,28,","100.2",",,,6","",""
"USC00368263","1982-08","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","8",",6","6",",6","0",",6","0",",6","","","0",",,6,31,+","23.6",",,6,25,","75.9",",,,6","0",",,,6"
"USC00368263","1982-09","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","9",",6","9",",6","1",",6","","","","","","","32.5",",,6,27,","97.4",",,,6","",""
"USC00368263","1982-10","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","3",",6","3",",6","1",",6","","","","","","","36.8",",,6,26,","53.3",",,,6","",""
"USC00368263","1982-11","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","4",",6","3",",6","2",",6","","","","","","","39.4",",,6,13,","90.9",",,,6","",""
"USC00368263","1982-12","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","11",",6","5",",6","0",",6","","","","","","","15.2",",,6,17,","56.0",",,,6","",""
"USC00368263","1983-01","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","7",",6","7",",6","1",",6","","","","","","","35.1",",,6,11,","90.2",",,,6","",""
"USC00368263","1983-02","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","5",",6","5",",6","1",",6","2",",6","","","414",",,6,12,","33.8",",,6,11,","78.0",",,,6","511",",,,6"
"USC00368263","1983-03","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","11",",6","9",",6","3",",6","","","","","","","45.7",",,6,28,","198.8",",,,6","",""
"USC00368263","1983-04","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","13",",6","13",",6","4",",6","","","","","","","70.4",",,6,16,","258.0",",,,6","",""
"USC00368263","1983-05","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","10",",6","10",",6","2",",6","","","","","","","53.3",",,6,27,","167.4",",,,6","",""
"USC00368263","1983-06","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","8","3,6","6","3,6","1","3,6","","","","","","","27.2","3,,6,21,","96.3","3,,,6","",""
"USC00368263","1983-07","40.1719","-75.036","76.2","SOUTHAMPTON, PA US","4",",6","3",",6","0",",6","","","","","","","16.5",",,6,20,","33.2",",,,6","",""
