"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044714","1955-08","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","69.5","2,0","0","2,0","0","2,0","0","2,0","0","2,0","0","2,0","0","2,0","0","2,0","0","2,0","29","2,0","3","2,0","","","8.3","2,0,26,","0","2,,0,31,+","0","2,,0,31,+","0.0","2,,0,31,+","33.9","2,0,01,","310.4","4,,,0","","","0.9","2,0","0.0","2,,,0","0","2,,,0","20.70","2,0","29.40","2,,,0","11.99","2,,,0"
"USC00044714","1955-09","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","44.3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","5",",0","","","3.3",",0,28,+","0",",,0,30,+","0",",,0,30,+","14.0",",,0,14,","35.0",",0,04,+","234.8","2,,,0","","","97.5",",0","15.3",",,,0","0",",,,0","16.56",",0","24.31",",,,0","8.81",",,,0"
"USC00044714","1955-10","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","2.8",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","13",",0","0",",0","","","-1.1",",0,31,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,26,","26.1",",0,12,","172.4",",,,0","","","167.5",",0","21.3",",,,0","0",",,,0","13.02",",0","20.11",",,,0","5.93",",,,0"
"USC00044714","1956-05","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","0.3",",0","10",",0","9",",0","2",",0","0",",0","0","2,0","0",",0","9",",0","0",",0","14",",0","0",",0","","","-1.1",",0,11,+","0",",,0,31,+","0","2,,0,31,+","58.2",",,0,04,","26.7",",0,22,+","","","","","227.2",",0","161.1",",,,0","0","2,,,0","11.01",",0","17.88",",,,0","4.15",",,,0"
"USC00044714","1956-06","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","17.7","1,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","22","1,0","3","1,0","","","1.7","1,0,04,","0",",,0,30,+","0",",,0,30,+","3.8",",,0,14,","32.8","1,0,27,","235.8","3,,,0","","","85.6","1,0","4.8",",,,0","0",",,,0","15.99","1,0","24.29","1,,,0","7.70","1,,,0"
"USC00044714","1956-07","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","55.6",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","","","5.6",",0,01,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,22,","35.0",",0,17,","286.6","2,,,0","25.0","","25.0",",0","13.8",",,,0","0",",,,0","19.32",",0","27.90",",,,0","10.74",",,,0"
"USC00044714","1956-08","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","19.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","6.7",",0,04,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","28.9",",0,31,+","250.8","3,,,0","50.2","","25.2",",0","0.0",",,,0","0",",,,0","18.13",",0","26.08",",,,0","10.18",",,,0"
"USC00044714","1956-09","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","","","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","5.6",",0,20,","0",",,0,30,+","0",",,0,30,+","13.2",",,0,19,","","","206.1","2,,,0","","","","","13.5",",,,0","0",",,,0","","","","","8.59",",,,0"
"USC00044714","1956-10","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","","","14",",0","10",",0","3",",0","","","0","4,0","0",",0","8",",0","","","","","","","1","","-5.6",",0,24,","","","0","4,T,0,29,+","51.3",",,0,30,","","","","","","","","","209.3",",,,0","0","4,T,,0","","","","","2.95",",,,0"
"USC00044714","1957-05","39.33333","-120.63333","1562.1","LAKE SPAULDING DAM, CA US","0.0",",0","15",",0","10",",0","3",",0","0",",0","0","1,0","0",",0","3",",0","0",",0","10",",0","0",",0","","","-1.1",",0,20,","0",",,0,31,+","0","1,,0,31,+","105.9",",,0,18,","25.0",",0,28,","133.9","2,,,0","","","263.1",",0","252.5",",,,0","0","1,,,0","9.85",",0","15.55",",,,0","4.14",",,,0"
