"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00131546","2005-02","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","0.0",",E","25",",","1",",E","25",",E","16",",E","0",",E","0",",E","-21.4",",E,28,","310",",,E,03,","9.8",",E,12,","","","613.2",",E","-3.57",",E","0.32",",,,E","-7.46",",,,E"
"GME00131546","2005-03","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","0.0",",E","17",",","2",",E","16",",E","6",",E","0",",E","0",",E","-24.0",",E,01,","230",",,E,09,+","18.1",",E,18,","","","495.0",",E","2.36",",E","7.33",",,,E","-2.60",",,,E"
"GME00131546","2005-04","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","0.0",",E","0",",","0",",E","7",",E","0",",E","1",",E","0",",E","-1.2",",E,22,+","0",",,E,30,+","22.9",",E,30,","","","292.1",",E","8.60",",E","13.45",",,,E","3.74",",,,E"
"GME00131546","2005-05","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","5.1",",E","0",",","0",",E","1",",E","0",",E","10",",E","0",",E","0.0",",E,12,","0",",,E,31,+","29.9",",E,28,","","","188.4",",E","12.42",",E","18.55",",,,E","6.29",",,,E"
"GME00131546","2005-06","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","28.1",",E","0",",","0",",E","0",",E","0",",E","20",",E","0",",E","4.0",",E,08,","0",",,E,30,+","30.6",",E,24,","","","76.6",",E","16.72",",E","22.53",",,,E","10.90",",,,E"
"GME00131546","2005-07","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","32.8",",E","0",",","0",",E","0",",E","0",",E","21",",E","2",",E","6.7",",E,09,","0",",,E,31,+","32.7",",E,28,","47.4","E","47.4",",E","17.86",",E","23.75",",,,E","11.97",",,,E"
"GME00131546","2005-08","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","0.6",",E","0",",","0",",E","0",",E","0",",E","16",",E","0",",E","6.8",",E,09,","0",",,E,31,+","26.3",",E,19,","126.8","E","79.4",",E","15.79",",E","20.71",",,,E","10.87",",,,E"
"GME00131546","2005-09","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","8.5",",E","0",",","0",",E","0",",E","0",",E","13",",E","0",",E","3.6",",E,22,","0",",,E,30,+","29.3",",E,01,","237.8","E","111.0",",E","14.92",",E","20.27",",,,E","9.56",",,,E"
"GME00131546","2005-10","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","0.0",",E","0",",","0",",E","2",",E","0",",E","1",",E","0",",E","-1.5",",E,19,","0",",,E,31,+","21.3",",E,22,","490.1","E","252.3",",E","10.19",",E","15.16",",,,E","5.23",",,,E"
"GME00131546","2005-11","48.2081","11.2044","530.0","MAISACH GALGEN, GM","","","0.0",",E","11",",","0",",E","18",",E","4",",E","0",",E","0",",E","-11.1",",E,26,","80",",,E,25,","18.8",",E,03,","966.9","E","476.8",",E","2.44",",E","6.04",",,,E","-1.16",",,,E"
