"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00383109","1896-02","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","0.0",",6","","","","","","","1",",6","0",",6","9",",6","1",",6","4",",6","0",",6","","","-12.8",",6,21,","114",",,6,17,","","","24.4",",6,29,+","","","300.8",",6","","","114",",,,6","7.96",",6","13.75",",,,6","2.17",",,,6"
"USC00383109","1896-03","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","11.1",",6","","","","","","","","","0",",6","3",",6","0",",6","14",",6","0",",6","","","-2.8",",6,21,","","","","","29.4",",6,31,","","","211.9",",6","","","","","11.85",",6","18.97",",,,6","4.74",",,,6"
"USC00383109","1896-04","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","88.4",",6","","","","","","","","","0",",6","0",",6","0",",6","24",",6","5",",6","","","3.9",",6,04,","","","","","35.0",",6,19,","","","53.1",",6","","","","","19.51",",6","26.31",",,,6","12.71",",,,6"
"USC00383109","1896-05","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","216.3",",6","9",",6","8",",6","2",",6","","","0",",6","0",",6","0",",6","31",",6","16",",6","","","10.0",",6,08,","","","30.5",",,6,07,","36.1",",6,13,","","","1.4",",6","111.0",",,,6","","","25.26",",6","31.24",",,,6","19.29",",,,6"
"USC00383109","1896-06","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","238.6",",6","","","","","","","","","0",",6","0",",6","0",",6","30",",6","17",",6","","","15.6",",6,15,","","","","","36.1",",6,29,","","","0.0",",6","","","","","26.29",",6","31.56",",,,6","21.01",",,,6"
"USC00383109","1896-07","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","288.7","1,6","","","","","","","","","0","1,6","0","1,6","0",",6","31",",6","22",",6","","","18.9","1,6,13,","","","","","38.9",",6,31,","0.0","6","0.0",",6","","","","","28.05","1,6","33.19",",,,6","22.91","1,,,6"
"USC00383109","1896-08","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","273.2",",6","7",",6","7",",6","2",",6","","","0",",6","0",",6","0",",6","31",",6","21",",6","","","13.3",",6,31,+","","","31.2",",,6,25,","37.8",",6,01,","0.0","6","0.0",",6","99.9",",,,6","","","27.15",",6","32.89",",,,6","21.40",",,,6"
"USC00383109","1896-09","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","149.3",",6","","","","","","","","","0",",6","0",",6","0",",6","29",",6","15",",6","","","3.9",",6,24,","","","","","37.2",",6,19,","13.0","6","13.0",",6","","","","","22.88",",6","30.11",",,,6","15.65",",,,6"
"USC00383109","1896-10","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","10.1",",6","","","","","","","","","0",",6","0",",6","0",",6","25",",6","0",",6","","","0.6",",6,20,","","","","","28.9",",6,30,","107.7","6","94.7",",6","","","","","15.60",",6","22.63",",,,6","8.57",",,,6"
"USC00383109","1896-11","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","5.6",",6","5",",6","5",",6","3",",6","","","0",",6","3",",6","0",",6","18",",6","0",",6","","","-2.2",",6,15,","","","34.3",",,6,30,","26.7",",6,11,","238.8","6","131.1",",6","111.5",",,,6","","","14.15",",6","21.08",",,,6","7.22",",,,6"
"USC00383109","1896-12","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","","","0.0",",6","4",",6","4",",6","2",",6","","","0",",6","22",",6","0",",6","0",",6","0",",6","","","-9.4",",6,26,","","","34.3",",,6,02,","18.3",",6,14,+","645.2","6","406.4",",6","80.6",",,,6","","","5.22",",6","11.90",",,,6","-1.45",",,,6"
"USC00383109","1897-01","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","0.0","6","0.0",",6","","","","","","","","","0",",6","22",",6","1",",6","1",",6","0",",6","","","-12.8",",6,29,","","","","","21.7",",6,04,","1064.6","6","419.4",",6","","","","","4.80",",6","11.18",",,,6","-1.57",",,,6"
"USC00383109","1897-02","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","3.3","6","3.3",",6","9",",6","7",",6","3",",6","","","0",",6","9",",6","0",",6","3",",6","0",",6","","","-5.0",",6,28,","","","51.3",",,6,25,","25.6",",6,22,","1311.9","6","247.3",",6","199.2",",,,6","","","9.62",",6","15.58",",,,6","3.66",",,,6"
"USC00383109","1897-03","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","7.2","6","3.9","2,6","12",",6","10",",6","0",",6","","","0","1,6","4","1,6","0","1,6","11","1,6","0","1,6","","","-2.2","1,6,28,","","","24.1",",,6,20,","27.8","1,6,21,","1477.8","6","165.9","1,6","93.2",",,,6","","","12.74","2,6","19.37","1,,,6","6.11","1,,,6"
"USC00383109","1897-04","34.166667","-79.833333","41.5","FLORENCE NUMBER 1, SC US","25.3","6","18.1",",6","9",",6","5",",6","0",",6","","","0",",6","1",",6","0",",6","23",",6","0",",6","","","0.0",",6,21,","","","25.1",",,6,05,","30.0",",6,30,+","1561.5","6","83.7",",6","57.5",",,,6","","","16.15",",6","23.58",",,,6","8.71",",,,6"
