"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00344250","2011-05","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","151.0",",K","6",",K","4",",K","0",",K","0",",K","0",",K","0",",K","29",",K","15",",K","2.2",",K,03,","24.1",",,K,20,","41.1",",K,08,","","","  25.0",",,,K,3,2","30.2",",K","  32.8",",,,K,3,2","  11.7",",,,K,3,2","  20.0",",,,K,3,2","  18.5",",,,K,3,2","  27.6",",,,K,3,2","43.5",",,,K","22.23",",K","31.37",",,,K","13.08",",,,K"
"USC00344250","2011-06","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","379.7",",K","3",",K","2",",K","0",",K","0",",K","0",",K","0",",K","30",",K","30",",K","16.7",",K,21,","6.1",",,K,08,","46.1",",K,26,","","","  29.4",",,,K,3,2","0.0",",K","  37.2",",,,K,3,2","  23.3",",,,K,3,2","  31.1",",,,K,3,2","  26.0",",,,K,3,2","  34.4",",,,K,3,2","11.4",",,,K","30.99",",K","39.83",",,,K","22.15",",,,K"
"USC00344250","2011-07","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","440.3",",K","1",",K","1",",K","0",",K","0",",K","0",",K","0",",K","31",",K","31",",K","21.1",",K,12,","2.8",",,K,12,","43.9",",K,26,","0.0","K","  30.6",",,,K,3,2","0.0",",K","  40.0",",,,K,3,2","  27.8",",,,K,3,2","  35.6",",,,K,3,2","  29.4",",,,K,3,2","  38.4",",,,K,3,2","2.8",",,,K","32.54",",K","40.76",",,,K","24.32",",,,K"
"USC00344250","2011-08","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","443.8",",K","4",",K","1",",K","0",",K","0",",K","0",",K","0",",K","31",",K","31",",K","20.6",",K,13,","4.1",",,K,12,","43.9",",K,30,","0.0","K","  31.1",",,,K,3,2","0.0",",K","  40.6",",,,K,3,2","  27.8",",,,K,3,2","  34.4",",,,K,3,2","  29.5",",,,K,3,2","  38.2",",,,K,3,2","6.0",",,,K","32.65",",K","41.12",",,,K","24.17",",,,K"
"USC00344250","2011-09","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","156.8",",K","6",",K","2",",K","0",",K","0",",K","0",",K","0",",K","29",",K","16",",K","8.3",",K,06,","6.4",",,K,15,","40.0",",K,13,+","5.2","K","  27.8",",,,K,3,2","5.2",",K","  37.2",",,,K,3,2","  17.8",",,,K,3,2","  25.6",",,,K,3,2","  22.3",",,,K,3,2","  30.6",",,,K,3,2","12.8",",,,K","23.39",",K","31.94",",,,K","14.83",",,,K"
"USC00344250","2011-10","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","47.0",",K","8",",K","3",",K","2",",K","0",",K","0",",K","0",",K","24",",K","5",",K","1.7",",K,28,","37.1",",,K,08,","33.9",",K,16,","75.3","K","  21.1",",,,K,3,2","70.1",",K","  28.9",",,,K,3,2","   7.8",",,,K,3,2","  15.6",",,,K,3,2","  15.1",",,,K,3,2","  22.6",",,,K,3,2","74.8",",,,K","17.59",",K","25.56",",,,K","9.62",",,,K"
"USC00344250","2011-11","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","0.0",",K","7",",K","4",",K","1",",K","0",",K","8",",K","0",",K","9",",K","0",",K","-4.4",",K,17,","53.1",",,K,21,","27.2",",K,13,","317.8","K","  13.3",",,,K,3,2","242.5",",K","  19.4",",,,K,3,2","   3.3",",,,K,3,2","   7.2",",,,K,3,2","   7.6",",,,K,3,2","  13.5",",,,K,3,2","73.8",",,,K","10.25",",K","17.66",",,,K","2.84",",,,K"
"USC00344250","2011-12","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","","","0.0",",K","8","2,K","6","2,K","0","2,K","0",",K","20",",K","1",",K","1",",K","0",",K","-8.3",",K,07,","10.9","2,,K,19,","27.8",",K,31,","741.1","K","   7.8",",,,K,3,2","423.3",",K","  11.7",",,,K,3,2","   0.6",",,,K,3,2","   2.8",",,,K,3,2","   3.8",",,,K,3,2","   7.0",",,,K,3,2","37.1",",a,,K","4.68",",K","10.16",",,,K","-0.80",",,,K"
"USC00344250","2012-01","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","0.0","7","0.0","1,K","1",",K","0",",K","0",",K","0","1,K","24","1,K","0","1,K","4","1,K","0","1,K","-8.3","1,K,18,+","1.5",",,K,24,","25.6","1,K,16,","1096.2","7","","","355.1","1,K","","","","","","","","","","","1.5",",,,K","6.50","1,K","15.54","1,,,K","-2.55","1,,,K"
"USC00344250","2012-02","34.6855","-99.8333","496.8","HOLLIS 5 E MESONET, OK US","0.0","7","0.0",",K","5","5,K","0","5,K","0","5,K","0",",K","20",",K","1",",K","4",",K","0",",K","-8.9",",K,08,","1.5","5,,K,18,","27.2",",K,28,","1439.3","7","  10.6",",,,K,3,2","343.1",",K","  15.0",",,,K,3,2","   2.8",",,,K,3,2","   3.9",",,,K,3,2","   6.1",",,,K,3,2","  10.1",",,,K,3,2","17.6",",a,,K","6.50",",K","13.64",",,,K","-0.63",",,,K"
