"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"BDM00078016","1949-01","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","15.9","X","15.9",",X","12",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","17",",X","0",",X","","","","","1","","12.2",",X,16,+","0",",,X,31,+","0",",,X,31,+","11.9",",,X,07,","23.9",",X,30,","","","12.8",",X","36.6",",,,X","0",",,,X","18.43",",X","20.68",",,,X","16.18",",,,X","","","","","","","",""
"BDM00078016","1949-02","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","26.6","X","10.7",",X","13",",X","10",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","12",",X","0",",X","1","","","","","","10.6",",X,12,","0",",,X,28,+","0",",,X,28,+","27.7",",,X,21,","22.2",",X,17,+","","","22.0",",X","91.3",",,,X","0",",,,X","17.93",",X","20.24",",,,X","15.63",",,,X","","","","","","","",""
"BDM00078016","1949-03","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","47.2","X","20.6",",X","9",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","15",",X","0",",X","","","","","1","","12.2",",X,17,+","0",",,X,31,+","0",",,X,31,+","38.1",",,X,19,","24.4",",X,31,+","","","28.5",",X","89.4",",,,X","0",",,,X","18.08",",X","20.58",",,,X","15.57",",,,X","","","","","","","",""
"BDM00078016","1949-04","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","90.8","X","43.6",",X","11",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","24",",X","0",",X","","","","","1","","14.4",",X,11,","0",",,X,30,+","0",",,X,30,+","34.0",",,X,24,","23.9",",X,25,+","","","4.4",",X","72.7",",,,X","0",",,,X","19.64",",X","22.05",",,,X","17.22",",,,X","","","","","","","",""
"BDM00078016","1949-05","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","193.5","X","102.7",",X","11",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","2","","17.2",",X,05,","0",",,X,31,+","0",",,X,31,+","54.1",",,X,19,","26.7",",X,28,","","","0.0",",X","150.6",",,,X","0",",,,X","21.65",",X","23.66",",,,X","19.63",",,,X","","","","","","","",""
"BDM00078016","1949-06","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","368.1","X","174.6",",X","13",",X","10",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","","","18.3",",X,11,","0",",,X,30,+","0",",,X,30,+","62.2",",,X,01,","28.9",",X,29,+","","","0.0",",X","194.0",",,,X","0",",,,X","24.15",",X","26.51",",,,X","21.80",",,,X","","","","","","","",""
"BDM00078016","1949-07","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","630.4","X","262.3",",X","9",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","2","","22.2",",X,26,+","0",",,X,31,+","0",",,X,31,+","26.4",",,X,09,","31.1",",X,31,+","0.0","X","0.0",",X","75.8",",,,X","0",",,,X","26.79",",X","29.55",",,,X","24.04",",,,X","","","","","","","",""
"BDM00078016","1949-08","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","900.8","X","270.4",",X","14",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","2","","21.1",",X,12,","0",",,X,31,+","0",",,X,31,+","19.1",",,X,07,","31.7",",X,23,+","0.0","X","0.0",",X","80.9",",,,X","0",",,,X","27.06",",X","29.97",",,,X","24.15",",,,X","","","","","","","",""
"BDM00078016","1949-09","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1127.4","X","226.6",",X","12","2,X","7","2,X","0","2,X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","3","","21.7",",X,15,","0",",,X,30,+","0",",T,X,24,+","23.4","2,,X,08,","30.0",",X,06,+","0.0","X","0.0",",X","68.6","2,,,X","0",",T,,X","25.89",",X","28.50",",,,X","23.27",",,,X","","","","","","","",""
"BDM00078016","1949-10","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1312.0","X","184.6",",X","8",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","","","20.0",",X,24,+","0",",,X,31,+","0",",,X,31,+","15.7",",,X,01,","27.8",",X,17,+","0.0","X","0.0",",X","44.6",",,,X","0",",,,X","24.29",",X","26.46",",,,X","22.12",",,,X","","","","","","","",""
