"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014710","1949-01","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","","0.0",",X","11",",X","9",",X","0",",X","10",",X","6",",X","0",",X","30",",X","8",",X","0",",X","0",",X","11","","","","","","-15.0",",X,30,","305",",,X,31,","107",",,X,21,","21.8",",,X,06,","13.3",",X,06,","","","615.3",",X","86.4",",,,X","419",",,,X","-1.51",",X","3.31",",,,X","-6.34",",,,X","","","","","","","","","","","","","",""
"USW00014710","1949-02","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","","0.0",",X","12",",X","6",",X","0",",X","14",",X","2",",X","2",",X","25",",X","6",",X","0",",X","0",",X","9","","","","","","-22.2",",X,03,","330",",,X,07,+","61",",,X,04,","13.5",",,X,23,","15.0",",X,19,","","","556.5",",X","50.1",",,,X","143",",,,X","-1.54",",X","4.21",",,,X","-7.30",",,,X","","","","","","","","","","","","","22.4","3,X"
"USW00014710","1949-03","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","","0.0",",X","9",",X","6",",X","0",",X","","","3","3,X","0",",X","22",",X","3",",X","1",",X","0",",X","10","","","","","","-16.7",",X,20,","","","119","3,,X,01,","10.7",",,X,11,","23.3",",X,26,","","","495.5",",X","35.7",",,,X","244","3,,,X","2.35",",X","8.43",",,,X","-3.73",",,,X","","","","","","","248","2,X","","","","","21.5","2,X"
"USW00014710","1949-04","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","","0.0",",X","14",",X","7",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","7",",X","0",",X","10","","","","","","-2.2",",X,25,+","0",",,X,30,+","0",",T,X,17,","18.5",",,X,14,+","26.7",",X,22,","","","276.3",",X","78.0",",,,X","0",",T,,X","9.12",",X","15.67",",,,X","2.57",",,,X","","","","","","","225",",X","","","","","18.8",",X"
"USW00014710","1949-05","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","14.7","","14.7",",X","15",",X","9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","16",",X","1",",X","13","","","","4","","0.6",",X,30,+","0",",,X,31,+","0",",T,X,29,","23.9",",,X,20,","33.3",",X,05,","","","145.7",",X","100.7",",,,X","0",",T,,X","14.11",",X","21.71",",,,X","6.51",",,,X","","","","","","","180",",X","","","","","17.9",",X"
"USW00014710","1949-06","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","118.8","","104.1",",X","6",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","6",",X","10","","","","4","","5.0",",X,09,+","0",",,X,30,+","0",",,X,30,+","19.6",",,X,25,","35.0",",X,21,","","","21.6",",X","34.8",",,,X","0",",,,X","21.08",",X","28.86",",,,X","13.30",",,,X","","","","","","","135",",X","","","","","19.2",",X"
"USW00014710","1949-07","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","271.3","","152.5",",X","12",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","11",",X","15","","","","8","","9.4",",X,08,","0",",,X,31,+","0",",,X,31,+","19.3",",,X,13,","37.2",",X,30,","1.4","","1.4",",X","62.2",",,,X","0",",,,X","23.21",",X","30.10",",,,X","16.31",",,,X","","","","","","","270",",X","","","","","20.6",",X"
"USW00014710","1949-08","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","387.4","","116.1",",X","7",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","9",",X","13","","","","6","","7.2",",X,21,","0",",,X,31,+","0",",,X,31,+","20.8",",,X,31,","37.8",",X,10,","7.5","","6.1",",X","78.5",",,,X","0",",,,X","21.88",",X","29.14",",,,X","14.62",",,,X","","","","","","","135",",X","","","","","16.1",",X"
"USW00014710","1949-09","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","402.4","","15.0",",X","16",",X","9",",X","1",",X","0",",X","0",",X","0",",X","1",",X","0",",X","14",",X","0",",X","18","","","","4","","0.0",",X,26,","0",",,X,30,+","0",",T,X,24,","26.9",",,X,15,","30.6",",X,05,","106.7","","99.2",",X","110.0",",,,X","0",",T,,X","15.53",",X","21.83",",,,X","9.22",",,,X","","","","","","","248","3,X","","","","","14.3","3,X"
"USW00014710","1949-10","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014710","1951-03","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014710","1951-04","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","0.0",",X","14",",X","6",",X","1",",X","0",",X","0",",X","0",",X","5",",X","0",",X","1",",X","0",",X","13","","","","1","","-2.2",",X,21,+","0",",,X,30,+","0",",,X,30,+","35.3",",,X,03,","22.8",",X,29,","","","276.1",",X","77.7",",,,X","0",",,,X","9.13",",X","14.95",",,,X","3.30",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-05","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","15.6",",X","9",",X","5",",X","1",",X","0",",X","0",",X","0",",X","2",",X","0",",X","16",",X","2",",X","12","","","","1","","-1.7",",X,05,","0",",,X,31,+","0",",,X,31,+","36.3",",,X,24,","32.2",",X,22,+","","","140.8",",X","105.9",",,,X","0",",,,X","14.30",",X","21.67",",,,X","6.92",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-06","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","35.7",",X","9",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","23",",X","1",",X","24","","","","1","","3.9",",X,08,","0",",,X,30,+","0",",,X,30,+","23.4",",,X,15,","32.2",",X,01,","","","51.1",",X","71.6",",,,X","0",",,,X","17.82",",X","23.64",",,,X","12.00",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-07","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","106.4",",X","11",",X","7",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","3",",X","17","","","","4","","10.0",",X,07,","0",",,X,31,+","0",",,X,31,+","65.3",",,X,12,","33.3",",X,26,+","2.8","X","2.8",",X","156.8",",,,X","0",",,,X","21.68",",X","27.76",",,,X","15.59",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-08","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","65.8",",X","11",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","1",",X","22","","","","6","","8.3",",X,07,","0",",,X,31,+","0",",T,X,15,","23.1",",,X,01,","32.8",",X,11,","17.0","X","14.2",",X","91.9",",,,X","0",",T,,X","20.00",",X","25.78",",,,X","14.21",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-09","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","15.5",",X","8",",X","7",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","20",",X","0",",X","20","","","","","","-1.1",",X,30,","0",",,X,30,+","0",",,X,30,+","19.8",",,X,02,","31.1",",X,12,","103.5","X","86.5",",X","64.1",",,,X","0",",,,X","15.97",",X","22.32",",,,X","9.62",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-10","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","2.0",",X","7",",X","7",",X","1",",X","0",",X","0",",X","0",",X","6",",X","0",",X","5",",X","0",",X","20","","","","","","-2.8",",X,30,","0",",,X,31,+","0",",,X,31,+","42.2",",,X,25,","25.0",",X,05,","334.4","X","230.9",",X","116.4",",,,X","0",",,,X","10.95",",X","16.72",",,,X","5.17",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-11","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","0.0",",X","11",",X","8",",X","2",",X","1",",X","1",",X","0",",X","24",",X","3",",X","0",",X","0",",X","17","","","","","","-11.1",",X,28,","25",",,X,26,","51",",,X,26,","87.1",",,X,03,","19.4",",X,03,","810.2","X","475.8",",X","199.7",",,,X","51",",,,X","2.47",",X","7.68",",,,X","-2.74",",,,X","","","","","","","","","","","","","",""
"USW00014710","1951-12","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","","","0.0","2,X","13",",X","10",",X","0",",X","17",",X","6",",X","6","1,X","25","1,X","12","1,X","0","1,X","0","1,X","18","","","","","","-26.1","1,X,28,","305",",,X,29,+","170",",,X,15,","24.6",",,X,18,","15.0","1,X,08,","1417.0","X","606.8","1,X","99.1",",,,X","578",",,,X","-2.66","2,X","3.25","1,,,X","-8.58","1,,,X","","","","","","","","","","","","","",""
"USW00014710","1952-01","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","X","0.0",",X","14",",X","8",",X","1",",X","30",",X","5",",X","2",",X","30",",X","12",",X","0",",X","0",",X","14","","","","","","-21.7",",X,31,","406",",,X,07,+","284",",,X,05,","40.6",",,X,05,","8.9",",X,27,","2090.9","X","673.9",",X","140.2",",,,X","620",",,,X","-3.41",",X","1.80",",,,X","-8.62",",,,X","","","","","","","","","","","","","",""
"USW00014710","1952-02","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","X","0.0",",X","13",",X","6",",X","1",",X","20",",X","5",",X","0",",X","27",",X","7",",X","0",",X","0",",X","16","","","","","","-14.4",",X,25,","381",",,X,21,+","226",",,X,17,","25.9",",,X,17,","10.0",",X,02,","2696.1","X","605.2",",X","79.7",",,,X","553",",,,X","-2.53",",X","2.40",",,,X","-7.47",",,,X","","","","","","","","","","","","","",""
"USW00014710","1952-03","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","X","0.0",",X","8",",X","6",",X","2",",X","21",",X","3",",X","0",",X","29",",X","2",",X","0",",X","0",",X","13","","","","1","","-12.8",",X,01,","152",",,X,05,+","112",",,X,19,","30.7",",,X,11,","16.1",",X,26,","3235.3","X","539.2",",X","86.1",",,,X","229",",,,X","0.94",",X","5.15",",,,X","-3.28",",,,X","","","","","","","","","","","","","",""
"USW00014710","1952-04","42.92963","-71.43566","67.4","MANCHESTER AIRPORT, NH US","","","0.0","X","0.0",",X","9",",X","6",",X","2",",X","0",",X","0",",X","0",",X","5",",X","0",",X","5",",X","0",",X","13","","","","","","-2.8",",X,10,","0",",,X,30,+","0",",,X,30,+","33.8",",,X,05,","25.0",",X,20,+","3514.9","X","279.6",",X","123.0",",,,X","0",",,,X","9.01",",X","15.00",",,,X","3.02",",,,X","","","","","","","","","","","","","",""
