"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MGM00044304","1960-03","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","14","5,S","0","5,S","0","5,S","","","","","","","10.0","5,S,27,","","","","","","","-0.57","5,,,S","",""
"MGM00044304","1962-02","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","26","1,S","0","1,S","0","1,S","","","","","","","3.9","1,S,19,","","","","","","","-6.24","1,,,S","",""
"MGM00044304","1962-09","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","0","3,S","3","3,S","0","3,S","","","","","","","23.9","3,S,04,","","","","","","","16.46","3,,,S","",""
"MGM00044304","1962-10","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","2","5,S","0","5,S","0","5,S","","","","","","","16.1","5,S,01,","","","","","","","8.88","5,,,S","",""
"MGM00044304","1963-02","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","20","4,S","0","4,S","0","4,S","","","","","","","5.0","4,S,27,","","","","","","","-4.11","4,,,S","",""
"MGM00044304","1963-05","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","0","4,S","12","4,S","0","4,S","","","","","","","28.9","4,S,10,","","","","","","","20.10","4,,,S","",""
"MGM00044304","1969-03","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","20","4,S","0","4,S","0","4,S","","","","","","","17.2","4,S,25,","","","","","","","-4.14","4,,,S","",""
"MGM00044304","1969-04","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","1","5,S","0","5,S","0","5,S","","","","","","","20.0","5,S,11,","","","","","","","10.46","5,,,S","",""
"MGM00044304","1969-05","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","0","2,S","7","2,S","0","2,S","","","","","","","26.1","2,S,01,","","","","","","","17.18","2,,,S","",""
"MGM00044304","1969-06","47.317","110.633","1033.0","UNDERKHAAN, MG","","","","","","","","","","","","","","","0","4,S","23","4,S","2","4,S","","","","","","","32.2","4,S,26,+","","","","","","","24.50","4,,,S","",""
