"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017610","1953-08","77.23333","-62.33333","1704.1","THULE MILE 60 SIERRA, GL","0.0","1,X","","","","","","","2","1,X","30","1,X","30",",X","0",",X","0",",X","14","","-18.3","1,X,30,+","","","1.7",",X,01,","","","769.0",",X","","","-7.29","1,X","-3.78",",,,X","-10.81","1,,,X","","","",""
"GLW00017610","1954-07","77.23333","-62.33333","1704.1","THULE MILE 60 SIERRA, GL","0.0","1,X","8","1,X","0","1,X","0","1,X","0",",X","31",",X","24","1,X","0","1,X","0","1,X","8","","-13.3",",X,08,","2.0","1,,X,05,","2.8","1,X,14,","726.9","","726.9","1,X","8.2","1,,,X","-5.94","1,X","-2.67","1,,,X","-9.21",",,,X","180",",X","20.6",",X"
"GLW00017610","1954-08","77.23333","-62.33333","1704.1","THULE MILE 60 SIERRA, GL","0.0","2,X","4","2,X","1","2,X","0","2,X","0","2,X","29","2,X","24","2,X","0","2,X","0","2,X","9","","-14.4","2,X,20,+","2.8","2,,X,07,","4.4","2,X,14,","1447.8","","720.9","2,X","5.4","2,,,X","-6.52","2,X","-2.80","2,,,X","-10.25","2,,,X","23","2,X","20.6","2,X"
