"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00232492","1893-01","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","2",",6","0",",6","","","24",",6","0",",6","0",",6","","","7.1",",,6,28,","5.0",",6,04,","14.0",",,,6","","","-4.48",",,,6"
"USC00232492","1893-02","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","13",",6","0",",6","0",",6","","","","","10.0",",6,01,","","","","","-0.97",",,,6"
"USC00232492","1893-03","38.6667","-94.2167","260.6","EIGHT MILE, MO US","9",",6","7",",6","1",",6","1",",6","7",",6","0",",6","0",",6","109",",,6,17,","25.7",",,6,06,","18.3",",6,31,+","75.1",",,,6","122",",,,6","5.05",",,,6"
"USC00232492","1893-04","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","3",",6","0",",6","","","","","22.8",",6,07,+","","","","","12.22",",,,6"
"USC00232492","1893-05","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","2",",6","0",",6","","","","","21.1",",6,21,+","","","","","15.79",",,,6"
"USC00232492","1893-06","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","21",",6","0",",6","","","","","25.6",",6,24,+","","","","","21.94",",,,6"
"USC00232492","1893-07","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","31",",6","0",",6","","","","","28.9",",6,14,","","","","","24.72",",,,6"
"USC00232492","1893-08","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","3",",6","0",",6","","","0",",6","20",",6","0",",6","","","13.2",",,6,10,","26.1",",6,09,","29.1",",,,6","","","21.67",",,,6"
"USC00232492","1893-09","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","4",",6","2",",6","","","0",",6","19",",6","0",",6","","","29.7",",,6,30,","30.6",",6,14,","98.3",",,,6","","","20.85",",,,6"
"USC00232492","1893-10","38.6667","-94.2167","260.6","EIGHT MILE, MO US","2",",6","1",",6","0",",6","","","0",",6","3",",6","0",",6","","","7.1",",,6,01,","22.8",",6,10,+","7.6",",,,6","","","13.85",",,,6"
"USC00232492","1893-11","38.6667","-94.2167","260.6","EIGHT MILE, MO US","3",",6","3",",6","0",",6","","","5",",6","0",",6","0",",6","","","15.5",",,6,26,","18.3",",6,01,","38.6",",,,6","","","5.02",",,,6"
"USC00232492","1893-12","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","1",",6","0",",6","1",",6","11",",6","0",",6","0",",6","38",",,6,03,","3.0",",,6,03,","15.0",",6,24,+","5.4",",,,6","38",",,,6","2.48",",,,6"
"USC00232492","1894-02","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","16","1,6","0","1,6","0","1,6","","","","","7.8","1,6,27,","","","","","-1.84","1,,,6"
"USC00232492","1894-03","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","3",",6","1",",6","0",",6","3",",6","0",",6","0",",6","0",",T,6,22,","43.7",",,6,03,","19.4",",6,17,","68.6",",,,6","0",",T,,6","8.43",",,,6"
"USC00232492","1894-04","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","1",",6","0",",6","","","","","22.2",",6,28,","","","","","13.56",",,,6"
"USC00232492","1894-05","38.6667","-94.2167","260.6","EIGHT MILE, MO US","7",",6","5",",6","1",",6","","","0",",6","3",",6","0",",6","","","58.7",",,6,04,","23.9",",6,16,","102.6",",,,6","","","17.15",",,,6"
"USC00232492","1894-06","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","23",",6","0",",6","","","","","26.7",",6,30,+","","","","","22.70",",,,6"
"USC00232492","1894-07","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","5",",6","1",",6","","","0",",6","27",",6","0",",6","","","45.2",",,6,29,","27.8",",6,25,+","113.3",",,,6","","","23.36",",,,6"
"USC00232492","1894-08","38.6667","-94.2167","260.6","EIGHT MILE, MO US","3",",6","2",",6","1",",6","","","0",",6","28",",6","0",",6","","","45.5",",,6,21,","27.8",",6,14,+","50.0",",,,6","","","23.53",",,,6"
"USC00232492","1894-09","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","13",",6","1",",6","","","","","32.2",",6,02,","","","","","19.24",",,,6"
"USC00232492","1894-10","38.6667","-94.2167","260.6","EIGHT MILE, MO US","7",",6","7",",6","0",",6","","","","","","","","","","","19.1",",,6,02,","","","51.3",",,,6","","","",""
"USC00232492","1894-11","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","0",",6","6","1,6","0","1,6","0","1,6","0",",T,6,16,","","","13.3","1,6,26,","","","0",",T,,6","5.17","1,,,6"
"USC00232492","1894-12","38.6667","-94.2167","260.6","EIGHT MILE, MO US","7","1,6","4","1,6","0","1,6","0",",6","9",",6","0",",6","0",",6","0",",T,6,26,+","15.2","1,,6,01,","13.3",",6,07,","39.7","1,,,6","0",",T,,6","2.65",",,,6"
"USC00232492","1895-01","38.6667","-94.2167","260.6","EIGHT MILE, MO US","4","3,6","2","3,6","1","3,6","","","","","","","","","","","25.4","3,,6,25,","","","29.9","3,,,6","","","",""
"USC00232492","1895-02","38.6667","-94.2167","260.6","EIGHT MILE, MO US","9","4,6","2","4,6","0","4,6","","","","","","","","","","","9.7","4,,6,26,","","","23.2","4,,,6","","","",""
"USC00232492","1895-03","38.6667","-94.2167","260.6","EIGHT MILE, MO US","9","3,6","4","3,6","0","3,6","","","","","","","","","","","19.1","3,,6,20,","","","36.2","3,,,6","","","",""
"USC00232492","1895-04","38.6667","-94.2167","260.6","EIGHT MILE, MO US","8",",6","6",",6","1",",6","","","0",",6","1",",6","0",",6","","","56.1",",,6,16,","21.7",",6,30,","91.9",",,,6","","","13.88",",,,6"
"USC00232492","1895-05","38.6667","-94.2167","260.6","EIGHT MILE, MO US","15",",6","11",",6","1",",6","","","0",",6","7",",6","0",",6","","","83.3",",,6,25,","24.4",",6,09,","163.7",",,,6","","","16.88",",,,6"
"USC00232492","1895-06","38.6667","-94.2167","260.6","EIGHT MILE, MO US","12",",6","10",",6","2",",6","","","0",",6","19",",6","0",",6","","","68.1",",,6,10,","23.9",",6,03,","168.0",",,,6","","","21.13",",,,6"
"USC00232492","1895-07","38.6667","-94.2167","260.6","EIGHT MILE, MO US","10",",6","6",",6","3",",6","","","","","","","","","","","57.2",",,6,28,","","","191.0",",,,6","","","",""
"USC00232492","1895-08","38.6667","-94.2167","260.6","EIGHT MILE, MO US","11",",6","9",",6","2",",6","","","0",",6","24",",6","0",",6","","","36.6",",,6,20,","29.4",",6,08,","143.5",",,,6","","","22.74",",,,6"
"USC00232492","1895-09","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","4",",6","1",",6","","","0",",6","19",",6","0",",6","","","25.7",",,6,07,","26.7",",6,12,","48.0",",,,6","","","20.82",",,,6"
"USC00232492","1895-10","38.6667","-94.2167","260.6","EIGHT MILE, MO US","3",",6","1",",6","0",",6","","","1",",6","0",",6","0",",6","","","2.5",",,6,03,","18.3",",6,06,","4.3",",,,6","","","10.49",",,,6"
"USC00232492","1895-11","38.6667","-94.2167","260.6","EIGHT MILE, MO US","7",",6","5",",6","1",",6","1",",6","7",",6","0",",6","0",",6","89",",,6,25,","51.8",",,6,06,","18.3",",6,04,","104.3",",,,6","89",",,,6","5.40",",,,6"
"USC00232492","1895-12","38.6667","-94.2167","260.6","EIGHT MILE, MO US","10","3,6","6","3,6","3","3,6","0",",6","12",",6","0",",6","0",",6","13",",,6,24,+","47.2","3,,6,17,","11.7",",6,16,","152.9","3,,,6","36",",,,6","0.74",",,,6"
"USC00232492","1896-01","38.6667","-94.2167","260.6","EIGHT MILE, MO US","2","1,6","2","1,6","0","1,6","1",",6","14",",6","0",",6","0",",6","76",",,6,23,","9.4","1,,6,22,","7.8",",6,31,+","17.0","1,,,6","76",",,,6","0.39",",,,6"
"USC00232492","1896-02","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","11",",6","0",",6","0",",6","","","","","12.2",",6,26,","","","","","1.85",",,,6"
"USC00232492","1896-03","38.6667","-94.2167","260.6","EIGHT MILE, MO US","8","4,6","3","4,6","0","4,6","1",",6","11",",6","0",",6","0",",6","51",",,6,14,","9.4","4,,6,22,","15.6",",6,27,","24.7","4,,,6","90",",,,6","3.66",",,,6"
"USC00232492","1896-04","38.6667","-94.2167","260.6","EIGHT MILE, MO US","11",",6","10",",6","2",",6","","","0",",6","4",",6","0",",6","","","54.9",",,6,07,","23.3",",6,27,","151.9",",,,6","","","15.44",",,,6"
"USC00232492","1896-05","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","0",",6","13",",6","0",",6","","","","","24.4",",6,24,","","","","","19.68",",,,6"
"USC00232492","1896-06","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","4",",6","0",",6","","","0",",6","18",",6","0",",6","","","25.1",",,6,01,","26.1",",6,24,","63.1",",,,6","","","21.06",",,,6"
"USC00232492","1896-07","38.6667","-94.2167","260.6","EIGHT MILE, MO US","11",",6","9",",6","1",",6","","","0",",6","24",",6","0",",6","","","30.2",",,6,17,","28.9",",6,30,","135.8",",,,6","","","23.89",",,,6"
"USC00232492","1896-08","38.6667","-94.2167","260.6","EIGHT MILE, MO US","9",",6","6",",6","1",",6","","","0",",6","20",",6","0",",6","","","63.2",",,6,18,","30.6",",6,21,","104.0",",,,6","","","23.50",",,,6"
"USC00232492","1896-09","38.6667","-94.2167","260.6","EIGHT MILE, MO US","8",",6","6",",6","0",",6","","","0",",6","7",",6","0",",6","","","22.9",",,6,26,","25.6",",6,16,","85.6",",,,6","","","17.15",",,,6"
"USC00232492","1896-10","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","4",",6","1",",6","","","0",",6","0",",6","0",",6","","","35.8",",,6,29,","19.4",",6,01,","53.9",",,,6","","","11.83",",,,6"
"USC00232492","1896-11","38.6667","-94.2167","260.6","EIGHT MILE, MO US","4","2,6","2","2,6","1","2,6","0",",6","11",",6","0",",6","0",",6","0",",T,6,28,+","36.6","2,,6,26,","18.3",",6,16,","43.8","2,,,6","0",",T,,6","4.86",",,,6"
"USC00232492","1896-12","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","3",",6","0",",6","0",",6","5",",6","0",",6","0",",6","8",",,6,19,","15.0",",,6,17,","17.2",",6,18,","29.7",",,,6","8",",,,6","4.45",",,,6"
"USC00232492","1897-01","38.6667","-94.2167","260.6","EIGHT MILE, MO US","9",",6","4",",6","1",",6","","","","","","","","","","","49.3",",,6,02,","","","91.9",",,,6","","","",""
"USC00232492","1897-02","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","5",",6","0",",6","4",",6","12",",6","0",",6","0",",6","140",",,6,04,","18.8",",,6,05,","10.6",",6,20,","65.1",",,,6","339",",,,6","0.97",",,,6"
"USC00232492","1897-03","38.6667","-94.2167","260.6","EIGHT MILE, MO US","9",",6","7",",6","1",",6","0",",6","5",",6","0",",6","0",",6","0",",T,6,23,+","35.3",",,6,04,","17.2",",6,30,","112.3",",,,6","0",",T,,6","6.13",",,,6"
"USC00232492","1897-04","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","5",",6","0",",6","0",",6","0",",6","1",",6","0",",6","0",",T,6,10,","16.5",",,6,07,","21.1",",6,23,","47.0",",,,6","0",",T,,6","11.62",",,,6"
"USC00232492","1897-05","38.6667","-94.2167","260.6","EIGHT MILE, MO US","8",",6","6",",6","0",",6","","","0",",6","3",",6","0",",6","","","24.9",",,6,09,","21.1",",6,22,+","63.4",",,,6","","","16.68",",,,6"
"USC00232492","1897-06","38.6667","-94.2167","260.6","EIGHT MILE, MO US","13",",6","11",",6","3",",6","","","0",",6","21",",6","0",",6","","","30.0",",,6,27,","28.3",",6,17,","134.2",",,,6","","","21.46",",,,6"
"USC00232492","1897-07","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","3",",6","1",",6","","","0",",6","28",",6","0",",6","","","51.6",",,6,04,","29.4",",6,31,+","70.2",",,,6","","","24.94",",,,6"
"USC00232492","1897-08","38.6667","-94.2167","260.6","EIGHT MILE, MO US","7",",6","4",",6","0",",6","","","0",",6","21",",6","0",",6","","","20.1",",,6,14,","29.4",",6,01,","36.3",",,,6","","","22.90",",,,6"
"USC00232492","1897-09","38.6667","-94.2167","260.6","EIGHT MILE, MO US","3",",6","3",",6","1",",6","","","0",",6","23",",6","0",",6","","","25.4",",,6,16,","30.0",",6,03,","36.8",",,,6","","","23.45",",,,6"
"USC00232492","1897-10","38.6667","-94.2167","260.6","EIGHT MILE, MO US","3",",6","2",",6","0",",6","","","0",",6","8",",6","0",",6","","","7.1",",,6,17,","23.9",",6,14,","14.0",",,,6","","","16.98",",,,6"
"USC00232492","1897-11","38.6667","-94.2167","260.6","EIGHT MILE, MO US","5",",6","4",",6","0",",6","","","7",",6","0",",6","0",",6","","","7.6",",,6,07,","17.8",",6,20,+","28.8",",,,6","","","5.95",",,,6"
"USC00232492","1897-12","38.6667","-94.2167","260.6","EIGHT MILE, MO US","6",",6","4",",6","0",",6","","","20",",6","0",",6","0",",6","","","24.1",",,6,13,","13.9",",6,09,","55.8",",,,6","","","-1.69",",,,6"
"USC00232492","1898-01","38.6667","-94.2167","260.6","EIGHT MILE, MO US","","","","","","","","","9",",6","0",",6","0",",6","","","","","10.6",",6,11,","","","","","1.42",",,,6"
"USC00232492","1898-02","38.6667","-94.2167","260.6","EIGHT MILE, MO US","4",",6","3",",6","1",",6","0",",6","8",",6","0",",6","0",",6","0",",T,6,20,+","35.8",",,6,09,","11.7",",6,09,","51.7",",,,6","0",",T,,6","2.65",",,,6"
"USC00232492","1898-03","38.6667","-94.2167","260.6","EIGHT MILE, MO US","7","1,6","6","1,6","0","1,6","0",",6","3",",6","0",",6","0",",6","0",",T,6,29,+","16.8","1,,6,26,","16.1",",6,26,+","51.9","1,,,6","0",",T,,6","6.65",",,,6"
"USC00232492","1898-04","38.6667","-94.2167","260.6","EIGHT MILE, MO US","8",",6","7",",6","0",",6","","","0",",6","0",",6","0",",6","","","18.0",",,6,12,","17.2",",6,30,","73.6",",,,6","","","11.11",",,,6"
"USC00232492","1898-05","38.6667","-94.2167","260.6","EIGHT MILE, MO US","16",",6","15",",6","3",",6","","","0",",6","6",",6","0",",6","","","38.9",",,6,28,","22.8",",6,25,+","188.9",",,,6","","","17.04",",,,6"
