"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023034","1907-08","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","345.8",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","","","16.1",",0,31,","","","","","","","39.4",",0,05,","","","","","0.0",",0","","","","","","","","","","","","","","","29.49",",0","37.78",",,,0","21.20",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-09","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","258.6",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","27",",0","","","","","","","14.4",",0,11,","","","","","","","39.4",",0,05,","","","","","0.0",",0","","","","","","","","","","","","","","","26.95",",0","35.69",",,,0","18.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-10","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","50.9",",0","","","","","","","","","","","0",",0","0",",0","0",",0","23",",0","3",",0","","","","","","","5.6",",0,09,+","","","","","","","35.6",",0,01,","","","","","32.9",",0","","","","","","","","","","","","","","","18.92",",0","24.54",",,,0","13.29",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-11","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","0.0","2,0","","","","","","","","","","","0",",0","7",",0","0","2,0","6","2,0","0","2,0","","","","","","","-3.9",",0,12,","","","","","","","25.6","2,0,07,","","","","","227.9","2,0","","","","","","","","","","","","","","","10.06","2,0","16.45","2,,,0","3.68",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1907-12","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","0.0",",0","","","","","","","","","","","0",",0","15",",0","0",",0","6",",0","0",",0","","","","","","","-3.3",",0,17,","","","","","","","26.1",",0,29,+","","","","","293.8",",0","","","","","","","","","","","","","","","8.86",",0","16.69",",,,0","1.02",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-01","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","0.0","0","0.0","1,0","","","","","","","","","","","0","1,0","12","1,0","0",",0","6",",0","0",",0","","","","","","","-8.9","1,0,16,","","","","","","","23.9",",0,27,+","","","","","267.6",",0","","","","","","","","","","","","","","","9.34","1,0","17.16",",,,0","1.52","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-02","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","0.6","0","0.6",",0","","","","","","","","","","","0",",0","7",",0","0",",0","8",",0","0",",0","","","","","","","-9.4",",0,02,","","","","","","","30.6",",0,29,","","","","","194.0",",0","","","","","","","","","","","","","","","11.66",",0","19.67",",,,0","3.66",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-03","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","54.3","0","53.7","1,0","","","","","","","","","0",",0","0","1,0","1","1,0","0",",0","26",",0","9",",0","","","","","","","-1.1","1,0,11,","","","0",",,0,31,+","","","36.7",",0,17,","","","","","59.0",",0","","","","","","","","","","","","","0",",,,0","18.27","1,0","27.73",",,,0","8.81","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-04","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","110.6","0","56.3","1,0","","","","","","","","","","","0","1,0","1","1,0","0",",0","29",",0","1",",0","","","","","","","0.0","1,0,30,","","","","","","","32.2",",0,06,","","","","","26.5",",0","","","","","","","","","","","","","","","19.41","1,0","27.44",",,,0","11.39","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-05","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","270.8","0","160.2","2,0","","","","","","","","","","","0","2,0","0","2,0","0","2,0","29","2,0","16","2,0","","","","","","","3.9","2,0,07,","","","","","","","38.9","2,0,21,+","","","","","9.1","2,0","","","","","","","","","","","","","","","23.54","2,0","32.29","2,,,0","14.79","2,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-06","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","598.8","0","328.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","28",",0","","","","","","","17.2",",0,02,","","","","","","","42.8",",0,19,","","","","","0.0",",0","","","","","","","","","","","","","","","29.27",",0","36.97",",,,0","21.56",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-07","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","859.0","0","260.2",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","","","17.2",",0,03,+","","","","","","","38.9",",0,18,","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","26.73",",0","33.53",",,,0","19.93",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-08","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1130.9","0","271.9",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","","","16.1",",0,22,+","","","","","","","37.8",",0,02,","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","27.10",",0","34.59",",,,0","19.62",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-09","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1310.0","0","179.1",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","15",",0","","","","","","","2.8",",0,28,","","","","","","","39.4",",0,06,","6.3","0","","","6.3",",0","","","","","","","","","","","","","","","24.09",",0","32.68",",,,0","15.50",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-10","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1369.6","0","59.6",",0","","","","","","","","","","","0",",0","3",",0","0",",0","29",",0","3",",0","","","","","","","-0.6",",0,29,+","","","","","","","33.3",",0,06,+","60.8","0","","","54.5",",0","","","","","","","","","","","","","","","18.50",",0","27.31",",,,0","9.69",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-11","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1372.4","0","2.8","1,0","","","","","","","","","","","0","1,0","5","1,0","0",",0","19",",0","0",",0","","","","","","","-5.0","1,0,14,","","","","","","","28.9",",0,08,+","210.6","0","","","149.8",",0","","","","","","","","","","","","","","","13.14","1,0","22.15",",,,0","4.13","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-12","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1374.9","0","2.5",",0","","","","","","","","","","","0",",0","9",",0","0",",0","13",",0","0",",0","","","","","","","-5.6",",0,22,","","","","","","","28.9",",0,16,","451.3","0","","","240.7",",0","","","","","","","","","","","","","","","10.65",",0","18.35",",,,0","2.95",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-01","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","3.9","0","3.9",",0","","","","","","","","","","","0",",0","8",",0","1",",0","16",",0","0",",0","","","","","","","-11.1",",0,12,","","","","","","","29.4",",0,23,","655.6","0","","","204.3",",0","","","","","","","","","","","","","","","11.87",",0","19.83",",,,0","3.91",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-02","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","6.1","0","2.2",",0","","","","","","","","","","","0",",0","8",",0","0",",0","14",",0","0",",0","","","","","","","-8.9",",0,16,+","","","","","","","28.3",",0,21,","827.4","0","","","171.8",",0","","","","","","","","","","","","","","","12.28",",0","21.11",",,,0","3.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-03","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","26.0","0","19.9",",0","","","","","","","","","","","0",",0","2",",0","0",",0","24",",0","1",",0","","","","","","","-3.9",",0,15,","","","","","","","32.2",",0,05,","927.9","0","","","100.5",",0","","","","","","","","","","","","","","","15.73",",0","25.05",",,,0","6.41",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-04","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","97.1","0","71.1",",0","","","","","","","","","","","0",",0","2",",0","0",",0","29",",0","6",",0","","","","","","","-1.1",",0,09,","","","","","","","35.6",",0,29,","970.6","0","","","42.7",",0","","","","","","","","","","","","","","","19.28",",0","28.11",",,,0","10.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-05","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","266.3","0","169.2",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","","","4.4",",0,01,","","","","","","","38.3",",0,29,","982.5","0","","","11.9",",0","","","","","","","","","","","","","","","23.40",",0","32.07",",,,0","14.74",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-06","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","482.3","0","216.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","23",",0","","","","","","","11.7",",0,13,","","","","","","","38.3",",0,06,","982.5","0","","","0.0",",0","","","","","","","","","","","","","","","25.53",",0","34.15",",,,0","16.92",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-10","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","15.3","1,0","","","","","","","","","","","0","1,0","0","1,0","0","1,0","25","1,0","0","1,0","","","","","","","4.4","1,0,24,+","","","","","","","30.6","1,0,03,","","","","","57.5","1,0","","","","","","","","","","","","","","","16.93","1,0","24.15","1,,,0","9.70","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-12","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","0.0",",0","","","","","","","","","","","0",",0","22",",0","3",",0","2",",0","0",",0","","","","","","","-14.4",",0,20,","","","","","","","26.1",",0,03,","","","","","418.8",",0","","","","","","","","","","","","","","","4.82",",0","11.50",",,,0","-1.86",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-01","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1.1","0","1.1",",0","","","","","","","","","","","0",",0","17",",0","0",",0","8",",0","0",",0","","","","","","","-10.6",",0,06,","","","","","","","28.3",",0,01,","","","","","291.1",",0","","","","","","","","","","","","","","","8.98",",0","16.65",",,,0","1.31",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-02","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","1.7","0","0.6",",0","","","","","","","","","0",",0","0",",0","16",",0","0",",0","9",",0","0",",0","","","","","","","-10.6",",0,17,","","","0",",,0,28,+","","","27.2",",0,15,","","","","","264.8",",0","","","","","","","","","","","","","0",",,,0","8.89",",0","17.40",",,,0","0.39",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-03","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","28.4","0","26.7",",0","","","","","","","","","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","","","","","","","2.2",",0,11,","","","0",",,0,31,+","","","32.8",",0,08,","","","","","55.2",",0","","","","","","","","","","","","","0",",,,0","17.41",",0","26.10",",,,0","8.73",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-04","31.3516","-100.495","584.0","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","76.4","0","48.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","27",",0","5",",0","","","","","","","2.8",",0,05,","","","","","","","36.7",",0,30,","","","","","42.7",",0","","","","","","","","","","","","","","","18.51",",0","26.59",",,,0","10.43",",,,0","","","","","","","","","","","","","","","","","",""
