"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00074401","1910-01","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","0.0","X","0.0",",X","6",",X","3",",X","0",",X","16","1,X","2",",X","2",",X","27",",X","12",",X","0",",X","0",",X","5","","","","-25.0",",X,06,","152","1,,X,04,","130",",,X,04,","19.8",",,X,04,","13.3",",X,25,","","","660.3",",X","42.5",",,,X","158",",,,X","-2.97",",X","1.10",",,,X","-7.04",",,,X","",""
"USW00074401","1910-02","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","0.0","X","0.0",",X","4",",X","2",",X","0",",X","0",",X","0",",X","2",",X","27",",X","6",",X","0",",X","0",",X","2","","","","-20.6",",X,23,","0",",T,X,24,+","8",",,X,07,","8.6",",,X,26,","15.6",",X,01,","","","600.8",",X","12.8",",,,X","11",",,,X","-3.12",",X","2.62",",,,X","-8.87",",,,X","",""
"USW00074401","1910-03","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","28.4","X","28.4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","18",",X","0",",X","","","","","-3.3",",X,10,","0",",,X,31,+","0",",T,X,09,","0.0",",T,X,29,+","31.7",",X,22,","","","176.9",",X","0.0",",T,,X","0",",T,,X","13.54",",X","20.58",",,,X","6.50",",,,X","",""
"USW00074401","1910-04","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","46.3","X","17.9",",X","12",",X","4",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","17",",X","2",",X","1","","6","","-1.1",",X,17,","0",",T,X,17,","0",",T,X,25,+","14.0",",,X,14,","33.9",",X,29,","","","173.3",",X","46.3",",,,X","0",",T,,X","13.15",",X","19.63",",,,X","6.67",",,,X","",""
"USW00074401","1910-05","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","57.7","X","11.4",",X","16",",X","14",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","12",",X","0",",X","1","","6","","4.4",",X,13,+","0",",,X,31,+","0",",,X,31,+","41.1",",,X,06,","28.3",",X,10,","","","120.6",",X","167.9",",,,X","0",",,,X","14.81",",X","19.69",",,,X","9.93",",,,X","",""
"USW00074401","1910-06","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","196.5","X","138.8",",X","8",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","12",",X","","","7","","9.4",",X,05,","0",",,X,30,+","0",",,X,30,+","28.2",",,X,08,","35.0",",X,20,+","","","21.1",",X","63.1",",,,X","0",",,,X","22.26",",X","28.08",",,,X","16.43",",,,X","",""
"USW00074401","1910-07","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","439.4","X","242.9",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","17",",X","1","","7","","13.9",",X,19,","0",",,X,31,+","0",",,X,31,+","2.8",",,X,14,","39.4",",X,28,+","0.0","X","0.0",",X","8.4",",,,X","0",",,,X","26.17",",X","32.63",",,,X","19.71",",,,X","",""
"USW00074401","1910-08","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","616.5","X","177.1",",X","9",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","10",",X","2","","6","","7.8",",X,26,","0",",,X,31,+","0",",,X,31,+","14.5",",,X,02,","36.7",",X,22,","3.6","X","3.6",",X","50.7",",,,X","0",",,,X","23.93",",X","29.68",",,,X","18.18",",,,X","",""
"USW00074401","1910-09","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","699.5","X","83.0",",X","11",",X","10",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","2",",X","5","","8","","5.0",",X,27,","0",",,X,30,+","0",",,X,30,+","28.2",",,X,26,","33.9",",X,18,","33.3","X","29.7",",X","154.7",",,,X","0",",,,X","20.11",",X","25.79",",,,X","14.43",",,,X","",""
"USW00074401","1910-10","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","732.3","X","32.8",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","21",",X","0",",X","5","","","","-2.2",",X,29,+","0",",,X,31,+","0",",T,X,27,","6.6",",,X,03,","30.6",",X,02,","154.0","X","120.7",",X","10.7",",,,X","0",",T,,X","15.50",",X","22.12",",,,X","8.87",",,,X","",""
