"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00406435","1975-11","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","","","1.1",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","10",",0","0",",0","-5.6",",0,28,+","0",",,0,30,+","0",",,0,30,+","23.1",",,0,07,","27.2",",0,06,","","","","","","","262.5",",0","","","","","","","","","","","","","","","75.9",",,,0","0",",,,0","9.62",",0","16.17",",,,0","3.07",",,,0","",""
"USC00406435","1975-12","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","","","0.3",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","18",",0","1",",0","1",",0","0",",0","-13.3",",0,19,","0",",,0,31,+","0",",,0,31,+","41.1",",,0,26,","21.1",",0,15,","","","","","","","438.7",",0","","","","","","","","","","","","","","","108.9",",,,0","0",",,,0","4.19",",0","9.83",",,,0","-1.45",",,,0","",""
"USC00406435","1976-01","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","0.0","0","0.0",",0","11",",0","10",",0","1",",0","1",",0","1",",0","0",",0","26",",0","5",",0","0",",0","0",",0","-16.7",",0,09,","25",",,0,20,","25",",,0,20,","25.4",",,0,03,","17.8",",0,25,+","","","","","","","559.6",",0","","","","","","","","","","","","","","","124.3",",,,0","25",",,,0","0.28",",0","6.71",",,,0","-6.15",",,,0","",""
"USC00406435","1976-02","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","0.0","0","0.0",",0","6",",0","5",",0","1",",0","1",",0","1",",0","0",",0","16",",0","2",",0","5",",0","0",",0","-10.6",",0,02,","51",",,0,03,","51",",,0,03,","33.0",",,0,18,","23.3",",0,29,","","","","","","","304.8",",0","","","","","","","","","","","","","","","79.7",",,,0","51",",,,0","7.82",",0","15.30",",,,0","0.35",",,,0","",""
"USC00406435","1976-03","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","5.3","0","5.3",",0","13",",0","9",",0","3",",0","0",",0","0",",0","0",",0","7",",0","0",",0","9",",0","0",",0","-4.4",",0,17,","0",",,0,31,+","0",",,0,31,+","38.4",",,0,30,","26.7",",0,05,","","","","","","","218.6",",0","","","","","","","","","","","","","","","165.6",",,,0","0",",,,0","11.45",",0","17.90",",,,0","5.00",",,,0","",""
"USC00406435","1976-04","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","11.6","0","6.3",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","18",",0","0",",0","-1.7",",0,10,","0",",,0,30,+","0",",,0,30,+","24.9",",,0,25,","28.9",",0,24,+","","","","","","","141.9",",0","","","","","","","","","","","","","","","40.7",",,,0","0",",,,0","13.81",",0","21.89",",,,0","5.74",",,,0","",""
"USC00406435","1976-05","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","20.6","0","9.0",",0","11",",0","10",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","-1.1",",0,04,","0",",,0,31,+","0",",,0,31,+","49.8",",,0,15,","27.8",",0,23,","","","","","","","93.1",",0","","","","","","","","","","","","","","","161.5",",,,0","0",",,,0","15.62",",0","22.40",",,,0","8.84",",,,0","",""
"USC00406435","1976-06","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","131.5","0","110.9",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","1",",0","10.6",",0,07,+","0",",,0,30,+","0",",,0,30,+","27.9",",,0,02,","32.8",",0,30,","","","","","","","3.5",",0","","","","","","","","","","","","","","","100.4",",,,0","0",",,,0","21.91",",0","27.87",",,,0","15.95",",,,0","",""
"USC00406435","1976-07","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","303.4","0","171.9",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","12.2",",0,19,+","0",",,0,31,+","0",",,0,31,+","64.8",",,0,04,","35.0",",0,25,+","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","131.1",",,,0","0",",,,0","23.88",",0","30.50",",,,0","17.25",",,,0","",""
"USC00406435","1976-08","35.7197","-86.9654","213.4","NEAPOLIS EXPERIMENTAL STATION, TN US","432.4","0","129.0",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","10.6",",0,31,","0",",,0,31,+","0",",,0,31,+","34.3",",,0,16,","33.9",",0,15,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","109.4",",,,0","0",",,,0","22.50",",0","29.51",",,,0","15.48",",,,0","",""
