"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00273280","1941-04","43.45","-72.05","413.0","GEORGES MILLS, NH US","8",",6","3",",6","0",",6","","","","","","","","","4.3",",,6,17,","13.3",",,,6"
"USC00273280","1941-05","43.45","-72.05","413.0","GEORGES MILLS, NH US","12",",6","7",",6","1",",6","","","","","","","","","32.0",",,6,10,","78.0",",,,6"
"USC00273280","1941-06","43.45","-72.05","413.0","GEORGES MILLS, NH US","11",",6","7",",6","0",",6","","","","","","","","","23.1",",,6,14,","88.8",",,,6"
"USC00273280","1941-07","43.45","-72.05","413.0","GEORGES MILLS, NH US","9",",6","8",",6","2",",6","","","","","2","","","","40.4",",,6,12,","128.3",",,,6"
"USC00273280","1941-08","43.45","-72.05","413.0","GEORGES MILLS, NH US","8",",6","5",",6","1",",6","","","","","","","","","33.0",",,6,31,","64.1",",,,6"
"USC00273280","1941-09","43.45","-72.05","413.0","GEORGES MILLS, NH US","4",",6","3",",6","1",",6","","","","","","","","","30.0",",,6,10,","48.0",",,,6"
"USC00273280","1941-10","43.45","-72.05","413.0","GEORGES MILLS, NH US","15","2,6","11","2,6","0","2,6","","","","","","","","","16.3","2,,6,03,","74.6","2,,,6"
"USC00273280","1941-11","43.45","-72.05","413.0","GEORGES MILLS, NH US","8",",6","3",",6","0",",6","","","","","","","","","18.5",",,6,01,","39.9",",,,6"
"USC00273280","1941-12","43.45","-72.05","413.0","GEORGES MILLS, NH US","6",",6","3",",6","1",",6","","","","","","","","","26.2",",,6,13,","63.7",",,,6"
"USC00273280","1942-01","43.45","-72.05","413.0","GEORGES MILLS, NH US","7",",6","6",",6","1",",6","","","","","","","","","40.6",",,6,02,","88.4",",,,6"
"USC00273280","1942-02","43.45","-72.05","413.0","GEORGES MILLS, NH US","8",",6","4",",6","0",",6","","","","","","","","","11.2",",,6,17,","31.1",",,,6"
"USC00273280","1942-03","43.45","-72.05","413.0","GEORGES MILLS, NH US","14",",6","10",",6","0",",6","","","","","","","","","23.4",",,6,08,","106.5",",,,6"
"USC00273280","1942-04","43.45","-72.05","413.0","GEORGES MILLS, NH US","10",",6","5",",6","0",",6","","","","","","","","","21.3",",,6,08,","48.6",",,,6"
"USC00273280","1942-05","43.45","-72.05","413.0","GEORGES MILLS, NH US","12",",6","7",",6","0",",6","","","","","","","","","19.8",",,6,16,","72.7",",,,6"
"USC00273280","1942-06","43.45","-72.05","413.0","GEORGES MILLS, NH US","14",",6","7",",6","1",",6","","","1","","","","","","119.4",",,6,15,","180.8",",,,6"
"USC00273280","1942-07","43.45","-72.05","413.0","GEORGES MILLS, NH US","14",",6","9",",6","1",",6","","","1","","","","","","27.7",",,6,30,","103.4",",,,6"
"USC00273280","1942-08","43.45","-72.05","413.0","GEORGES MILLS, NH US","6",",6","2",",6","0",",6","","","","","","","","","23.4",",,6,16,","40.5",",,,6"
"USC00273280","1942-09","43.45","-72.05","413.0","GEORGES MILLS, NH US","12",",6","8",",6","0",",6","","","","","","","","","20.6",",,6,28,","74.5",",,,6"
"USC00273280","1942-10","43.45","-72.05","413.0","GEORGES MILLS, NH US","10",",6","6",",6","1",",6","","","","","1","","","","25.9",",,6,31,","83.6",",,,6"
"USC00273280","1942-11","43.45","-72.05","413.0","GEORGES MILLS, NH US","19","1,6","12","1,6","0","1,6","","","","","","","","","13.0","1,,6,25,","85.7","1,,,6"
"USC00273280","1942-12","43.45","-72.05","413.0","GEORGES MILLS, NH US","9","1,6","6","1,6","1","1,6","27","3,6","","","","","203","3,,6,31,+","29.2","1,,6,01,","91.0","1,,,6"
"USC00273280","1943-01","43.45","-72.05","413.0","GEORGES MILLS, NH US","11",",6","6",",6","0",",6","","","1","","","","","","11.2",",,6,03,","54.7",",,,6"
"USC00273280","1943-02","43.45","-72.05","413.0","GEORGES MILLS, NH US","11",",6","6",",6","0",",6","25","3,6","","","","","813","3,,6,15,+","12.7",",,6,11,","49.2",",,,6"
"USC00273280","1943-03","43.45","-72.05","413.0","GEORGES MILLS, NH US","8","1,6","4","1,6","0","1,6","27","4,6","","","","","813","4,,6,09,+","14.2","1,,6,11,","44.0","1,,,6"
"USC00273280","1943-05","43.45","-72.05","413.0","GEORGES MILLS, NH US","13",",6","10",",6","0",",6","","","","","","","","","21.8",",,6,13,","122.6",",,,6"
"USC00273280","1943-07","43.45","-72.05","413.0","GEORGES MILLS, NH US","9",",6","7",",6","1",",6","","","","","","","","","26.4",",,6,30,","75.0",",,,6"
"USC00273280","1943-08","43.45","-72.05","413.0","GEORGES MILLS, NH US","12",",6","9",",6","1",",6","","","","","","","","","58.4",",,6,05,","163.8",",,,6"
"USC00273280","1943-09","43.45","-72.05","413.0","GEORGES MILLS, NH US","6",",6","3",",6","0",",6","","","","","","","","","16.3",",,6,02,","27.0",",,,6"
"USC00273280","1943-10","43.45","-72.05","413.0","GEORGES MILLS, NH US","16",",6","5",",6","2",",6","","","","","","","","","34.0",",,6,16,","117.5",",,,6"
"USC00273280","1943-11","43.45","-72.05","413.0","GEORGES MILLS, NH US","9",",6","7",",6","1",",6","","","","","","","","","56.9",",,6,08,","110.8",",,,6"
"USC00273280","1943-12","43.45","-72.05","413.0","GEORGES MILLS, NH US","3","1,6","2","1,6","0","1,6","","","","","","","","","13.0","1,,6,26,","18.4","1,,,6"
"USC00273280","1944-01","43.45","-72.05","413.0","GEORGES MILLS, NH US","8","3,6","4","3,6","1","3,6","","","","","","","","","45.7","3,,6,06,","64.0","3,,,6"
"USC00273280","1944-03","43.45","-72.05","413.0","GEORGES MILLS, NH US","14",",6","9",",6","0",",6","27","4,6","","","1","","940","4,,6,23,+","15.5",",,6,22,","79.9",",,,6"
"USC00273280","1944-04","43.45","-72.05","413.0","GEORGES MILLS, NH US","13",",6","9",",6","0",",6","","","","","","","","","15.5",",,6,15,","77.8",",,,6"
"USC00273280","1944-05","43.45","-72.05","413.0","GEORGES MILLS, NH US","10",",6","6",",6","0",",6","","","","","","","","","17.0",",,6,22,","58.0",",,,6"
"USC00273280","1944-06","43.45","-72.05","413.0","GEORGES MILLS, NH US","12","3,6","10","3,6","2","3,6","","","","","","","","","90.9","3,,6,25,","194.5","3,,,6"
"USC00273280","1944-07","43.45","-72.05","413.0","GEORGES MILLS, NH US","14",",6","11",",6","0",",6","","","","","","","","","19.1",",,6,27,","90.4",",,,6"
"USC00273280","1944-08","43.45","-72.05","413.0","GEORGES MILLS, NH US","7",",6","4",",6","1",",6","","","","","","","","","25.9",",,6,03,","68.9",",,,6"
"USC00273280","1944-09","43.45","-72.05","413.0","GEORGES MILLS, NH US","10","1,6","7","1,6","2","1,6","","","","","","","","","44.5","1,,6,15,","119.4","1,,,6"
"USC00273280","1944-10","43.45","-72.05","413.0","GEORGES MILLS, NH US","9",",6","6",",6","1",",6","","","","","","","","","30.0",",,6,08,","101.6",",,,6"
"USC00273280","1944-11","43.45","-72.05","413.0","GEORGES MILLS, NH US","15","5,6","7","5,6","0","5,6","","","2","","","","","","16.5","5,,6,29,","65.4","5,,,6"
"USC00273280","1944-12","43.45","-72.05","413.0","GEORGES MILLS, NH US","11","5,6","5","5,6","0","5,6","25","3,6","","","","","330","3,,6,31,","15.5","5,,6,08,","54.8","5,,,6"
"USC00273280","1945-07","43.45","-72.05","413.0","GEORGES MILLS, NH US","16",",6","10",",6","2",",6","","","","","","","","","35.6",",,6,15,","136.5",",,,6"
