"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00235418","1893-01","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00235418","1893-02","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","","","","","","","2",",6","","","","","","","","","","","","","","","","","76",",,6,17,","","","","","","","","","140",",,,6","","","","","",""
"USC00235418","1893-03","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","35.8",",,6,08,","","","","","88.9",",,,6","","","","","","","",""
"USC00235418","1893-05","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","27.6",",6","14",",6","9",",6","0",",6","","","0",",6","1",",6","0",",6","17",",6","1",",6","","","","","0.0",",6,03,","","","23.4",",,6,26,","32.2",",6,20,","94.2",",6","102.8",",,,6","","","16.18",",6","22.40",",,,6","9.96",",,,6"
"USC00235418","1893-06","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","11",",6","11",",6","0",",6","","","","","","","","","","","","","","","","","","","","","24.9",",,6,21,","","","","","109.4",",,,6","","","","","","","",""
"USC00235418","1893-07","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","7",",6","6",",6","1",",6","","","","","","","","","","","","","1","","","","","","","","44.5",",,6,26,","","","","","87.2",",,,6","","","","","","","",""
"USC00235418","1893-08","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","9.7",",,6,10,","","","","","17.7",",,,6","","","","","","","",""
"USC00235418","1893-09","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","8",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","16.8",",,6,29,","","","","","53.6",",,,6","","","","","","","",""
"USC00235418","1893-10","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.1",",,6,05,","","","","","9.6",",,,6","","","","","","","",""
"USC00235418","1893-11","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","5",",6","3",",6","0",",6","1",",6","","","","","","","","","","","4","","","","","","25",",,6,29,","16.0",",,6,26,","","","","","27.4",",,,6","25",",,,6","","","","","",""
"USC00235418","1893-12","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","5",",6","1",",6","0",",6","1",",6","","","","","","","","","","","","","","","","","76",",,6,02,","4.6",",,6,15,","","","","","8.4",",,,6","76",",,,6","","","","","",""
"USC00235418","1894-01","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","6",",6","3",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","102",",,6,23,","25.9",",,6,20,","","","","","57.1",",,,6","102",",,,6","","","","","",""
"USC00235418","1894-02","39.405601","-91.245979","167.6","MCCUNE STATION, MO US","","","","","","","","","2",",6","","","","","","","","","","","1","","","","","","305",",,6,12,","","","","","","","","","330",",,,6","","","","","",""
