"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003929","1954-03","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003929","1954-04","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","20.9",",X","6",",X","4",",X","1",",X","0",",X","0",",X","0",",X","2",",X","0",",X","16",",X","0",",X","8","","6","","-3.9",",X,03,","0",",,X,30,+","0",",T,X,26,","30.0",",,X,30,","30.0",",X,06,","","","114.4",",X","62.6",",,,X","0",",T,,X","15.22",",X","21.40",",,,X","9.03",",,,X","","","","","","","","","","","",""
"USW00003929","1954-05","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","18.6",",X","10",",X","9",",X","1",",X","0",",X","0",",X","0",",X","1",",X","0",",X","15",",X","0",",X","7","","5","","-1.1",",X,04,","0",",,X,31,+","0",",,X,31,+","45.5",",,X,01,","28.9",",X,22,","","","110.9",",X","127.6",",,,X","0",",,,X","15.35",",X","20.73",",,,X","9.98",",,,X","","","","","","","","","","","",""
"USW00003929","1954-06","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","207.2",",X","6",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","16",",X","2","","7","","8.9",",X,04,","0",",,X,30,+","0",",,X,30,+","52.8",",,X,02,","37.8",",X,29,+","","","9.1",",X","79.8",",,,X","0",",,,X","24.93",",X","30.59",",,,X","19.27",",,,X","","","","","","","","","","","",""
"USW00003929","1954-07","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","354.6",",X","5",",X","3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","26",",X","6","","6","","18.3",",X,27,+","0",",,X,31,+","0",",,X,31,+","25.9",",,X,24,","43.9",",X,13,","0.0","X","0.0",",X","44.5",",,,X","0",",,,X","29.77",",X","36.40",",,,X","23.15",",,,X","","","","","","","","","","","",""
"USW00003929","1954-08","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","253.5",",X","10",",X","9",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","16",",X","6","","12","","16.1",",X,31,","0",",,X,31,+","0",",,X,31,+","87.9",",,X,01,","41.1",",X,15,","0.0","X","0.0",",X","197.1",",,,X","0",",,,X","26.51",",X","32.31",",,,X","20.71",",,,X","","","","","","","","","","","",""
"USW00003929","1954-09","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","155.7",",X","5",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","10",",X","3","","5","","7.8",",X,22,","0",",,X,30,+","0",",,X,30,+","23.6",",,X,28,","38.9",",X,03,","7.8","X","7.8",",X","41.4",",,,X","0",",,,X","23.27",",X","30.41",",,,X","16.12",",,,X","","","","","","","","","","","",""
"USW00003929","1954-10","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","36.4",",X","10",",X","7",",X","3",",X","0",",X","0",",X","0",",X","2",",X","0",",X","11",",X","1",",X","7","","9","","-2.2",",X,31,","0",",,X,31,+","0",",T,X,30,+","97.5",",,X,20,","32.2",",X,03,","163.8","X","156.0",",X","234.7",",,,X","0",",T,,X","14.47",",X","18.98",",,,X","9.97",",,,X","","","","","","","","","","","",""
"USW00003929","1954-11","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","0.0",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","7",",X","0",",X","1","","","","-6.1",",X,02,","0",",,X,30,+","0",",T,X,01,","1.3",",,X,30,","23.3",",X,08,","469.1","X","305.3",",X","1.9",",,,X","0",",T,,X","8.16",",X","13.79",",,,X","2.52",",,,X","","","","","","","","","","","",""
"USW00003929","1954-12","38.84389","-94.56028","321.9","KANSAS CITY RICHARDS GEBAUR AIRPORT, MO US","","","","","0.0",",X","5",",X","4",",X","0",",X","3",",X","1",",X","0",",X","27",",X","4",",X","0",",X","0",",X","8","","1","","-11.1",",X,30,","178",",,X,30,","183",",,X,29,","18.0",",,X,29,","17.2",",X,26,","985.7","X","516.6",",X","33.0",",,,X","183",",,,X","1.67",",X","6.51",",,,X","-3.17",",,,X","","","","","","","","","","","",""
