"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00271020","1892-05","42.733333","-71.683333","91.4","BROOKLINE, NH US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","42.7",",,6,21,","120.5",",,,6","","","",""
"USC00271020","1892-06","42.733333","-71.683333","91.4","BROOKLINE, NH US","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
"USC00271020","1892-07","42.733333","-71.683333","91.4","BROOKLINE, NH US","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","",""
"USC00271020","1892-08","42.733333","-71.683333","91.4","BROOKLINE, NH US","10",",6","8",",6","3",",6","","","","","","","","","2","","","","","","","","81.3",",,6,12,","208.6",",,,6","","","",""
"USC00271020","1892-09","42.733333","-71.683333","91.4","BROOKLINE, NH US","4",",6","3",",6","1",",6","","","","","","","","","2","","","","","","","","33.3",",,6,14,","39.9",",,,6","","","",""
"USC00271020","1892-10","42.733333","-71.683333","91.4","BROOKLINE, NH US","4","1,6","4","1,6","0","1,6","","","","","","","","","","","","","","","","","6.4","1,,6,26,","19.6","1,,,6","","","",""
"USC00271020","1893-01","42.733333","-71.683333","91.4","BROOKLINE, NH US","6","3,6","5","3,6","1","3,6","","","","","","","","","","","","","","","","","36.8","3,,6,01,","69.1","3,,,6","","","",""
"USC00271020","1893-02","42.733333","-71.683333","91.4","BROOKLINE, NH US","","","","","","","","","9",",6","","","","","","","","","","","305",",,6,22,+","","","","","1092",",,,6","",""
"USC00271020","1893-03","42.733333","-71.683333","91.4","BROOKLINE, NH US","4","2,6","3","2,6","1","2,6","","","0",",6","","","","","","","","","","","5",",,6,23,","33.0","2,,6,15,","72.8","2,,,6","5",",,,6","",""
"USC00271020","1893-04","42.733333","-71.683333","91.4","BROOKLINE, NH US","8","2,6","5","2,6","0","2,6","","","2",",6","","","","","","","","","","","102",",,6,07,","22.4","2,,6,21,","75.8","2,,,6","153",",,,6","",""
"USC00271020","1893-05","42.733333","-71.683333","91.4","BROOKLINE, NH US","8",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","82.8",",,6,04,","177.4",",,,6","","","",""
"USC00271020","1893-06","42.733333","-71.683333","91.4","BROOKLINE, NH US","6",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","25.4",",,6,23,","69.1",",,,6","","","",""
"USC00271020","1893-07","42.733333","-71.683333","91.4","BROOKLINE, NH US","7",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","15.0",",,6,26,","45.4",",,,6","","","",""
"USC00271020","1893-08","42.733333","-71.683333","91.4","BROOKLINE, NH US","10",",6","10",",6","3",",6","","","","","","","","","","","","","","","","","42.2",",,6,07,","205.6",",,,6","","","",""
"USC00271020","1893-09","42.733333","-71.683333","91.4","BROOKLINE, NH US","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","19.1",",,6,07,","58.8",",,,6","","","",""
"USC00271020","1893-10","42.733333","-71.683333","91.4","BROOKLINE, NH US","5",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","62.2",",,6,24,","119.3",",,,6","","","",""
"USC00271020","1893-11","42.733333","-71.683333","91.4","BROOKLINE, NH US","4","3,6","4","3,6","1","3,6","","","0",",6","","","","","","","","","","","0",",T,6,21,+","26.2","3,,6,22,","61.3","3,,,6","0",",T,,6","",""
"USC00271020","1893-12","42.733333","-71.683333","91.4","BROOKLINE, NH US","","","","","","","","","5",",6","","","","","","","","","","","152",",,6,03,","","","","","373",",,,6","",""
"USC00271020","1894-01","42.733333","-71.683333","91.4","BROOKLINE, NH US","8","1,6","6","1,6","1","1,6","","","5",",6","","","","","","","","","","","229",",,6,30,","25.4","1,,6,30,","70.2","1,,,6","609",",,,6","",""
"USC00271020","1894-02","42.733333","-71.683333","91.4","BROOKLINE, NH US","5","2,6","5","2,6","2","2,6","","","4",",6","","","","","","","","","","","305",",,6,13,","30.5","2,,6,13,","88.6","2,,,6","762",",,,6","",""
"USC00271020","1894-03","42.733333","-71.683333","91.4","BROOKLINE, NH US","7","4,6","3","4,6","0","4,6","","","0",",6","","","","","","","","","","","13",",,6,22,+","17.8","4,,6,23,","31.0","4,,,6","26",",,,6","",""
"USC00271020","1894-04","42.733333","-71.683333","91.4","BROOKLINE, NH US","6","1,6","6","1,6","0","1,6","","","2",",6","","","","","","","","","","","178",",,6,08,","16.3","1,,6,22,","69.7","1,,,6","305",",,,6","",""
