"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMM00010648","1987-11","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","11.2","5,S,01,","","","","","","","5.94","5,,,S","",""
"GMM00010648","1988-04","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","3,S","8","3,S","","","","","","","-3.5","3,S,10,","","","","","","","","","","","","","2.87","3,,,S"
"GMM00010648","1988-05","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","3,S","0","3,S","","","","","","","2.4","3,S,22,","","","","","","","","","","","","","8.85","3,,,S"
"GMM00010648","1988-06","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","1.9","4,S","","","","","","","0","4,S","0","4,S","0",",S","11",",S","0",",S","7.3","4,S,24,+","","","25.5",",S,30,","93.7",",S","","","14.74","4,S","19.14",",,,S","10.34","4,,,S"
"GMM00010648","1989-04","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","4,","3","4,S","","","","","","","-0.4","4,S,28,","","","","","","","","","","","","","3.47","4,,,S"
"GMM00010648","1989-05","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","2,S","0","2,S","","","","","","","0.5","2,S,07,","","","","","","","","","","","","","7.84","2,,,S"
"GMM00010648","1989-06","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","5,S","0","5,S","","","","","","","1.6","5,S,06,","","","","","","","","","","","","","9.41","5,,,S"
"GMM00010648","1989-07","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","4,S","0","4,S","","","","","","","6.7","4,S,19,","","","","","","","","","","","","","12.66","4,,,S"
"GMM00010648","1989-09","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","3.1","5,S","","","","","","","0","4,S","0","4,S","0","2,S","8","2,S","0","2,S","4.7","4,S,28,","","","26.3","2,S,18,","93.0","2,S","","","14.48","5,S","19.14","2,,,S","9.82","4,,,S"
"GMM00010648","1989-10","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","","","","","0","2,S","2","2,S","0","2,S","","","","","22.4","2,S,23,","","","","","","","14.83","2,,,S","",""
"GMM00010648","1989-12","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","","","","","9","2,S","0","2,S","0","2,S","","","","","15.4","2,S,16,","","","","","","","4.60","2,,,S","",""
"GMM00010648","1990-04","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","5,S","3","5,S","","","","","","","-1.7","5,S,05,","","","","","","","","","","","","","3.34","5,,,S"
"GMM00010648","1990-05","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","","","","","","","0","3,S","0","3,S","","","","","","","4.6","3,S,29,","","","","","","","","","","","","","9.12","3,,,S"
"GMM00010648","1990-06","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","19","4,S","12","4,S","0","4,S","","","","","","","","","","","","","18.8","4,,S,28,","","","","","100.1","4,,,S","","","","","",""
"GMM00010648","1990-07","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","10",",S","6",",S","0",",S","","","","","","","","","","","","","12.4",",,S,08,","","","","","46.7",",,,S","","","","","",""
"GMM00010648","1990-08","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","7","2,S","2","2,S","0","2,S","0","5,","0","5,S","","","","","","","9.8","5,S,17,","16.3","2,,S,17,","","","","","27.1","2,,,S","","","","","14.78","5,,,S"
"GMM00010648","1990-09","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","16",",S","10",",S","1",",S","0","4,S","0","4,S","","","","","","","3.6","4,S,17,","36.1",",,S,22,","","","","","107.5",",,,S","","","","","8.35","4,,,S"
"GMM00010648","1990-10","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","9",",S","5",",S","0",",S","","","","","0","2,S","1","2,S","0","2,S","","","24.6",",,S,29,","22.7","2,S,14,","","","51.3",",,,S","","","13.87","2,,,S","",""
"GMM00010648","1990-11","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","19","2,S","14","2,S","1","2,S","","","","","0","5,S","0","5,S","0","5,S","","","27.2","2,,S,21,","10.4","5,S,17,","","","96.5","2,,,S","","","5.77","5,,,S","",""
"GMM00010648","1990-12","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","21",",S","7",",S","0",",S","","","","","","","","","","","","","20.3",",,S,30,","","","","","72.6",",,,S","","","","","",""
"GMM00010648","1991-01","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","15",",S","10",",S","0",",S","","","","","","","","","","","","","13.7",",,S,01,","","","","","76.6",",,,S","","","","","",""
"GMM00010648","1991-02","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","13",",S","1",",S","0",",S","","","","","","","","","","","","","7.1",",,S,16,","","","","","18.1",",,,S","","","","","",""
"GMM00010648","1991-03","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","10","2,S","5","2,S","0","2,S","","","","","","","","","","","","","8.9","2,,S,20,","","","","","33.5","2,,,S","","","","","",""
"GMM00010648","1991-04","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","7","1,S","3","1,S","0","1,S","0","3,","7","3,S","","","","","","","-2.8","3,S,21,+","8.1","1,,S,23,","","","","","23.1","1,,,S","","","","","3.09","3,,,S"
"GMM00010648","1991-05","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","9",",S","5",",S","0",",S","0","3,S","0","3,S","","","","","","","0.4","3,S,04,","13.2",",,S,01,","","","","","33.4",",,,S","","","","","5.02","3,,,S"
"GMM00010648","1991-06","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","1.4","4,S","20",",S","10",",S","0",",S","0","4,S","0","4,S","0",",S","5",",S","0",",S","2.9","4,S,04,","13.0",",,S,19,","25.0",",S,22,","136.8",",S","63.8",",,,S","13.07","4,S","16.70",",,,S","9.44","4,,,S"
"GMM00010648","1991-07","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","7",",S","5",",S","0",",S","0","3,S","0","3,S","","","","","","","11.3","3,S,26,","9.7",",,S,14,","","","","","27.9",",,,S","","","","","14.28","3,,,S"
"GMM00010648","1991-08","49.717","9.1","405.0","MICHELSTADT VIELBRU, GM","","","4","1,S","3","1,S","0","1,S","0","2,S","0","2,S","","","","","","","9.0","2,S,30,+","4.6","1,,S,24,","","","","","11.2","1,,,S","","","","","14.06","2,,,S"
