"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00412678","1940-07","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","5",",0","5",",0","2",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","51.6",",,0,12,","118.1",",,,0","0",",,,0","",""
"USC00412678","1940-08","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","3",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","69.1",",,0,16,","88.4",",,,0","0",",,,0","",""
"USC00412678","1940-09","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","10.2",",,0,23,","17.8",",,,0","0",",,,0","",""
"USC00412678","1940-10","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","2",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","37.3",",,0,31,","52.0",",,,0","0",",,,0","",""
"USC00412678","1940-11","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","8",",0","7",",0","4",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","46.5",",,0,23,","181.7",",,,0","0",",,,0","",""
"USC00412678","1940-12","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","7",",0","6",",0","3",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","37.6",",,0,27,","139.7",",,,0","0",",,,0","",""
"USC00412678","1941-01","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","6.1",",,0,14,","17.5",",,,0","0",",,,0","",""
"USC00412678","1941-02","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","10",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","33.0",",,0,01,","115.4",",,,0","0",",,,0","",""
"USC00412678","1941-03","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","15.0",",,0,23,","53.3",",,,0","0",",,,0","",""
"USC00412678","1941-04","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","14",",0","8",",0","2",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","85.9",",,0,18,","167.7",",,,0","0",",,,0","",""
"USC00412678","1941-05","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","8",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","30.0",",,0,05,","63.6",",,,0","0",",,,0","",""
"USC00412678","1941-06","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","9",",0","7",",0","4",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","56.4",",,0,11,","232.2",",,,0","0",",,,0","",""
"USC00412678","1941-07","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","5",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","28.2",",,0,12,","40.4",",,,0","0",",,,0","",""
"USC00412678","1941-08","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","8",",0","5",",0","2",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","30.5",",,0,13,","89.0",",,,0","0",",,,0","",""
"USC00412678","1941-09","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","31.2",",,0,25,","42.6",",,,0","0",",,,0","",""
"USC00412678","1941-10","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","9",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","45.2",",,0,02,","137.0",",,,0","0",",,,0","",""
"USC00412678","1941-11","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","3",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","14.2",",,0,22,","26.1",",,,0","0",",,,0","",""
"USC00412678","1941-12","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","30.5",",,0,11,","39.4",",,,0","0",",,,0","",""
"USC00412678","1942-01","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","1.5",",,0,01,","1.5",",,,0","0",",,,0","",""
"USC00412678","1942-02","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","3.0",",,0,16,","5.0",",,,0","0",",,,0","",""
"USC00412678","1942-03","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","19.3",",,0,02,","31.5",",,,0","0",",,,0","",""
"USC00412678","1942-04","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","14",",0","12",",0","4",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","101.6",",,0,20,","390.2",",,,0","0",",,,0","",""
"USC00412678","1942-05","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","123.7",",,0,19,","155.9",",,,0","0",",,,0","",""
"USC00412678","1942-06","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","5",",0","3",",0","2",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","62.2",",,0,15,","123.2",",,,0","0",",,,0","",""
"USC00412678","1942-07","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","3.8",",,0,26,","3.8",",,,0","0",",,,0","",""
"USC00412678","1942-08","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","7",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","72.4",",,0,25,","110.2",",,,0","0",",,,0","",""
"USC00412678","1942-09","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","4",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","72.6",",,0,08,","96.8",",,,0","0",",,,0","",""
"USC00412678","1942-10","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","6",",0","6",",0","2",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","83.1",",,0,17,","170.5",",,,0","0",",,,0","",""
"USC00412678","1942-11","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","6.4",",,0,06,","8.4",",,,0","0",",,,0","",""
"USC00412678","1942-12","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","5",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","19.3",",,0,22,","41.7",",,,0","0",",,,0","",""
"USC00412678","1943-01","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","1.3",",,0,30,","1.3",",,,0","0",",,,0","",""
"USC00412678","1943-02","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","17.3",",,0,04,","17.3",",,,0","0",",,,0","",""
"USC00412678","1943-03","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","6",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","58.4",",,0,25,","100.6",",,,0","0",",,,0","",""
"USC00412678","1943-04","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","3",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","27.7",",,0,10,","44.7",",,,0","0",",,,0","",""
"USC00412678","1943-05","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","8",",0","7",",0","2",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","74.4",",,0,08,","192.4",",,,0","0",",,,0","",""
"USC00412678","1943-06","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","10.9",",,0,30,","33.8",",,,0","0",",,,0","",""
"USC00412678","1943-07","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","16.5",",,0,26,","16.5",",,,0","0",",,,0","",""
"USC00412678","1943-08","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","0.0",",,,0","0",",,,0","",""
"USC00412678","1943-09","32.88333","-97.46667","207.0","EAGLE MOUNTAIN LAKE, TX US","5",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","13.7",",,0,06,","24.9",",,,0","0",",,,0","",""
