"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00251390","1909-07","41.0","-98.61667","609.9","CAIRO, NE US","8",",6","7",",6","4",",6","","","","","","","","","","","","","","","","","57.2",",,6,05,","","","182.7",",,,6","","","","","",""
"USC00251390","1909-08","41.0","-98.61667","609.9","CAIRO, NE US","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","27.9",",,6,03,","","","44.9",",,,6","","","","","",""
"USC00251390","1909-09","41.0","-98.61667","609.9","CAIRO, NE US","7",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","28.4",",,6,01,","","","50.4",",,,6","","","","","",""
"USC00251390","1909-10","41.0","-98.61667","609.9","CAIRO, NE US","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","24.9",",,6,08,","","","64.4",",,,6","","","","","",""
"USC00251390","1909-11","41.0","-98.61667","609.9","CAIRO, NE US","4",",6","2",",6","1",",6","1",",6","","","","","","","","","","","","","457",",,6,13,","45.7",",,6,13,","","","56.6",",,,6","457",",,,6","","","",""
"USC00251390","1909-12","41.0","-98.61667","609.9","CAIRO, NE US","5",",6","3",",6","0",",6","3",",6","","","","","","","","","","","","","102",",,6,03,","10.2",",,6,03,","","","24.3",",,,6","243",",,,6","","","",""
"USC00251390","1910-01","41.0","-98.61667","609.9","CAIRO, NE US","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","9.1",",,6,27,","","","22.3",",,,6","","","","","",""
"USC00251390","1910-02","41.0","-98.61667","609.9","CAIRO, NE US","1",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","13",",,6,18,","1.3",",,6,18,","","","1.3",",,,6","13",",,,6","","","",""
"USC00251390","1910-03","41.0","-98.61667","609.9","CAIRO, NE US","1",",6","1",",6","0",",6","1",",6","","","","","","","","","","","","","76",",,6,09,","7.6",",,6,09,","","","7.6",",,,6","76",",,,6","","","",""
"USC00251390","1910-04","41.0","-98.61667","609.9","CAIRO, NE US","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","4.6",",,6,10,","","","6.6",",,,6","","","","","",""
"USC00251390","1910-05","41.0","-98.61667","609.9","CAIRO, NE US","9",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","20.3",",,6,05,","","","65.9",",,,6","","","","","",""
"USC00251390","1910-06","41.0","-98.61667","609.9","CAIRO, NE US","5",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","62.2",",,6,25,","","","109.8",",,,6","","","","","",""
"USC00251390","1910-07","41.0","-98.61667","609.9","CAIRO, NE US","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","21.6",",,6,06,","","","40.9",",,,6","","","","","",""
"USC00251390","1910-08","41.0","-98.61667","609.9","CAIRO, NE US","7",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","35.6",",,6,16,","","","65.1",",,,6","","","","","",""
"USC00251390","1910-09","41.0","-98.61667","609.9","CAIRO, NE US","3",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","36.1",",,6,05,","","","45.2",",,,6","","","","","",""
"USC00251390","1910-10","41.0","-98.61667","609.9","CAIRO, NE US","2",",6","2",",6","1",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","40.6",",,6,03,","","","53.0",",,,6","0",",,,6","","","",""
"USC00251390","1910-11","41.0","-98.61667","609.9","CAIRO, NE US","1",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","6.9",",,6,20,","","","6.9",",,,6","0",",,,6","","","",""
"USC00251390","1910-12","41.0","-98.61667","609.9","CAIRO, NE US","3",",6","3",",6","0",",6","3",",6","","","","","","","","","","","","","127",",,6,04,","14.2",",,6,04,","","","29.7",",,,6","208",",,,6","","","",""
"USC00251390","1911-01","41.0","-98.61667","609.9","CAIRO, NE US","2",",6","1",",6","0",",6","2",",6","","","","","","","","","","","","","38",",,6,01,","4.1",",,6,01,","","","6.1",",,,6","63",",,,6","","","",""
"USC00251390","1911-02","41.0","-98.61667","609.9","CAIRO, NE US","3",",6","3",",6","0",",6","2",",6","","","","","","","","","","","","","53",",,6,03,","13.7",",,6,16,","","","24.1",",,,6","104",",,,6","","","",""
"USC00251390","1911-03","41.0","-98.61667","609.9","CAIRO, NE US","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","7.6",",,6,26,+","","","15.2",",,,6","","","","","",""
"USC00251390","1911-04","41.0","-98.61667","609.9","CAIRO, NE US","4",",6","4",",6","0",",6","1",",6","","","","","","","","","","","","","127",",,6,01,","17.0",",,6,30,","","","34.5",",,,6","127",",,,6","","","",""
