"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00475012","1985-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","14.7","1,6","","","","","","","0","1,6","0","1,6","0",",6","16",",6","0",",6","","","","","0.6","1,6,01,","","","31.7",",6,27,","","","113.9",",6","","","14.94","1,6","21.27",",,,6","8.61","1,,,6"
"USC00475012","1985-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","28.1",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","5.6",",6,21,","","","29.4",",6,13,","37.4","","37.4",",6","","","18.03",",6","24.43",",,,6","11.63",",,,6"
"USC00475012","1985-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","16.2",",6","","","","","","","0",",6","0",",6","0",",6","22",",6","0",",6","","","","","6.7",",6,10,","","","28.9",",6,06,","100.5","","63.1",",6","","","16.82",",6","22.01",",,,6","11.63",",,,6"
"USC00475012","1985-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","17.6",",6","","","","","","","0",",6","2",",6","0",",6","10",",6","0",",6","","","","","0.0",",6,30,+","","","30.0",",6,06,","284.4","","183.9",",6","","","12.79",",6","17.43",",,,6","8.15",",,,6"
"USC00475012","1986-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","10.9",",6","4",",6","2",",6","0",",6","0",",6","4",",6","0",",6","16",",6","0",",6","","","","","-3.3",",6,02,","4.6",",,6,13,","31.7",",6,30,","","","151.3",",6","8.6",",,,6","13.80",",6","20.75",",,,6","6.86",",,,6"
"USC00475012","1986-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","14.7",",6","","","","","","","0",",6","1",",6","0",",6","23",",6","0",",6","","","","","-1.1",",6,01,","","","31.1",",6,26,","","","87.9",",6","","","15.89",",6","22.32",",,,6","9.46",",,,6"
"USC00475012","1986-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","72.1",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","2",",6","","","","","5.0",",6,02,","","","33.3",",6,18,+","22.2","","22.2",",6","","","19.94",",6","25.40",",,,6","14.49",",,,6"
"USC00475012","1986-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","12.5",",6","","","","","","","0",",6","0",",6","0",",6","17",",6","0",",6","","","","","0.6",",6,27,","","","29.4",",6,16,","103.1","","80.9",",6","","","16.13",",6","21.70",",,,6","10.56",",,,6"
"USC00475012","1986-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","5.9",",6","","","","","","","0",",6","2",",6","0",",6","7",",6","0",",6","","","","","-1.1",",6,06,","","","26.7",",6,01,","273.9","","170.8",",6","","","12.83",",6","17.57",",,,6","8.10",",,,6"
"USC00475012","1987-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","13.7","4,6","","","","","","","0","2,6","5","2,6","0","3,6","15","3,6","0","3,6","","","","","-1.1","2,6,03,","","","28.3","3,6,16,","","","112.6","3,6","","","14.42","4,6","21.70","3,,,6","7.14","2,,,6"
