"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00291279","1944-09","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","","","3.9","1,6","11",",6","6",",6","2",",6","","","","","0",",6","0",",6","0","1,6","11","1,6","0","1,6","7.2",",6,26,+","","","","","52.3",",,6,04,","25.0","1,6,21,","","","102.2","1,6","122.1",",,,6","","","14.95","1,6","19.33","1,,,6","10.57",",,,6","10932",",,,6"
"USC00291279","1944-10","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","","","0.0",",6","9",",6","5",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","2.2",",6,28,","","","0",",,6,31,+","27.4",",,6,27,","20.0",",6,10,+","","","236.0",",6","60.5",",,,6","0",",,,6","10.72",",6","14.75",",,,6","6.69",",,,6","",""
"USC00291279","1944-11","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","","","0.0",",6","11",",6","6",",6","0",",6","","","","","0",",6","20",",6","3",",6","0",",6","0",",6","-8.9",",6,26,+","","","","","19.1",",,6,24,","15.6",",6,04,","","","466.3",",6","69.9",",,,6","","","2.79",",6","6.45",",,,6","-0.87",",,,6","",""
"USC00291279","1944-12","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","","","0.0","1,6","7",",6","4",",6","0",",6","13",",6","4",",6","0","1,6","24","1,6","3",",6","0",",6","0",",6","-10.0","1,6,31,","127",",,6,26,","140",",,6,25,","14.7",",,6,25,","9.4",",6,22,","","","509.4",",6","39.4",",,,6","344",",,,6","1.32","1,6","4.59",",,,6","-1.94","1,,,6","",""
"USC00291279","1945-01","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","0.0","6","0.0","2,6","6",",6","5",",6","0",",6","21",",6","5",",6","0",",6","25",",6","5","2,6","0","2,6","0","2,6","-10.6",",6,21,","254",",,6,27,","216",",,6,17,","19.6",",,6,17,","10.6","2,6,14,+","","","515.4","2,6","55.1",",,,6","572",",,,6","0.66","2,6","4.50","2,,,6","-3.18",",,,6","",""
"USC00291279","1945-02","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","0.0","6","0.0","3,6","2",",6","2",",6","0",",6","11",",6","2",",6","0",",6","21",",6","1","3,6","0","3,6","0","3,6","-8.3",",6,27,","102",",,6,01,","76",",,6,21,","7.6",",,6,21,","12.8","3,6,15,","","","382.4","3,6","10.9",",,,6","114",",,,6","3.00","3,6","7.64","3,,,6","-1.64",",,,6","",""
"USC00291279","1945-03","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","0.0","6","0.0","1,6","7",",6","5",",6","0",",6","","","5",",6","0",",6","23",",6","2","1,6","0","1,6","0","1,6","-8.9",",6,06,","","","140",",,6,23,","14.0",",,6,23,","14.4","1,6,12,","","","461.5","1,6","39.3",",,,6","366",",,,6","2.97","1,6","7.96","1,,,6","-2.01",",,,6","",""
"USC00291279","1945-04","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","0.0","6","0.0","2,6","4","1,6","1","1,6","0","1,6","","","1",",6","0",",6","12",",6","0","2,6","2","2,6","0","2,6","-9.4",",6,04,","","","76",",,6,10,","8.1","1,,6,10,","22.8","2,6,30,","","","293.6","2,6","11.2","1,,,6","89",",,,6","7.78","2,6","14.03","2,,,6","1.54",",,,6","",""
"USC00291279","1945-06","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","","","","","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","0.0",",T,6,23,","","","","","","","0.0",",T,,6","0",",,,6","","","","","","","",""
"USC00291279","1945-07","32.583333","-108.433333","2407.9","BURRO MOUNTAIN, NM US","","","35.8",",6","17",",6","10",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","6.1",",6,03,","","","0",",,6,31,+","55.9",",,6,03,","28.9",",6,01,","17.2","6","17.2",",6","155.7",",,,6","0",",,,6","18.93",",6","24.42",",,,6","13.44",",,,6","",""
